fused_decision_id,source_decision_id,regime,year,car_number,driver_name,decision_time_utc,source_attempt_id,source_attempt_id_status,source_attempt_link_status,source_entry_key,source_car_attempt_index,observed_action,observed_action_resolved,observed_action_quality,current_result_speed_mph,benchmark_type,benchmark_rank,benchmark_speed_mph,later_attempt_count,next_attempt_exists,next_attempt_id,next_attempt_index,next_attempt_class,next_attempt_result_status,next_attempt_time_utc,next_attempt_time_evidence_class,next_attempt_complete_four_lap,next_attempt_speed_mph,next_attempt_speed_delta_vs_current_mph,next_attempt_improved_current,next_attempt_met_decision_time_benchmark,any_later_complete_attempt_exists,best_later_complete_speed_mph,best_later_complete_met_decision_time_benchmark,session_end_counted_result_from_later_attempt,r4p5_crosscheck_available,r4p5_after_attempt_id,r4p5_match_next_attempt_id,historical_outcome_evaluable,historical_outcome_status,future_information_used_for_r4f8h,queue_wait_claimed
DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,DAY1_2020_51_POST_FIRST_ATTEMPT,DAY1,2020,51,James Davison,2020-08-15T16:41:35+00:00,e2cf6770-902a-5a11-8e7c-27e4441f0b5e,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_51|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,228.747,FAST_NINE_ADVANCEMENT,9.0,230.296,1,True,fe1f030c-0baa-54f3-8c55-6ad8fd58f371,2,B_PARTIAL_COMPLETE_LAPS,UNKNOWN,2020-08-15T20:05:00Z,APPROXIMATE_POINT,False,,,,,False,,,False,False,,,True,NEXT_ATTEMPT_EXISTS_BUT_NOT_COMPLETE_FOUR_LAP,False,False
DAY1::DAY1_2020_55_POST_FIRST_ATTEMPT,DAY1_2020_55_POST_FIRST_ATTEMPT,DAY1,2020,55,Alex Palou,2020-08-15T16:45:45+00:00,b3ac1729-6563-5819-a04b-0f76aeae5b0f,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_55|1,1,STOP,True,HIGH,231.034,FAST_NINE_ADVANCEMENT,9.0,230.472,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_59_POST_FIRST_ATTEMPT,DAY1_2020_59_POST_FIRST_ATTEMPT,DAY1,2020,59,Max Chilton,2020-08-15T17:29:05+00:00,75519828-93ba-5485-a4bf-a06b93f7cec3,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_59|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,225.819,FAST_NINE_ADVANCEMENT,9.0,230.56,1,True,fb65c8cf-d1c6-583e-9563-6c22e29bb081,2,A_COMPLETE,VALID_RETAINED,2020-08-15T20:10:00Z,APPROXIMATE_POINT,True,227.303,1.4840000000000089,True,False,True,227.303,False,True,True,fb65c8cf-d1c6-583e-9563-6c22e29bb081,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2020_66_POST_FIRST_ATTEMPT,DAY1_2020_66_POST_FIRST_ATTEMPT,DAY1,2020,66,Fernando Alonso,2020-08-15T15:59:05+00:00,c9ee13fe-3b9e-555c-9a7d-a078015b8b91,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_66|1,1,STOP,True,HIGH,228.768,FAST_NINE_ADVANCEMENT,9.0,228.88,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_67_POST_FIRST_ATTEMPT,DAY1_2020_67_POST_FIRST_ATTEMPT,DAY1,2020,67,JR Hildebrand,2020-08-15T17:38:15+00:00,1a120ea2-c723-5585-8ec6-30169bb44ca7,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_67|1,1,STOP,True,HIGH,226.341,FAST_NINE_ADVANCEMENT,9.0,230.56,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2020_7_POST_FIRST_ATTEMPT,DAY1_2020_7_POST_FIRST_ATTEMPT,DAY1,2020,7,Oliver Askew,2020-08-15T16:18:15+00:00,72b65040-5363-5722-b1cd-297bffa2af77,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_7|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,229.76,FAST_NINE_ADVANCEMENT,9.0,229.902,1,True,49fbc16c-9d6c-5076-a96b-2b64ebe2bbac,2,B_PARTIAL_COMPLETE_LAPS,UNKNOWN,2020-08-15T20:35:50Z,APPROXIMATE_POINT,False,,,,,False,,,False,False,,,True,NEXT_ATTEMPT_EXISTS_BUT_NOT_COMPLETE_FOUR_LAP,False,False
DAY1::DAY1_2020_8_POST_FIRST_ATTEMPT,DAY1_2020_8_POST_FIRST_ATTEMPT,DAY1,2020,8,Marcus Ericsson,2020-08-15T16:13:15+00:00,518373d9-25de-58cf-8315-f6c215b6f672,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_8|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,230.472,FAST_NINE_ADVANCEMENT,9.0,229.902,1,True,25ddda12-052a-5d71-ac52-6e96cf8edab9,2,A_COMPLETE,VALID_RETAINED,2020-08-15T18:16:35Z,APPROXIMATE_POINT,True,230.566,0.09399999999999409,True,True,True,230.566,True,True,True,25ddda12-052a-5d71-ac52-6e96cf8edab9,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2020_81_POST_FIRST_ATTEMPT,DAY1_2020_81_POST_FIRST_ATTEMPT,DAY1,2020,81,Ben Hanley,2020-08-15T16:36:35+00:00,a3016f3b-449e-576c-bf0f-284c71eddb34,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_81|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,220.946,FAST_NINE_ADVANCEMENT,9.0,230.296,1,True,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,2,A_COMPLETE,VALID_RETAINED,2020-08-15T19:30:50Z,APPROXIMATE_POINT,True,222.917,1.9710000000000036,True,False,True,222.917,False,True,True,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2020_88_POST_FIRST_ATTEMPT,DAY1_2020_88_POST_FIRST_ATTEMPT,DAY1,2020,88,Colton Herta,2020-08-15T17:24:05+00:00,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_88|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,230.56,FAST_NINE_ADVANCEMENT,9.0,230.56,2,True,0817e595-17c0-5e20-94bc-6778006bf613,2,A_COMPLETE,VALID_RETAINED,2020-08-15T19:05:50Z,APPROXIMATE_POINT,True,230.775,0.2150000000000034,True,True,True,230.775,True,True,True,0817e595-17c0-5e20-94bc-6778006bf613,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2020_98_POST_FIRST_ATTEMPT,DAY1_2020_98_POST_FIRST_ATTEMPT,DAY1,2020,98,Marco Andretti,2020-08-15T17:14:05+00:00,f50bf607-2eaa-51a1-a6d0-2049fcaf3dcd,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2020|CAR_98|1,1,STOP,True,HIGH,231.351,FAST_NINE_ADVANCEMENT,9.0,230.539,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_1_POST_FIRST_ATTEMPT,DAY1_2021_1_POST_FIRST_ATTEMPT,DAY1,2021,1,JR Hildebrand,2021-05-22T17:16:36+00:00,f31f214f-a151-5b1d-afaf-bb7103c2d514,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_1|1,1,STOP,True,HIGH,229.98,FAST_NINE_ADVANCEMENT,9.0,230.557,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_11_POST_FIRST_ATTEMPT,DAY1_2021_11_POST_FIRST_ATTEMPT,DAY1,2021,11,Charlie Kimball,2021-05-22T18:30:47+00:00,c150c8f9-470c-58e6-8766-44b6b751369f,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_11|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,228.401,FAST_NINE_ADVANCEMENT,9.0,230.864,1,True,39b9e374-3daa-551c-8478-eb7d1f44f74e,2,B_PARTIAL_COMPLETE_LAPS,UNKNOWN,2021-05-22T21:39:08Z,APPROXIMATE_POINT,False,,,,,False,,,False,False,,,True,NEXT_ATTEMPT_EXISTS_BUT_NOT_COMPLETE_FOUR_LAP,False,False
DAY1::DAY1_2021_12_POST_FIRST_ATTEMPT,DAY1_2021_12_POST_FIRST_ATTEMPT,DAY1,2021,12,Will Power,2021-05-22T17:21:36+00:00,6992580a-0371-5eda-b01d-2adaca099ff4,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_12|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,229.052,FAST_NINE_ADVANCEMENT,9.0,230.557,1,True,5aa71106-e201-5143-bb9a-21ccf4063a9e,2,A_COMPLETE,VALID_RETAINED,2021-05-22T21:33:54Z,APPROXIMATE_POINT,True,229.228,0.17600000000001614,True,False,True,229.228,False,True,True,5aa71106-e201-5143-bb9a-21ccf4063a9e,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_14_POST_FIRST_ATTEMPT,DAY1_2021_14_POST_FIRST_ATTEMPT,DAY1,2021,14,Sebastien Bourdais,2021-05-22T18:35:48+00:00,da571070-dc03-5eb8-ac88-efd026c446d8,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_14|1,1,STOP,True,HIGH,229.744,FAST_NINE_ADVANCEMENT,9.0,230.864,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_15_POST_FIRST_ATTEMPT,DAY1_2021_15_POST_FIRST_ATTEMPT,DAY1,2021,15,Graham Rahal,2021-05-22T17:53:16+00:00,696a641a-81d7-5a8c-842f-4f3170a4b8e4,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_15|1,1,STOP,True,HIGH,230.521,FAST_NINE_ADVANCEMENT,9.0,230.708,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_16_POST_FIRST_ATTEMPT,DAY1_2021_16_POST_FIRST_ATTEMPT,DAY1,2021,16,Simona De Silvestro,2021-05-22T18:26:36+00:00,8f660bff-74bd-551e-9007-95b730f87e7d,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_16|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,228.173,FAST_NINE_ADVANCEMENT,9.0,230.864,2,True,adc26df0-920d-5dc7-a952-03b3fb57700a,2,A_COMPLETE,VALID_RETAINED,2021-05-22T21:30:13Z,APPROXIMATE_POINT,True,228.395,0.2220000000000084,True,False,True,228.395,False,True,True,adc26df0-920d-5dc7-a952-03b3fb57700a,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_2_POST_FIRST_ATTEMPT,DAY1_2021_2_POST_FIRST_ATTEMPT,DAY1,2021,2,Josef Newgarden,2021-05-22T16:39:06+00:00,c4c9ba22-d28c-5937-b36c-72fffbbb67b5,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_2|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,230.049,FAST_NINE_ADVANCEMENT,9.0,229.261,1,True,2493785c-dc47-5ba6-8d28-5398e7a11983,2,A_COMPLETE,VALID_RETAINED,2021-05-22T18:44:56Z,APPROXIMATE_POINT,True,230.071,0.02199999999999136,True,True,True,230.071,True,True,True,2493785c-dc47-5ba6-8d28-5398e7a11983,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_20_POST_FIRST_ATTEMPT,DAY1_2021_20_POST_FIRST_ATTEMPT,DAY1,2021,20,Ed Carpenter,2021-05-22T17:25:46+00:00,bcd24d81-7b19-5290-b6d7-b3ce5ce41195,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_20|1,1,STOP,True,HIGH,231.616,FAST_NINE_ADVANCEMENT,9.0,230.563,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_21_POST_FIRST_ATTEMPT,DAY1_2021_21_POST_FIRST_ATTEMPT,DAY1,2021,21,Rinus VeeKay,2021-05-22T16:43:16+00:00,407a503c-1695-5af6-9b88-28e9d802c8d1,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_21|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,230.841,FAST_NINE_ADVANCEMENT,9.0,229.714,1,True,c10dbae2-ca30-5e09-88ab-298fcf7fa163,2,A_COMPLETE,VALID_RETAINED,2021-05-22T18:49:55Z,APPROXIMATE_POINT,True,231.483,0.6419999999999959,True,True,True,231.483,True,True,True,c10dbae2-ca30-5e09-88ab-298fcf7fa163,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_22_POST_FIRST_ATTEMPT,DAY1_2021_22_POST_FIRST_ATTEMPT,DAY1,2021,22,Simon Pagenaud,2021-05-22T18:07:26+00:00,5f22f207-f450-5086-ab38-14fe980d9fed,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_22|1,1,STOP,True,HIGH,229.778,FAST_NINE_ADVANCEMENT,9.0,230.708,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_26_POST_FIRST_ATTEMPT,DAY1_2021_26_POST_FIRST_ATTEMPT,DAY1,2021,26,Colton Herta,2021-05-22T18:12:27+00:00,e9da8645-6367-51bf-8601-3670e9e76c5e,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_26|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,231.648,FAST_NINE_ADVANCEMENT,9.0,230.841,1,True,90108456-7f40-5313-a9ff-43273b65d2f0,2,A_COMPLETE,VALID_RETAINED,2021-05-22T20:25:16Z,APPROXIMATE_POINT,True,230.229,-1.4189999999999827,False,False,True,230.229,False,True,True,90108456-7f40-5313-a9ff-43273b65d2f0,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_27_POST_FIRST_ATTEMPT,DAY1_2021_27_POST_FIRST_ATTEMPT,DAY1,2021,27,Alexander Rossi,2021-05-22T18:17:26+00:00,69b27d9b-5386-5a2c-a855-449bb527fca1,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_27|1,1,STOP,True,HIGH,231.046,FAST_NINE_ADVANCEMENT,9.0,230.846,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_3_POST_FIRST_ATTEMPT,DAY1_2021_3_POST_FIRST_ATTEMPT,DAY1,2021,3,Scott McLaughlin,2021-05-22T16:48:16+00:00,20b68ba3-153d-53cd-9ef8-e81c295271bf,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_3|1,1,STOP,True,HIGH,230.557,FAST_NINE_ADVANCEMENT,9.0,230.049,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_30_POST_FIRST_ATTEMPT,DAY1_2021_30_POST_FIRST_ATTEMPT,DAY1,2021,30,Takuma Sato,2021-05-22T16:52:26+00:00,0e1c6c84-a0db-504e-9da0-b66aa65a338c,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_30|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,230.708,FAST_NINE_ADVANCEMENT,9.0,230.246,1,True,c4594c6a-a280-5ab3-865f-7da469cc26fa,2,B_PARTIAL_COMPLETE_LAPS,UNKNOWN,2021-05-22T19:22:35Z,APPROXIMATE_POINT,False,,,,,False,,,False,False,,,True,NEXT_ATTEMPT_EXISTS_BUT_NOT_COMPLETE_FOUR_LAP,False,False
DAY1::DAY1_2021_4_POST_FIRST_ATTEMPT,DAY1_2021_4_POST_FIRST_ATTEMPT,DAY1,2021,4,Dalton Kellett,2021-05-22T17:44:56+00:00,099ab32a-d351-5011-931c-148b9f3d7921,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_4|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,229.25,FAST_NINE_ADVANCEMENT,9.0,230.708,1,True,a5d8e516-48e0-58b8-ac13-213c753fc12d,2,A_COMPLETE,VALID_RETAINED,2021-05-22T21:46:39Z,APPROXIMATE_POINT,True,228.323,-0.9269999999999925,False,False,True,228.323,False,True,True,a5d8e516-48e0-58b8-ac13-213c753fc12d,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_45_POST_FIRST_ATTEMPT,DAY1_2021_45_POST_FIRST_ATTEMPT,DAY1,2021,45,Santino Ferrucci,2021-05-22T16:57:26+00:00,8ea0aaac-52bc-55eb-a43e-39b83d6e866a,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_45|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,229.949,FAST_NINE_ADVANCEMENT,9.0,230.246,1,True,9f01c29b-9065-53ec-8e2f-27c95ba69f0a,2,B_PARTIAL_COMPLETE_LAPS,UNKNOWN,2021-05-22T19:27:35Z,APPROXIMATE_POINT,False,,,,,False,,,False,False,,,True,NEXT_ATTEMPT_EXISTS_BUT_NOT_COMPLETE_FOUR_LAP,False,False
