record_type,fused_decision_id,feasible_action,regime,reconciliation_status,source_decision_id,source_file,reason
DECISION,DAY1::DAY1_2021_14_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_14_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_15_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_15_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_16_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_16_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_2_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_2_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_20_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_20_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_21_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_21_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_22_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_22_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_26_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_26_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_27_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_27_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_3_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_3_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_30_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_30_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_4_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_4_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_45_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_45_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_47_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_47_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_5_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_5_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_51_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_51_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_59_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_59_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_60_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_60_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_7_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_7_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_75_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_75_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_8_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_8_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2021_86_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2021_86_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2023_10_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2023_10_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2023_11_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2023_11_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2023_14_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2023_14_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2023_27_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2023_27_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,DAY1::DAY1_2023_44_POST_FIRST_ATTEMPT,,DAY1,PRESERVED_FROM_R4F8B,DAY1_2023_44_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC decision
DECISION,LAST_CHANCE::2021_24_POST_GUARANTEED_BREAK,,LAST_CHANCE,ADDED_IN_R4F8C_LAST_CHANCE_EXTENSION,2021_24_POST_GUARANTEED_BREAK,r4/output/r4lc5e_last_chance_fused_interface_v2.csv,Valid frozen Last Chance decision opportunity added by the regime-specific R4F8C contract
DECISION,LAST_CHANCE::2021_12_POST_GUARANTEED_BREAK,,LAST_CHANCE,ADDED_IN_R4F8C_LAST_CHANCE_EXTENSION,2021_12_POST_GUARANTEED_BREAK,r4/output/r4lc5e_last_chance_fused_interface_v2.csv,Valid frozen Last Chance decision opportunity added by the regime-specific R4F8C contract
DECISION,LAST_CHANCE::2021_16_POST_GUARANTEED_BREAK,,LAST_CHANCE,ADDED_IN_R4F8C_LAST_CHANCE_EXTENSION,2021_16_POST_GUARANTEED_BREAK,r4/output/r4lc5e_last_chance_fused_interface_v2.csv,Valid frozen Last Chance decision opportunity added by the regime-specific R4F8C contract
DECISION,LAST_CHANCE::2021_75_POST_GUARANTEED_BREAK,,LAST_CHANCE,ADDED_IN_R4F8C_LAST_CHANCE_EXTENSION,2021_75_POST_GUARANTEED_BREAK,r4/output/r4lc5e_last_chance_fused_interface_v2.csv,Valid frozen Last Chance decision opportunity added by the regime-specific R4F8C contract
DECISION,LAST_CHANCE::2021_11_POST_GUARANTEED_BREAK,,LAST_CHANCE,ADDED_IN_R4F8C_LAST_CHANCE_EXTENSION,2021_11_POST_GUARANTEED_BREAK,r4/output/r4lc5e_last_chance_fused_interface_v2.csv,Valid frozen Last Chance decision opportunity added by the regime-specific R4F8C contract
DECISION,LAST_CHANCE::2023_45_POST_GUARANTEED_BREAK,,LAST_CHANCE,ADDED_IN_R4F8C_LAST_CHANCE_EXTENSION,2023_45_POST_GUARANTEED_BREAK,r4/output/r4lc5e_last_chance_fused_interface_v2.csv,Valid frozen Last Chance decision opportunity added by the regime-specific R4F8C contract
DECISION,LAST_CHANCE::2023_51_POST_GUARANTEED_BREAK,,LAST_CHANCE,ADDED_IN_R4F8C_LAST_CHANCE_EXTENSION,2023_51_POST_GUARANTEED_BREAK,r4/output/r4lc5e_last_chance_fused_interface_v2.csv,Valid frozen Last Chance decision opportunity added by the regime-specific R4F8C contract
DECISION,LAST_CHANCE::2023_15_POST_GUARANTEED_BREAK,,LAST_CHANCE,ADDED_IN_R4F8C_LAST_CHANCE_EXTENSION,2023_15_POST_GUARANTEED_BREAK,r4/output/r4lc5e_last_chance_fused_interface_v2.csv,Valid frozen Last Chance decision opportunity added by the regime-specific R4F8C contract
DECISION,LAST_CHANCE::2023_30_POST_GUARANTEED_BREAK,,LAST_CHANCE,ADDED_IN_R4F8C_LAST_CHANCE_EXTENSION,2023_30_POST_GUARANTEED_BREAK,r4/output/r4lc5e_last_chance_fused_interface_v2.csv,Valid frozen Last Chance decision opportunity added by the regime-specific R4F8C contract
DECISION,LAST_CHANCE::2024_18_FINAL_DECISION,,LAST_CHANCE,ADDED_IN_R4F8C_LAST_CHANCE_EXTENSION,2024_18_FINAL_DECISION,r4/output/r4lc5e_last_chance_fused_interface_v2.csv,Valid frozen Last Chance decision opportunity added by the regime-specific R4F8C contract
ACTION,DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,STOP,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_10_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,RETAIN_AND_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_10_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_10_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,STOP,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_14_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,RETAIN_AND_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_14_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_14_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,STOP,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_20_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,RETAIN_AND_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_20_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_20_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,STOP,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_22_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,RETAIN_AND_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_22_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_22_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,STOP,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_24_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,RETAIN_AND_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_24_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_24_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,STOP,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_27_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,RETAIN_AND_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_27_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_27_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,STOP,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_28_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,RETAIN_AND_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_28_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_28_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,STOP,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_29_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,RETAIN_AND_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_29_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_29_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,STOP,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_3_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,RETAIN_AND_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_3_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_3_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,STOP,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_47_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,RETAIN_AND_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_47_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_47_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,STOP,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_51_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,RETAIN_AND_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_51_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_51_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_55_POST_FIRST_ATTEMPT,STOP,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_55_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_55_POST_FIRST_ATTEMPT,RETAIN_AND_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_55_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_55_POST_FIRST_ATTEMPT,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_55_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_59_POST_FIRST_ATTEMPT,STOP,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_59_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_59_POST_FIRST_ATTEMPT,RETAIN_AND_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_59_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
ACTION,DAY1::DAY1_2020_59_POST_FIRST_ATTEMPT,WITHDRAW_AND_PRIORITY_REATTEMPT,DAY1,PRESERVED_FROM_R4F8B,DAY1_2020_59_POST_FIRST_ATTEMPT,r4/output/r4f8b_final_mc_eligible_decision_rows_v1.csv,Existing frozen Day1 MC action
