fused_decision_id,year,driver,regime,action,scenario_count,scenario_minutes,aggregation_semantics,p_reattempt_completed_min,p_reattempt_completed_max,p_final_result_exists_min,p_final_result_exists_max,p_no_final_result_min,p_no_final_result_max,p_final_result_meets_or_exceeds_decision_benchmark_min,p_final_result_meets_or_exceeds_decision_benchmark_max,p_final_result_worse_than_current_min,p_final_result_worse_than_current_max,expected_final_result_speed_conditional_mph_min,expected_final_result_speed_conditional_mph_max
DAY1::DAY1_2020_8_POST_FIRST_ATTEMPT,2020,Marcus Ericsson,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,230.472,230.472
DAY1::DAY1_2020_8_POST_FIRST_ATTEMPT,2020,Marcus Ericsson,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.86955,0.29125,1.0,231.02859974349127,231.0623131387355
DAY1::DAY1_2020_98_POST_FIRST_ATTEMPT,2020,Marco Andretti,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,231.35100000000006,232.70757209836273
DAY1::DAY1_2020_98_POST_FIRST_ATTEMPT,2020,Marco Andretti,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,231.351,231.351
DAY1::DAY1_2020_98_POST_FIRST_ATTEMPT,2020,Marco Andretti,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9847,0.0911,1.0,232.65831224225286,232.66781962421882
DAY1::DAY1_2021_11_POST_FIRST_ATTEMPT,2021,Charlie Kimball,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0005,0.0,0.0,228.401,228.5494426191586
DAY1::DAY1_2021_11_POST_FIRST_ATTEMPT,2021,Charlie Kimball,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,228.401,228.401
DAY1::DAY1_2021_11_POST_FIRST_ATTEMPT,2021,Charlie Kimball,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0006,0.74405,1.0,227.7528794747451,227.76715272158492
DAY1::DAY1_2021_12_POST_FIRST_ATTEMPT,2021,Will Power,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.09975,0.0,0.0,229.05199999999996,229.563780102788
DAY1::DAY1_2021_12_POST_FIRST_ATTEMPT,2021,Will Power,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,229.052,229.052
