test_year,time_utc,prior_mean_residual_mph,prior_sd_mph,observed_field_residual_mph,observed_driver_count,kalman_gain,posterior_mean_residual_mph,posterior_sd_mph
2020,2020-08-15T16:36:35Z,-0.6032989395041735,0.3046335557432537,-1.1400000000000148,1,0.022674346885101358,-0.6154682855234579,0.3011600696314261
2020,2020-08-15T16:41:35Z,-0.6154682855234579,0.3044624567009953,-1.018999999999977,1,0.02264946043228325,-0.6246080611236652,0.3009947536571576
2020,2020-08-15T16:45:45Z,-0.6246080611236652,0.3037507339839686,-0.9550000000000125,1,0.022546076434332953,-0.6320571030308588,0.3003070191276451
2020,2020-08-15T16:58:15Z,-0.6320571030308588,0.3085195386638127,-2.453000000000003,1,0.02324298459631697,-0.6743812507358854,0.3049130013385259
2020,2020-08-15T17:09:06Z,-0.6743812507358854,0.31194861497571663,-1.3529999999999802,1,0.02375019033176617,-0.6904985751936128,0.3082219351815582
2020,2020-08-15T17:14:05Z,-0.6904985751936128,0.31143874945227673,-2.140000000000015,1,0.02367445312816295,-0.7248147287343973,0.30773009685867875
2020,2020-08-15T17:19:05Z,-0.7248147287343973,0.31096271884689297,-0.7920000000000016,1,0.023603843128801236,-0.7264005593379166,0.3072708455340417
2020,2020-08-15T17:24:05Z,-0.7264005593379166,0.310508248707188,-1.0349999999999966,1,0.023536522483071767,-0.733663917011323,0.3068323482494749
2020,2020-08-15T17:29:05Z,-0.733663917011323,0.31007432968932963,-1.7910000000000252,1,0.023472329311837715,-0.7584820577445225,0.30641363750223466
2020,2020-08-15T17:34:05Z,-0.7584820577445225,0.3096600026599349,-0.3359999999999843,1,0.02341111046228013,-0.7485912836223337,0.30601379356022584
2020,2020-08-15T17:38:15Z,-0.7485912836223337,0.3087249722905278,-1.9339999999999975,1,0.023273227842836485,-0.7761795707654754,0.3051113098056936
2020,2020-08-15T17:55:45Z,-0.7761795707654754,0.31637463768662927,-1.8429999999999893,1,0.024412351996644918,-0.8022231666011602,0.31248905258677406
2020,2020-08-15T18:00:45Z,-0.8022231666011602,0.31567294465408285,-1.2369999999999948,1,0.024306812136777198,-0.8127912054120086,0.3118128421779783
2020,2020-08-15T18:16:35Z,-0.8127912054120086,0.3218082998936512,-1.1970000000000027,1,0.025236762029960298,-0.8224873913308437,0.3177216519531541
2020,2020-08-15T18:47:30Z,-0.8224873913308437,0.336621025467079,0.6480000000000246,1,0.02754803611967855,-0.7819783515609291,0.33195202135054724
2020,2020-08-15T19:00:50Z,-0.7819783515609291,0.3398903908792473,-2.3819999999999766,1,0.028070650621622385,-0.826892000241294,0.335085962831166
2020,2020-08-15T19:05:50Z,-0.826892000241294,0.33805709944695667,-0.8199999999999932,1,0.027777042446579196,-0.8267005608580495,0.333328921316943
2020,2020-08-15T19:15:00Z,-0.8267005608580495,0.33878435095645054,-1.134999999999991,1,0.02789334556928554,-0.8353000636528526,0.33402602035940576
2020,2020-08-15T19:30:50Z,-0.8353000636528526,0.34337547322206263,0.8309999999999889,1,0.028632682514032115,-0.7875894229571693,0.3384238910835469
2020,2020-08-15T19:39:10Z,-0.7875894229571693,0.3433133603422124,-0.07800000000000296,1,0.028622621236419954,-0.7672791136704965,0.33836442624141183
2020,2020-08-15T20:10:00Z,-0.7672791136704965,0.35612331892058563,-0.30700000000001637,1,0.03073158047534527,-0.7531340090476115,0.3506085023232909
2020,2020-08-15T20:22:30Z,-0.7531340090476115,0.3576678933052016,-0.367999999999995,1,0.03099045669072321,-0.7411985302200967,0.3520821307065907
2021,2021-05-22T16:01:36Z,-0.6768928571428573,0.3,-1.4739999999999895,1,0.05446293494704992,-0.7203056516101141,0.2917161905941552
2021,2021-05-22T16:05:46Z,-0.7203056516101141,0.3090550153636601,-1.0740000000000123,1,0.05760804478619156,-0.7406812914727822,0.30002094923258993
2021,2021-05-22T16:10:46Z,-0.7406812914727822,0.3201758422779962,-0.39999999999997726,1,0.06156864628340475,-0.7197060055427196,0.3101628762728059
2021,2021-05-22T16:14:56Z,-0.7197060055427196,0.3265236231645217,0.6519999999999868,1,0.06387666848573906,-0.6320859957667708,0.31592292495000623
2021,2021-05-22T16:19:56Z,-0.6320859957667708,0.33512280511622494,-1.322999999999979,1,0.06705684580977084,-0.6784165096164484,0.32369170761353605
2021,2021-05-22T16:24:56Z,-0.6784165096164484,0.3424563060855602,-0.2540000000000191,1,0.06981662979247888,-0.6487851792867421,0.3302854584306555
2021,2021-05-22T16:29:56Z,-0.6487851792867421,0.3486954029676162,-1.2630000000000052,1,0.07219839408811272,-0.6931305029673578,0.33587198567709714
2021,2021-05-22T16:34:06Z,-0.6931305029673578,0.35103654714195043,-1.0509999999999877,1,0.07310002299972992,-0.7192907714313448,0.33796269903212395
2021,2021-05-22T16:39:06Z,-0.7192907714313448,0.35597582212430945,-0.4300000000000068,1,0.07501620689517845,-0.6975892750687858,0.34236358345144763
2021,2021-05-22T16:43:16Z,-0.6975892750687858,0.35725269759706924,-0.48399999999998045,1,0.07551462222275346,-0.6814601616511331,0.34349904981390017
2021,2021-05-22T16:48:16Z,-0.6814601616511331,0.3612362069658194,0.1419999999999959,1,0.07707752208403901,-0.6179898928561419,0.34703548558657654
2021,2021-05-22T16:52:26Z,-0.6179898928561419,0.3617323526075289,-0.8900000000000148,1,0.07727302219469562,-0.639008935902652,0.34747531880582816
2021,2021-05-22T16:57:26Z,-0.639008935902652,0.365019310693574,-0.9749999999999943,1,0.07857287562741777,-0.6654087199938962,0.35038567060860276
2021,2021-05-22T17:06:36Z,-0.6654087199938962,0.3816893826588669,0.18000000000000682,1,0.08528738550604197,-0.5933060205816066,0.36505005116174216
2021,2021-05-22T17:11:36Z,-0.5933060205816066,0.381787296610548,-0.47500000000002274,1,0.08532741412987466,-0.5832112737693843,0.3651357070705756
2021,2021-05-22T17:16:36Z,-0.5832112737693843,0.38186919825763527,0.0069999999999765805,1,0.0853609018887991,-0.5328303071354947,0.36520735096825285
2021,2021-05-22T17:21:36Z,-0.5328303071354947,0.3819377032989132,-0.7950000000000159,1,0.08538891570707954,-0.5552166929404543,0.3652672730923368
2021,2021-05-22T17:25:46Z,-0.5552166929404543,0.37925828594636984,0.7150000000000034,1,0.08429569324086016,-0.4481428962429256,0.3629215076140349
2021,2021-05-22T17:30:46Z,-0.4481428962429256,0.37975257825174014,-0.6459999999999866,1,0.08449698539689125,-0.4648612250497572,0.3633545646921786
2021,2021-05-22T17:35:46Z,-0.4648612250497572,0.38016646312193636,-0.08899999999999864,1,0.08466566648079875,-0.4330386839266299,0.3637170656928927
2021,2021-05-22T17:39:56Z,-0.4330386839266299,0.3777654967607745,-1.0560000000000116,1,0.08368883645558056,-0.4851735916256484,0.3616127859490655
2021,2021-05-22T17:44:56Z,-0.4851735916256484,0.3785020567471789,-0.9470000000000027,1,0.08398806820565237,-0.5239614995113652,0.36225868736488825
2021,2021-05-22T17:49:06Z,-0.5239614995113652,0.3763615591927508,-0.20000000000001705,1,0.08311955376320979,-0.4970339642355216,0.3603807746745313
2021,2021-05-22T17:53:16Z,-0.4970339642355216,0.37455436110354123,-0.9970000000000141,1,0.0823888380552834,-0.5382255849892644,0.3587931987390233
2021,2021-05-22T17:58:16Z,-0.5382255849892644,0.3758092061956177,-5.343999999999994,1,0.08289596784252905,-0.9366049063544427,0.3598957484521756
2021,2021-05-22T18:07:26Z,-0.9366049063544427,0.3904377241259076,-0.014000000000010004,1,0.08889026597814478,-0.8545943108358558,0.3726808830498973
2021,2021-05-22T18:12:27Z,-0.8545943108358558,0.3891435561043224,-1.1359999999999957,1,0.0883539398112234,-0.8794576121588,0.37155488283029814
2021,2021-05-22T18:17:26Z,-0.8794576121588,0.38795794139103523,-0.5520000000000209,1,0.08786361108053495,-0.8506860038787204,0.3705224585815762
2021,2021-05-22T18:21:37Z,-0.8506860038787204,0.38437641140771006,-1.4269999999999925,1,0.08638832807780798,-0.9004728064514774,0.36739864265069755
2021,2021-05-22T18:26:36Z,-0.9004728064514774,0.38397929104954126,-1.304000000000002,1,0.08622529894684472,-0.9352670593483803,0.367051807793457
2021,2021-05-22T18:30:47Z,-0.9352670593483803,0.3810319710178901,-0.11899999999999977,1,0.08501880152442827,-0.8658690122387116,0.36447479663471816
2021,2021-05-22T18:35:48Z,-0.8658690122387116,0.38129194070762346,0.31800000000001205,1,0.0851249750342755,-0.7650921921280378,0.36470230804185416
2021,2021-05-22T18:40:48Z,-0.7650921921280378,0.38145481185987873,1.2279999999999802,1,0.08519151712854747,-0.5952976445035896,0.3648448238818189
2021,2021-05-22T18:44:56Z,-0.5952976445035896,0.3787414406249846,-0.40800000000001546,1,0.08408540264594297,-0.5795486466508699,0.3624685388199725
2021,2021-05-22T18:49:55Z,-0.5795486466508699,0.379264782134618,0.15800000000001546,1,0.08429833757680162,-0.5173745218561804,0.3629271999502828
2021,2021-05-22T18:54:55Z,-0.5173745218561804,0.37975801830080236,-0.46299999999999386,1,0.08449920173050886,-0.5127799181648545,0.3633593300080791
2021,2021-05-22T19:02:24Z,-0.5127799181648545,0.38825035226932303,-0.6490000000000009,1,0.08798445193907668,-0.524765167408216,0.37077716509354686
2021,2021-05-22T19:06:36Z,-0.524765167408216,0.3846761055158057,-1.2830000000000155,1,0.08651143399602,-0.5903611500814647,0.36766032641390783
2021,2021-05-22T19:55:55Z,-0.5903611500814647,0.5083953012031562,-0.3540000000000134,1,0.14193884629784428,-0.5568123211292719,0.47093465294070436
