year,driver_name,driver_key,car_number,attempt_id,attempt_index,speed_mph,time_utc,complete,valid,reference_speed_mph,reference_type,reference_model_role,reference_residual_mph
2023,Christian Lundgaard,christian lundgaard,45,f504e7df-42b4-563e-a2a2-529b0200caba,1,230.522,,True,True,231.153,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.6310000000000002
2023,Christian Lundgaard,christian lundgaard,45,d3cf5026-1b00-5bfb-8172-34a03ecce358,2,230.859,,True,True,231.153,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.2939999999999827
2023,Christian Lundgaard,christian lundgaard,45,c8919a56-98b9-5688-90ea-6aa29ed080e0,3,231.056,,True,True,231.153,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.09699999999997999
2023,Christian Lundgaard,christian lundgaard,45,b817b1da-3d3e-5619-bf2d-926dc0e7bfd0,4,230.615,,True,True,231.153,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.5379999999999825
2023,Pato O'Ward,pato o ward,5,86528548-acb2-5972-a3cd-583a1a3f0514,1,233.252,2023-05-20T16:37:19+00:00,True,True,233.796,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.5439999999999827
2023,RC Enerson,rc enerson,50,66a44749-a775-58cd-858d-98e243eba973,1,231.129,2023-05-20T16:09:35+00:00,True,True,231.242,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.11299999999999955
2023,Sting Ray Robb,sting ray robb,51,945afc8b-1f85-54cf-a7c0-a36c707605f6,1,229.955,,True,True,231.699,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-1.7439999999999998
2023,Sting Ray Robb,sting ray robb,51,7d60bb86-6562-54bb-b274-1e7b707149cf,2,230.218,,True,True,231.699,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-1.481000000000023
2023,Sting Ray Robb,sting ray robb,51,aaf63a9f-e624-503d-accf-8f1798a60779,3,230.74,,True,True,231.699,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.9590000000000032
2023,Benjamin Pedersen,benjamin pedersen,55,5ff6581d-9433-56e7-89ca-1cba397b1eb5,1,232.739,2023-05-20T15:46:28+00:00,True,True,233.197,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.4579999999999984
2023,Felix Rosenqvist,felix rosenqvist,6,9c85ad9a-de5a-5a03-9262-9ef6823db9e8,1,233.099,,True,True,233.458,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.35900000000000887
2023,Felix Rosenqvist,felix rosenqvist,6,f684d582-76d7-5411-83d0-39af174901c3,2,233.947,,True,True,233.458,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,0.4890000000000043
2023,Simon Pagenaud,simon pagenaud,60,368dae23-2a23-508f-9f4a-968aafca6e0d,1,231.687,,True,True,232.595,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.907999999999987
2023,Simon Pagenaud,simon pagenaud,60,09fab927-89b4-520d-aad1-456ac5f4f11a,2,231.878,,True,True,232.595,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.717000000000013
2023,Tony Kanaan,tony kanaan,66,09f4cf1e-3fb8-5bfc-808c-b733eb495b54,1,232.446,2023-05-20T16:00:52+00:00,True,True,233.097,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.6510000000000105
2023,Tony Kanaan,tony kanaan,66,fdb7fb74-bf21-54a6-8668-36c035e40628,2,232.62,2023-05-20T18:58:45+00:00,True,True,233.097,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.47700000000000387
2023,Tony Kanaan,tony kanaan,66,d1af19f4-254b-5058-b545-543906d4584e,3,233.347,2023-05-20T20:33:51+00:00,True,True,233.097,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,0.25
2023,Alexander Rossi,alexander rossi,7,14c2e6a1-d204-5d45-adf6-473781a78254,1,233.528,2023-05-20T15:33:22+00:00,True,True,233.134,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,0.39400000000000546
2023,Callum Ilott,callum ilott,77,f7e8b948-2fd0-5183-971b-aaea5c66c226,1,227.72,2023-05-20T16:41:46+00:00,True,True,228.942,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-1.2220000000000084
2023,Callum Ilott,callum ilott,77,333cf68d-54d9-5559-ac70-c73c27086892,2,231.182,2023-05-20T18:45:04+00:00,True,True,228.942,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,2.2399999999999807
2023,Agustin Canapino,agustin canapino,78,6ae025d8-4be3-5efa-ab70-c02c7b475629,1,231.32,,True,True,232.92,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-1.5999999999999943
2023,Marcus Ericsson,marcus ericsson,8,67f2af5c-ca4c-55e7-8c2a-5361873b43cc,1,232.735,2023-05-20T15:24:22+00:00,True,True,233.112,FOUR_LAP_QUALIFYING_SIM,CORE_DEVELOPMENT,-0.37699999999998113
2023,Marcus Ericsson,marcus ericsson,8,fce06089-154b-512e-a547-fd144ec0961c,2,232.421,2023-05-20T18:14:06+00:00,True,True,233.112,FOUR_LAP_QUALIFYING_SIM,CORE_DEVELOPMENT,-0.6910000000000025
2023,Marcus Ericsson,marcus ericsson,8,79d389ee-b055-582a-8985-c09472aa4d69,3,233.03,2023-05-20T19:57:53+00:00,True,True,233.112,FOUR_LAP_QUALIFYING_SIM,CORE_DEVELOPMENT,-0.08199999999999363
2023,Scott Dixon,scott dixon,9,ad6c40ac-4389-5426-b8e5-1d130ac9da81,1,232.914,2023-05-20T15:37:44+00:00,True,True,233.506,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.592000000000013
2023,Scott Dixon,scott dixon,9,3a0bcd66-fa08-5944-bf0b-5ec6c5a10f91,2,233.375,2023-05-20T19:07:40+00:00,True,True,233.506,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-0.13100000000000023
2023,Marco Andretti,marco andretti,98,801c0897-ff3b-5c53-8a26-f5c6d21b22be,1,231.682,,True,True,234.202,GENERAL_FAST_FRIDAY_BEST_SPEED,CORE_DEVELOPMENT,-2.5200000000000102
2024,Helio Castroneves,helio castroneves,06,c3b3df7f-41cc-5c26-b09e-ec23b8860365,,231.871,,True,True,232.495,GENERAL_FAST_FRIDAY_BEST_SPEED,VALIDATION_ONLY,-0.6239999999999952
2024,Alex Palou,alex palou,10,20ffbd55-492b-5cbf-989b-b42c4b8bd2c7,,232.306,,True,True,232.135,GENERAL_FAST_FRIDAY_BEST_SPEED,VALIDATION_ONLY,0.1710000000000207
2024,Marcus Armstrong,marcus armstrong,11,a31aaceb-bf6d-5c61-a607-3022328ecc2c,,232.183,2024-05-18T15:56:15+00:00,True,True,232.105,GENERAL_FAST_FRIDAY_BEST_SPEED,VALIDATION_ONLY,0.07800000000000296
2024,Will Power,will power,12,dde71df5-4fd6-5d14-89ce-1f65485e19f0,1,233.758,2024-05-18T15:56:00+00:00,True,True,233.451,FOUR_LAP_QUALIFYING_SIM,VALIDATION_ONLY,0.30700000000001637
2024,Santino Ferrucci,santino ferrucci,14,107348b8-b02f-55df-a98e-2fb1942250dc,,232.496,,True,True,233.412,GENERAL_FAST_FRIDAY_BEST_SPEED,VALIDATION_ONLY,-0.9159999999999968
2024,Graham Rahal,graham rahal,15,7a43b661-45d0-568a-a5a0-cb277271477b,,230.388,,True,True,231.236,GENERAL_FAST_FRIDAY_BEST_SPEED,VALIDATION_ONLY,-0.8479999999999848
2024,Graham Rahal,graham rahal,15,9c3e9262-c431-5cd6-a825-1390b530a69e,,230.685,,True,True,231.236,GENERAL_FAST_FRIDAY_BEST_SPEED,VALIDATION_ONLY,-0.5509999999999877
