year,driver_name,car_number,reference_speed_mph,reference_type,reference_priority,source_quality,source_type,source_file,extraction_method,model_role,provenance_note,pdf_position,pdf_lap_time
2023,Kyle Kirkwood,27,233.608,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,8,00:38.5260
2023,Romain Grosjean,28,232.942,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,19,00:38.6363
2023,Devlin DeFrancesco,29,232.323,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,26,00:38.7391
2023,Jack Harvey,30,231.166,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,31,00:38.9331
2023,Ed Carpenter,33,232.916,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,21,00:38.6406
2023,Katherine Legge,44,231.42,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,29,00:38.8904
2023,Christian Lundgaard,45,231.153,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,32,00:38.9353
2023,RC Enerson,50,231.242,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,30,00:38.9203
2023,Sting Ray Robb,51,231.699,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,28,00:38.8435
2023,Benjamin Pedersen,55,233.197,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,15,00:38.5939
2023,Simon Pagenaud,60,232.595,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,23,00:38.6939
2023,Tony Kanaan,66,233.097,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,17,00:38.6106
2023,Callum Ilott,77,228.942,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,34,00:39.3113
2023,Agustin Canapino,78,232.92,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,20,00:38.6399
2023,Marco Andretti,98,234.202,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,2,00:38.4283
2024,Josef Newgarden,2,234.063,FOUR_LAP_QUALIFYING_SIM,3,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,r4/evidence/fast_friday/2024_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,VALIDATION_ONLY,Official editorial: best four-lap qualifying sim average.,,
2024,Scott McLaughlin,3,233.623,FOUR_LAP_QUALIFYING_SIM,3,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,r4/evidence/fast_friday/2024_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,VALIDATION_ONLY,Official editorial: second-fastest qualifying sim.,,
2024,Kyffin Simpson,4,230.62,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,32,00:39.0253
2024,Pato O'Ward,5,233.043,FOUR_LAP_QUALIFYING_SIM,3,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,r4/evidence/fast_friday/2024_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,VALIDATION_ONLY,Official editorial: fifth on qualifying sim chart.,,
2024,Callum Ilott,6,233.136,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,14,00:38.6041
2024,Alexander Rossi,7,233.355,FOUR_LAP_QUALIFYING_SIM,3,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,r4/evidence/fast_friday/2024_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,VALIDATION_ONLY,Official editorial: fourth on qualifying sim chart.,,
2024,Linus Lundqvist,8,231.844,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,28,00:38.8192
2024,Scott Dixon,9,232.473,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,21,00:38.7142
2024,Alex Palou,10,232.135,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,24,00:38.7705
2024,Marcus Armstrong,11,232.105,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,26,00:38.7756
2024,Will Power,12,233.451,FOUR_LAP_QUALIFYING_SIM,3,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,r4/evidence/fast_friday/2024_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,VALIDATION_ONLY,Official editorial: third-fastest qualifying sim.,,
2024,Santino Ferrucci,14,233.412,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,10,00:38.5585
2024,Graham Rahal,15,231.236,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,30,00:38.9212
2024,Kyle Larson,17,232.549,FOUR_LAP_QUALIFYING_SIM,3,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,r4/evidence/fast_friday/2024_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,VALIDATION_ONLY,Official editorial: 10th on qualifying sim speed chart.,,
2024,Nolan Siegel,18,229.813,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,34,00:39.1622
2024,Ed Carpenter,20,232.547,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,19,00:38.7018
2024,Rinus VeeKay,21,233.08,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,15,00:38.6134
2024,Ryan Hunter-Reay,23,233.193,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,13,00:38.5947
2024,Conor Daly,24,230.952,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,31,00:38.9692
2024,Colton Herta,26,234.974,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,1,00:38.3021
2024,Kyle Kirkwood,27,233.705,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,8,00:38.5101
2024,Marcus Ericsson,28,232.388,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,22,00:38.7283
2024,Pietro Fittipaldi,30,231.586,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,29,00:38.8624
2024,Christian Rasmussen,33,232.038,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,27,00:38.7867
2024,Sting Ray Robb,41,233.042,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,16,00:38.6197
2024,Christian Lundgaard,45,232.57,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,18,00:38.6981
2024,Katherine Legge,51,230.205,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,33,00:39.0956
2024,Felix Rosenqvist,60,233.252,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,12,00:38.5848
2024,Tom Blomqvist,66,232.246,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,23,00:38.7520
2024,Takuma Sato,75,233.679,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,9,00:38.5144
2024,Romain Grosjean,77,232.135,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,25,00:38.7706
2024,Agustin Canapino,78,233.341,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,11,00:38.5702
2024,Marco Andretti,98,232.901,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,17,00:38.6430
