file,sample_rows,column_count,thermal_score,identity_score,total_score,track_temp_cols,forecast_cols,trend_cols,time_cols,attempt_id_cols,attempt_overlap_sample,sample_unique_attempt_ids
r4f7b_latent_window_training_manifest_v1.csv,329,21,11,8,19,1,2,0,0,1,110,329
r4p0_time_window_coverage_v1.csv,20,12,16,3,19,0,0,0,1,0,0,0
r4f7a_b_latent_readiness_ceiling_rows_v1.csv,329,15,9,7,16,0,3,0,0,1,110,329
r4f6i_reference_type_repeat_window_rows_v1.csv,43,26,14,2,16,0,0,7,0,0,0,0
r4f6j_strict_repeat_support_pairs_v1.csv,92,31,2,14,16,0,0,1,6,0,0,0
r4p7_forecast_horizon_window_scores_v1.csv,40,20,9,4,13,0,3,0,1,0,0,0
r4p11_stochastic_wait_performance_mc_results_v1.csv,9,19,12,0,12,0,0,6,0,0,0,0
r4f4_cross_car_residual_observations_v1.csv,40,14,0,11,11,0,0,0,2,1,35,40
r4f6h_fast_friday_qualifying_join_v1.csv,126,14,0,10,10,0,0,0,1,1,26,126
r4f6h_repeat_window_validation_metrics_v1.csv,9,11,10,0,10,0,0,0,0,0,0,0
r4f6h_v2_repeat_window_validation_rows.csv,55,21,8,2,10,0,0,4,0,0,0,0
r4f7a_b_latent_readiness_ceiling_by_year_v1.csv,5,18,9,1,10,0,3,0,0,0,0,0
r4f5b_first_run_field_residuals_v1.csv,79,11,0,9,9,0,0,0,1,1,71,79
r4f5b_partial_pooled_latent_window_target_v1.csv,500,17,6,3,9,0,0,0,1,0,0,0
r4f4b_repeat_residual_temporal_position_audit_v1.csv,40,10,0,8,8,0,0,0,1,1,35,40
r4f4b_repeat_residual_temporal_position_audit_v2.csv,40,10,0,8,8,0,0,0,1,1,35,40
r4f5c_cross_car_window_anchor_validation_v1.csv,40,17,0,8,8,0,0,0,1,1,35,40
r4p4_improvement_probability_predictions_v1.csv,186,9,2,6,8,0,0,1,0,1,35,40
r4f6h_v2_strict_attempt_eligibility_audit.csv,329,13,0,7,7,0,0,0,0,1,110,329
r4f6i_performance_status_eligibility_audit_v1.csv,329,12,0,7,7,0,0,0,0,1,110,329
r4f4b_repeat_residual_temporal_position_summary_v1.csv,4,10,0,7,7,0,0,0,3,0,0,0
r4f7a_latent_window_input_readiness_by_year_v1.csv,5,10,6,1,7,0,2,0,0,0,0,0
r4f7a_v2_expanded_latent_window_input_readiness_by_year.csv,5,10,6,1,7,0,2,0,0,0,0,0
r4p10_thermal_conditioned_repeat_predictions_v1.csv,195,13,6,1,7,0,0,3,0,0,0,0
r4p6_decision_safe_probability_predictions_v1.csv,5,8,0,6,6,0,0,0,0,1,4,5
r4f3_shared_state_linkage_summary_v1.csv,3,8,5,1,6,0,1,0,0,0,0,0
r4f3a_shared_state_linkage_summary_v1.csv,3,8,5,1,6,0,1,0,0,0,0,0
r4f3b_shared_state_linkage_summary_v1.csv,3,8,5,1,6,0,1,0,0,0,0,0
r4lc5a_last_chance_chronology_action_ledger_v1.csv,22,22,0,6,6,0,0,0,2,0,0,0
r4p9_track_temp_delta_direction_predictions_v1.csv,500,9,4,2,6,0,0,2,1,0,0,0
r4f4b_repeat_residual_temporal_position_summary_v2.csv,4,10,0,5,5,0,0,0,2,0,0,0
r4f5a_offline_repeat_latent_window_target_v1.csv,500,11,2,3,5,0,0,0,1,0,0,0
r4p1_four_lap_shape_summary_v1.csv,15,10,4,1,5,0,0,2,0,0,0,0
r4f1_day1_fused_interface_v1.csv,138,37,0,4,4,0,0,0,1,0,0,0
r4f2_canonical_fused_decision_dataset_v1.csv,148,37,0,4,4,0,0,0,1,0,0,0
r4f2_canonical_fused_decision_dataset_v2.csv,148,39,0,4,4,0,0,0,1,0,0,0
r4f6h_v2_repeat_window_validation_metrics.csv,9,9,4,0,4,0,0,0,0,0,0,0
r4f6j_b_temporal_support_potential_pairs_v1.csv,43,15,2,2,4,0,0,1,0,0,0,0
r4lc4_last_chance_attempt_candidates_v1.csv,15,33,2,2,4,0,0,1,0,0,0,0
r4lc5d_last_chance_decision_opportunity_panel_v1.csv,10,21,0,4,4,0,0,0,1,0,0,0
r4lc5e_last_chance_fused_interface_v1.csv,10,37,0,4,4,0,0,0,1,0,0,0
r4lc5e_last_chance_fused_interface_v2.csv,10,38,0,4,4,0,0,0,1,0,0,0
r4p11_stochastic_wait_performance_mc_draws_sample_v1.csv,500,7,4,0,4,0,0,2,0,0,0,0
r4p9_track_temp_delta_regression_metrics_v1.csv,10,6,4,0,4,0,0,2,0,0,0,0
r4f4_window_residual_context_summary_v1.csv,3,15,2,1,3,0,0,0,0,0,0,0
r4f6g_canonical_fast_friday_reference_panel_v2.csv,71,15,0,3,3,0,0,0,0,0,0,0
r4f6g_fast_friday_all_reference_evidence_v2.csv,81,15,0,3,3,0,0,0,0,0,0,0
r4f6j_candidate_expanded_fast_friday_reference_panel_v1.csv,171,16,0,3,3,0,0,0,0,0,0,0
r4f6j_missing_fast_friday_reference_evidence_v1.csv,108,16,0,3,3,0,0,0,0,0,0,0
r4f6k_2021_fast_friday_general_reference_rows_v1.csv,35,16,0,3,3,0,0,0,0,0,0,0
r4f6k_expanded_fast_friday_all_evidence_v1.csv,214,16,0,3,3,0,0,0,0,0,0,0
r4f6k_expanded_fast_friday_canonical_panel_v1.csv,202,16,0,3,3,0,0,0,0,0,0,0
r4f6k_fast_friday_quarantine_v1.csv,1,17,0,3,3,0,0,0,0,0,0,0
r4lc5a_last_chance_chronology_action_summary_v1.csv,3,8,0,3,3,0,0,0,1,0,0,0
r4f5c_cross_car_window_anchor_metrics_v1.csv,9,7,2,0,2,0,0,0,0,0,0,0
r4f5c_cross_car_window_anchor_metrics_v2.csv,18,8,2,0,2,0,0,0,0,0,0,0
r4f6f_canonical_fast_friday_reference_panel_v1.csv,2,12,0,2,2,0,0,0,0,0,0,0
r4f6f_v2_known_driver_roster.csv,108,5,0,2,2,0,0,0,0,0,0,0
r4f6g_canonical_fast_friday_reference_panel_v1.csv,69,14,0,2,2,0,0,0,0,0,0,0
r4f6g_fast_friday_all_reference_evidence_v1.csv,81,14,0,2,2,0,0,0,0,0,0,0
r4f6i_reference_type_repeat_window_metrics_v1.csv,9,10,2,0,2,0,0,0,0,0,0,0
r4lc2f_driver_event_probe_summary_v2.csv,123,8,0,2,2,0,0,0,0,0,0,0
r4lc2f_last_chance_session_registry_v1.csv,26,7,0,2,2,0,0,0,0,0,0,0
r4lc2f_last_chance_session_registry_v2.csv,38,9,0,2,2,0,0,0,0,0,0,0
r4lc3_last_chance_official_records_v1.csv,15,37,0,2,2,0,0,0,0,0,0,0
r4lc4_last_chance_repeat_group_summary_v1.csv,13,10,0,2,2,0,0,0,0,0,0,0
r4lc5b_last_chance_predecision_state_ledger_v1.csv,7,23,0,2,2,0,0,0,0,0,0,0
r4lc5c_last_chance_evidence_role_gate_v1.csv,7,32,0,2,2,0,0,0,0,0,0,0
r4p0_baseline_feasibility_v1.csv,4,8,2,0,2,0,0,0,0,0,0,0
r4p8_track_temperature_forecast_predictions_v1.csv,500,6,0,2,2,0,0,0,1,0,0,0
r4f1_day1_fused_interface_summary_v1.csv,5,10,0,1,1,0,0,0,0,0,0,0
r4f2_canonical_fused_decision_summary_v1.csv,8,14,0,1,1,0,0,0,0,0,0,0
r4f2_canonical_fused_decision_summary_v2.csv,8,14,0,1,1,0,0,0,0,0,0,0
r4f5a_offline_repeat_latent_window_summary_v1.csv,5,8,0,1,1,0,0,0,0,0,0,0
r4f5b_partial_pooled_latent_window_summary_v1.csv,5,11,0,1,1,0,0,0,0,0,0,0
r4f5c_cross_car_window_anchor_year_metrics_v2.csv,4,7,0,1,1,0,0,0,0,0,0,0
r4f6b_presession_candidate_year_coverage_v1.csv,6,6,0,1,1,0,0,0,0,0,0,0
r4f6c_fast_friday_source_map_v1.csv,6,11,0,1,1,0,0,0,0,0,0,0
r4f6d_fast_friday_numeric_acquisition_manifest_v1.csv,10,11,0,1,1,0,0,0,0,0,0,0
r4f6e_fast_friday_numeric_content_audit_v1.csv,10,17,0,1,1,0,0,0,0,0,0,0
r4f6e_fast_friday_numeric_year_summary_v1.csv,5,8,0,1,1,0,0,0,0,0,0,0
r4f6e_fast_friday_pdf_recovery_v1.csv,2,10,0,1,1,0,0,0,0,0,0,0
r4f6f_fast_friday_extraction_diagnostics_v1.csv,88,4,0,1,1,0,0,0,0,0,0,0
r4f6f_fast_friday_reference_summary_v1.csv,3,6,0,1,1,0,0,0,0,0,0,0
r4f6f_v2_editorial_numeric_contexts.csv,29,5,0,1,1,0,0,0,0,0,0,0
r4f6f_v2_pdf_numeric_line_reconnaissance.csv,68,10,0,1,1,0,0,0,0,0,0,0
r4f6g_fast_friday_reference_summary_v1.csv,3,7,0,1,1,0,0,0,0,0,0,0
r4f6g_fast_friday_reference_summary_v2.csv,3,6,0,1,1,0,0,0,0,0,0,0
r4f6h_entry_reference_metrics_v1.csv,3,8,0,1,1,0,0,0,0,0,0,0
r4f6h_v2_entry_reference_metrics.csv,3,7,0,1,1,0,0,0,0,0,0,0
r4f6i_reference_type_entry_strength_robustness_v1.csv,4,7,0,1,1,0,0,0,0,0,0,0
r4f6j_b_temporal_support_potential_by_year_v1.csv,5,7,0,1,1,0,0,0,0,0,0,0
r4f6j_missing_fast_friday_reference_summary_v1.csv,6,11,0,1,1,0,0,0,0,0,0,0
r4f6j_missing_fast_friday_source_manifest_v1.csv,9,12,0,1,1,0,0,0,0,0,0,0
r4f6j_strict_repeat_support_by_year_v1.csv,5,7,0,1,1,0,0,0,0,0,0,0
r4f6k_expanded_fast_friday_summary_v1.csv,6,7,0,1,1,0,0,0,0,0,0,0
r4f7a_v2_reference_expansion_gain_by_year.csv,5,6,0,1,1,0,0,0,0,0,0,0
r4lc0_last_chance_local_summary_v1.csv,6,5,0,1,1,0,0,0,0,0,0,0
r4lc1_last_chance_year_registry_v1.csv,6,8,0,1,1,0,0,0,0,0,0,0
r4lc2_last_chance_official_report_links_v1.csv,66,4,0,1,1,0,0,0,0,0,0,0
r4lc2_last_chance_official_source_registry_v1.csv,3,12,0,1,1,0,0,0,0,0,0,0
r4lc2b_last_chance_dynamic_tokens_v1.csv,42,4,0,1,1,0,0,0,0,0,0,0
r4lc2b_last_chance_embedded_urls_v1.csv,69,2,0,1,1,0,0,0,0,0,0,0
r4lc2b_last_chance_html_audit_v1.csv,3,6,0,1,1,0,0,0,0,0,0,0
r4lc2b_last_chance_script_sources_v1.csv,6,2,0,1,1,0,0,0,0,0,0,0
r4lc2d_indy500_event_session_registry_v1.csv,3,10,0,1,1,0,0,0,0,0,0,0
r4lc2f_last_chance_session_details_summary_v1.csv,0,12,0,1,1,0,0,0,0,0,0,0
r4lc2f_last_chance_session_details_summary_v2.csv,3,11,0,1,1,0,0,0,0,0,0,0
r4lc3_last_chance_record_field_inventory_v1.csv,102,5,0,1,1,0,0,0,0,0,0,0
r4lc3_last_chance_session_reports_v1.csv,6,13,0,1,1,0,0,0,0,0,0,0
r4lc5b_last_chance_predecision_state_summary_v1.csv,3,7,0,1,1,0,0,0,0,0,0,0
r4lc5d_last_chance_decision_opportunity_summary_v1.csv,3,6,0,1,1,0,0,0,0,0,0,0
r4lc5e_last_chance_fused_interface_summary_v1.csv,3,8,0,1,1,0,0,0,0,0,0,0
r4lc5e_last_chance_fused_interface_summary_v2.csv,3,8,0,1,1,0,0,0,0,0,0,0
r4p3_window_signal_predictions_v1.csv,500,9,0,1,1,0,0,0,0,0,0,0
