endpoint,position,parameter_tokens,context
/api/results/DriverEventDetails,490070,driverID;eventID;id;year,"remove() } else console.warn(""No race data found for this year."") }, error: function (t) { console.error(""Error loading drivers data:"", t), r(""#all-drivers-results-table"").DataTable().clear().draw() } }) }, BuildDriverEventDisplay = function () { var t = r(""#driver-dropdown .custom-select-menu a[aria-selected='true']"").data(""driverid""), e = r(""#race-dropdown-driver .custom-select-menu a[aria-selected='true']""), a = e.data(""eventid""); r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/DriverEventDetails?driverID="" + t + ""&eventID="" + a, success: function (t) { n.DriverEvent = t.EventName, n.DriverSessions = t.EventSessionList || [], c(); var a = r("".driver-tabs""); a.empty(), n.DriverSessions.length ? (n.DriverSessions.forEach((function (t, e) { var r = 0 === e ? ""true"" : ""false"", n = '\n                <button class=""tab btn btn-secondary '.concat(0 === e ? ""active"" : """", '"" role=""tab""\n                    data-tab-value=""').concat(t.SessionId, '""\n                    data-tab-category=""').concat(t.SessionName, '""\n                    aria-selected=""').concat(r, '"">\n                    <span>').concat(t.SessionName, ""</span>\n                </button>\n                ""); a.append(n) })), n.DriverSessions.length > 0 && i(n.DriverSessions[0].SessionId), r(""#driver-results .tabs-details-header"").text(t.DriverName), r(""#driver-results .tabs-details-subheader"").text(r(""#season-select-button-driver"").text().trim() + "" Season Race Results""), r(""#driver-results .tabs-details-descriptor"").text(e.text())) : console.warn(""No sessions available for this event."""
/api/results/DriverEventDetails,490071,driverID;eventID;id;year,"emove() } else console.warn(""No race data found for this year."") }, error: function (t) { console.error(""Error loading drivers data:"", t), r(""#all-drivers-results-table"").DataTable().clear().draw() } }) }, BuildDriverEventDisplay = function () { var t = r(""#driver-dropdown .custom-select-menu a[aria-selected='true']"").data(""driverid""), e = r(""#race-dropdown-driver .custom-select-menu a[aria-selected='true']""), a = e.data(""eventid""); r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/DriverEventDetails?driverID="" + t + ""&eventID="" + a, success: function (t) { n.DriverEvent = t.EventName, n.DriverSessions = t.EventSessionList || [], c(); var a = r("".driver-tabs""); a.empty(), n.DriverSessions.length ? (n.DriverSessions.forEach((function (t, e) { var r = 0 === e ? ""true"" : ""false"", n = '\n                <button class=""tab btn btn-secondary '.concat(0 === e ? ""active"" : """", '"" role=""tab""\n                    data-tab-value=""').concat(t.SessionId, '""\n                    data-tab-category=""').concat(t.SessionName, '""\n                    aria-selected=""').concat(r, '"">\n                    <span>').concat(t.SessionName, ""</span>\n                </button>\n                ""); a.append(n) })), n.DriverSessions.length > 0 && i(n.DriverSessions[0].SessionId), r(""#driver-results .tabs-details-header"").text(t.DriverName), r(""#driver-results .tabs-details-subheader"").text(r(""#season-select-button-driver"").text().trim() + "" Season Race Results""), r(""#driver-results .tabs-details-descriptor"").text(e.text())) : console.warn(""No sessions available for this event."")"
/api/results/AllTimeWinnerYears,492037,id;series,"api/results/YearsBySeries?series="" + t, success: function (t) { t.forEach((function (t) { var e = t === n.Season ? ' aria-selected=""true""' : """"; r(""#season-dropdown-season .custom-select-menu"").append('<a href=""#"" role=""option"" '.concat(e, "">"").concat(t, ""</a>"")) })), t.length > 0 && r(""#season-select-button-season"").text(n.Season) }, error: this.ErrorHandler })) : (r(""#season-dropdown-season .custom-select-menu"").empty(), r.ajax({ type: ""GET"", async: !1, dataType: ""json"", url: n.Environment + ""/api/results/AllTimeWinnerYears"", success: function (t) { t.forEach((function (t) { var e = t === n.Season ? ' aria-selected=""true""' : """"; r(""#season-dropdown-season .custom-select-menu"").append('<a href=""#"" role=""option""'.concat(e, "">"").concat(t, ""</a>"")) })), t.length > 0 && r(""#season-select-button-season"").text(n.Season) }, error: this.ErrorHandler })), BuildAllTimeSeriesDropDown() }, a.prototype.PopulateSeasonsDropdown = function () { console.log(n.Series); var t = this; r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/SeasonDropDown?id="" + n.Series, success: function (e) { if (Array.isArray(e)) { n.SeasonDropDownData = e; var a = r(""#season-dropdown-race .custom-select-menu""); a.empty(), e.forEach((function (t) { var e = t.Year === n.Season ? ' aria-selected=""true""' : """"; a.append('<a href=""/Results/'.concat(n.SeriesName, ""/"").concat(t.Year, '"" role=""option""').concat(e, "">"").concat(t.Year, ""</a>"")) })), e.length > 0 && (r(""#season-select-button-race"").text(n.Season), t.UpdateSeason()) } else console.error(""Invalid response format:"", e) }, error: functi"
/api/results/AllTimeWinnerYears,492038,id;series,"pi/results/YearsBySeries?series="" + t, success: function (t) { t.forEach((function (t) { var e = t === n.Season ? ' aria-selected=""true""' : """"; r(""#season-dropdown-season .custom-select-menu"").append('<a href=""#"" role=""option"" '.concat(e, "">"").concat(t, ""</a>"")) })), t.length > 0 && r(""#season-select-button-season"").text(n.Season) }, error: this.ErrorHandler })) : (r(""#season-dropdown-season .custom-select-menu"").empty(), r.ajax({ type: ""GET"", async: !1, dataType: ""json"", url: n.Environment + ""/api/results/AllTimeWinnerYears"", success: function (t) { t.forEach((function (t) { var e = t === n.Season ? ' aria-selected=""true""' : """"; r(""#season-dropdown-season .custom-select-menu"").append('<a href=""#"" role=""option""'.concat(e, "">"").concat(t, ""</a>"")) })), t.length > 0 && r(""#season-select-button-season"").text(n.Season) }, error: this.ErrorHandler })), BuildAllTimeSeriesDropDown() }, a.prototype.PopulateSeasonsDropdown = function () { console.log(n.Series); var t = this; r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/SeasonDropDown?id="" + n.Series, success: function (e) { if (Array.isArray(e)) { n.SeasonDropDownData = e; var a = r(""#season-dropdown-race .custom-select-menu""); a.empty(), e.forEach((function (t) { var e = t.Year === n.Season ? ' aria-selected=""true""' : """"; a.append('<a href=""/Results/'.concat(n.SeriesName, ""/"").concat(t.Year, '"" role=""option""').concat(e, "">"").concat(t.Year, ""</a>"")) })), e.length > 0 && (r(""#season-select-button-race"").text(n.Season), t.UpdateSeason()) } else console.error(""Invalid response format:"", e) }, error: functio"
/api/results/SeasonDropDown,492580,id,"function (t) { t.forEach((function (t) { var e = t === n.Season ? ' aria-selected=""true""' : """"; r(""#season-dropdown-season .custom-select-menu"").append('<a href=""#"" role=""option""'.concat(e, "">"").concat(t, ""</a>"")) })), t.length > 0 && r(""#season-select-button-season"").text(n.Season) }, error: this.ErrorHandler })), BuildAllTimeSeriesDropDown() }, a.prototype.PopulateSeasonsDropdown = function () { console.log(n.Series); var t = this; r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/SeasonDropDown?id="" + n.Series, success: function (e) { if (Array.isArray(e)) { n.SeasonDropDownData = e; var a = r(""#season-dropdown-race .custom-select-menu""); a.empty(), e.forEach((function (t) { var e = t.Year === n.Season ? ' aria-selected=""true""' : """"; a.append('<a href=""/Results/'.concat(n.SeriesName, ""/"").concat(t.Year, '"" role=""option""').concat(e, "">"").concat(t.Year, ""</a>"")) })), e.length > 0 && (r(""#season-select-button-race"").text(n.Season), t.UpdateSeason()) } else console.error(""Invalid response format:"", e) }, error: function (t) { console.error(""Error loading seasons:"", t) } }) }, a.prototype.UpdateSeason = function () { var t = n.SeasonDropDownData.find((function (t) { return t.Year === n.Season })); t && (n.SeasonEvents = t.Events, this.PopulateRaceDropdown()) }, a.prototype.PopulateRaceDropdown = function () { var t = r(""#race-dropdown .custom-select-menu""); t.empty(), n.Race || (n.Race = n.SeasonEvents[0].EventName.replaceAll("" "", ""-"").replaceAll(""'"", """").toLowerCase()); var e = """"; n.SeasonEvents.forEach((function (r) { var a = r.EventName.replaceAll"
/api/results/SeasonDropDown,492581,id,"unction (t) { t.forEach((function (t) { var e = t === n.Season ? ' aria-selected=""true""' : """"; r(""#season-dropdown-season .custom-select-menu"").append('<a href=""#"" role=""option""'.concat(e, "">"").concat(t, ""</a>"")) })), t.length > 0 && r(""#season-select-button-season"").text(n.Season) }, error: this.ErrorHandler })), BuildAllTimeSeriesDropDown() }, a.prototype.PopulateSeasonsDropdown = function () { console.log(n.Series); var t = this; r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/SeasonDropDown?id="" + n.Series, success: function (e) { if (Array.isArray(e)) { n.SeasonDropDownData = e; var a = r(""#season-dropdown-race .custom-select-menu""); a.empty(), e.forEach((function (t) { var e = t.Year === n.Season ? ' aria-selected=""true""' : """"; a.append('<a href=""/Results/'.concat(n.SeriesName, ""/"").concat(t.Year, '"" role=""option""').concat(e, "">"").concat(t.Year, ""</a>"")) })), e.length > 0 && (r(""#season-select-button-race"").text(n.Season), t.UpdateSeason()) } else console.error(""Invalid response format:"", e) }, error: function (t) { console.error(""Error loading seasons:"", t) } }) }, a.prototype.UpdateSeason = function () { var t = n.SeasonDropDownData.find((function (t) { return t.Year === n.Season })); t && (n.SeasonEvents = t.Events, this.PopulateRaceDropdown()) }, a.prototype.PopulateRaceDropdown = function () { var t = r(""#race-dropdown .custom-select-menu""); t.empty(), n.Race || (n.Race = n.SeasonEvents[0].EventName.replaceAll("" "", ""-"").replaceAll(""'"", """").toLowerCase()); var e = """"; n.SeasonEvents.forEach((function (r) { var a = r.EventName.replaceAll("
/api/results/EventsSessionDetails,495394,SessionID;id,"ionID, '"" \n                 data-tab-category=""').concat(r.SessionName, '""\n                 aria-selected=""').concat(o, '"">\n            <span>').concat(r.SessionName, ""</span>\n        </button>"")) })), this.AdjustTabsBarScrollingContainer(), n.ViewBy = n.SeasonSessions[e].EventsSessionID, n.Session = n.SeasonSessions[e].EventsSessionID, this.UpdateSession() } }, a.prototype.UpdateSession = function () { toggleOverlayForStats(!0), r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/EventsSessionDetails?id="" + n.Session, success: function (n) { r(""#race-results .tabs-details-header"").text(n.EventName || ""Unknown Event""), r(""#race-results .tabs-details-subheader"").text(n.SessionName || ""Unknown Session""), r(""#race-results .tabs-details-descriptor"").text(n.SessionDateFormatted || ""Date Not Available""), r(""#race-results-table-container"").parent().hide(), r(""#qualifying-results-table-container"").parent().hide(), r(""#practice-results-table-container"").parent().hide(); var a, o, i, c, u = """"; if (""R"" === n.SessionType) r(""#race-results-table-container"").show(), r(""#race-results-table-container"").parent().show(), a = r(""#race-results-table tbody""), u = ""#race-results-table""; else if (""Q"" === n.SessionType) r(""#qualifying-results-table-container"").show(), r(""#qualifying-results-table-container"").parent().show(), a = r(""#qualifying-results-table tbody""), u = ""#qualifying-results-table""; else { if (""P"" !== n.SessionType) return void console.warn(""Unknown session type:"", n.SessionType); r(""#practice-results-table-container"").show(), r(""#practice-results-table-"
/api/results/EventsSessionDetails,495395,SessionID;id,"onID, '"" \n                 data-tab-category=""').concat(r.SessionName, '""\n                 aria-selected=""').concat(o, '"">\n            <span>').concat(r.SessionName, ""</span>\n        </button>"")) })), this.AdjustTabsBarScrollingContainer(), n.ViewBy = n.SeasonSessions[e].EventsSessionID, n.Session = n.SeasonSessions[e].EventsSessionID, this.UpdateSession() } }, a.prototype.UpdateSession = function () { toggleOverlayForStats(!0), r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/EventsSessionDetails?id="" + n.Session, success: function (n) { r(""#race-results .tabs-details-header"").text(n.EventName || ""Unknown Event""), r(""#race-results .tabs-details-subheader"").text(n.SessionName || ""Unknown Session""), r(""#race-results .tabs-details-descriptor"").text(n.SessionDateFormatted || ""Date Not Available""), r(""#race-results-table-container"").parent().hide(), r(""#qualifying-results-table-container"").parent().hide(), r(""#practice-results-table-container"").parent().hide(); var a, o, i, c, u = """"; if (""R"" === n.SessionType) r(""#race-results-table-container"").show(), r(""#race-results-table-container"").parent().show(), a = r(""#race-results-table tbody""), u = ""#race-results-table""; else if (""Q"" === n.SessionType) r(""#qualifying-results-table-container"").show(), r(""#qualifying-results-table-container"").parent().show(), a = r(""#qualifying-results-table tbody""), u = ""#qualifying-results-table""; else { if (""P"" !== n.SessionType) return void console.warn(""Unknown session type:"", n.SessionType); r(""#practice-results-table-container"").show(), r(""#practice-results-table-c"
/api/results/AllTimeWinnerSeriesByYear,508085,id;series;year,"uerySelector("".loading-overlay"") && (t ? (document.body.classList.add(""loading-overlay-active""), console.log(document.body.classList, t)) : (document.body.classList.remove(""loading-overlay-active""), console.log(document.body.classList, t))) }, AllTimeYearChanged = function () { BuildAllTimeSeriesDropDown() }, BuildAllTimeSeriesDropDown = function () { var t = r(""#season-select-button-season"").text().trim(), e = r(""#hdnSeries"").val(); r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/AllTimeWinnerSeriesByYear?year="" + t + ""&id="" + e, success: function (t) { var e = r(""#series-dropdown .custom-select-menu""); e.empty(), Array.isArray(t) && 0 !== t.length ? (t.forEach((function (t) { var r = t.SeriesID === n.Series ? ' aria-selected=""true""' : """"; e.append('<a href=""#"" role=""option"" data-seriesid=""'.concat(t.SeriesID, '""').concat(r, "">"").concat(t.Name, ""</a>"")) })), t.length > 0 && (n.Series = t[0].SeriesID, r(""#series-select-button"").text(t[0].Name), AllTimeSeriesChanged())) : console.warn(""No series data available."") }, error: function (t) { console.error(""Error loading series:"", t) } }) }, AllTimeSeriesChanged = function () { var t = r(""#season-select-button-season"").text().trim(), e = r(""#series-select-button"").text().trim(), a = n.Series; r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/AllTimeWinnersByYearSeries?year="" + t + ""&series="" + a, success: function (n) { var a = JSON.parse(JSON.stringify(n).replace(/null/g, '""-""')), o = ""#season-results-table"", i = r(""#season-results-table tbody""); if (s(o), a && 0 !== a.length) "
/api/results/AllTimeWinnerSeriesByYear,508086,id;series;year,"erySelector("".loading-overlay"") && (t ? (document.body.classList.add(""loading-overlay-active""), console.log(document.body.classList, t)) : (document.body.classList.remove(""loading-overlay-active""), console.log(document.body.classList, t))) }, AllTimeYearChanged = function () { BuildAllTimeSeriesDropDown() }, BuildAllTimeSeriesDropDown = function () { var t = r(""#season-select-button-season"").text().trim(), e = r(""#hdnSeries"").val(); r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/AllTimeWinnerSeriesByYear?year="" + t + ""&id="" + e, success: function (t) { var e = r(""#series-dropdown .custom-select-menu""); e.empty(), Array.isArray(t) && 0 !== t.length ? (t.forEach((function (t) { var r = t.SeriesID === n.Series ? ' aria-selected=""true""' : """"; e.append('<a href=""#"" role=""option"" data-seriesid=""'.concat(t.SeriesID, '""').concat(r, "">"").concat(t.Name, ""</a>"")) })), t.length > 0 && (n.Series = t[0].SeriesID, r(""#series-select-button"").text(t[0].Name), AllTimeSeriesChanged())) : console.warn(""No series data available."") }, error: function (t) { console.error(""Error loading series:"", t) } }) }, AllTimeSeriesChanged = function () { var t = r(""#season-select-button-season"").text().trim(), e = r(""#series-select-button"").text().trim(), a = n.Series; r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/AllTimeWinnersByYearSeries?year="" + t + ""&series="" + a, success: function (n) { var a = JSON.parse(JSON.stringify(n).replace(/null/g, '""-""')), o = ""#season-results-table"", i = r(""#season-results-table tbody""); if (s(o), a && 0 !== a.length) a"
/api/results/AllTimeWinnersByYearSeries,508931,series;year,"ID, '""').concat(r, "">"").concat(t.Name, ""</a>"")) })), t.length > 0 && (n.Series = t[0].SeriesID, r(""#series-select-button"").text(t[0].Name), AllTimeSeriesChanged())) : console.warn(""No series data available."") }, error: function (t) { console.error(""Error loading series:"", t) } }) }, AllTimeSeriesChanged = function () { var t = r(""#season-select-button-season"").text().trim(), e = r(""#series-select-button"").text().trim(), a = n.Series; r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/AllTimeWinnersByYearSeries?year="" + t + ""&series="" + a, success: function (n) { var a = JSON.parse(JSON.stringify(n).replace(/null/g, '""-""')), o = ""#season-results-table"", i = r(""#season-results-table tbody""); if (s(o), a && 0 !== a.length) a.forEach((function (t) { var e = '\n                    <tr>\n                        <td class=""data-table-align-left data-table-padding-fit"">'.concat(t.RaceDate || ""--"", '</td>\n                        <td class=""data-table-align-left""><b>').concat(t.TrackName || ""--"", '</b></td>\n                        <td class=""data-table-align-left"">').concat(t.TrackType || ""--"", '</td>\n                        <td class=""data-table-align-left data-table-padding-fit"">').concat(t.DriverName || ""--"", '</td>\n                        <td class=""data-table-align-left data-table-padding-fit"">').concat(t.TeamName || ""--"", '</td>\n                        <td class=""dt-type-numeric"">').concat(t.PositionStart || ""--"", '</td>\n                        <td class=""data-table-align-center data-table-padding-fit"">').concat(t.CarInfo || ""--"", '</td>\n         "
/api/results/AllTimeWinnersByYearSeries,508932,series;year,"D, '""').concat(r, "">"").concat(t.Name, ""</a>"")) })), t.length > 0 && (n.Series = t[0].SeriesID, r(""#series-select-button"").text(t[0].Name), AllTimeSeriesChanged())) : console.warn(""No series data available."") }, error: function (t) { console.error(""Error loading series:"", t) } }) }, AllTimeSeriesChanged = function () { var t = r(""#season-select-button-season"").text().trim(), e = r(""#series-select-button"").text().trim(), a = n.Series; r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/AllTimeWinnersByYearSeries?year="" + t + ""&series="" + a, success: function (n) { var a = JSON.parse(JSON.stringify(n).replace(/null/g, '""-""')), o = ""#season-results-table"", i = r(""#season-results-table tbody""); if (s(o), a && 0 !== a.length) a.forEach((function (t) { var e = '\n                    <tr>\n                        <td class=""data-table-align-left data-table-padding-fit"">'.concat(t.RaceDate || ""--"", '</td>\n                        <td class=""data-table-align-left""><b>').concat(t.TrackName || ""--"", '</b></td>\n                        <td class=""data-table-align-left"">').concat(t.TrackType || ""--"", '</td>\n                        <td class=""data-table-align-left data-table-padding-fit"">').concat(t.DriverName || ""--"", '</td>\n                        <td class=""data-table-align-left data-table-padding-fit"">').concat(t.TeamName || ""--"", '</td>\n                        <td class=""dt-type-numeric"">').concat(t.PositionStart || ""--"", '</td>\n                        <td class=""data-table-align-center data-table-padding-fit"">').concat(t.CarInfo || ""--"", '</td>\n          "
/api/results/DriverYearDetails,513019,driverID;series;year,"getElementById(""view-season"").addEventListener(""click"", (function () { l(""season""), e.location.search.includes(""type=season"") || (e.location.href = ""/results?type=season"") })) }, e.Stats = a } else console.error(""jQuery is required for stats.js but not found!""); function a(t) { this.options = r.extend({}, this.defaults(), t), this.delegateEvents(), this.init() } function o(t) { var e = r(""#season-select-button-driver"").text().trim(); r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/DriverYearDetails?year="" + e + ""&series="" + r(""#hdnSeries"").val() + ""&driverID="" + t, success: function (e) { if (e && e.Results) { c(), r(""#all-races-results-table-container"").show(); var n = ""#all-races-results-table"", a = r(""#all-races-results-table tbody""); s(n), e.Results.forEach((function (t) { var e = '<tr>  \n                    <td class=""data-table-align-left data-table-padding-fit""><b>'.concat(t.RaceName || ""--"", '</b></td>\n                    <td class=""data-table-align-center data-table-padding-fit"">').concat(t.Rank || ""--"", '</td>\n                    <td class=""data-table-align-center data-table-padding-fit"">').concat(t.StartPosition || ""--"", '</td>\n                    <td class=""dt-type-numeric data-table-padding-fit"">').concat(t.LapsCompleted || ""--"", '</td>\n                    <td class=""dt-type-numeric data-table-padding-fit"">').concat(t.LapsLed || ""--"", '</td>\n                    <td class=""dt-type-numeric data-table-padding-fit"">').concat(t.PitStops || ""--"", '</td>\n                    <td class=""dt-type-numeric data-table-padding-fit"">').concat("
/api/results/DriverYearDetails,513020,driverID;series;year,"etElementById(""view-season"").addEventListener(""click"", (function () { l(""season""), e.location.search.includes(""type=season"") || (e.location.href = ""/results?type=season"") })) }, e.Stats = a } else console.error(""jQuery is required for stats.js but not found!""); function a(t) { this.options = r.extend({}, this.defaults(), t), this.delegateEvents(), this.init() } function o(t) { var e = r(""#season-select-button-driver"").text().trim(); r.ajax({ type: ""GET"", dataType: ""json"", url: n.Environment + ""/api/results/DriverYearDetails?year="" + e + ""&series="" + r(""#hdnSeries"").val() + ""&driverID="" + t, success: function (e) { if (e && e.Results) { c(), r(""#all-races-results-table-container"").show(); var n = ""#all-races-results-table"", a = r(""#all-races-results-table tbody""); s(n), e.Results.forEach((function (t) { var e = '<tr>  \n                    <td class=""data-table-align-left data-table-padding-fit""><b>'.concat(t.RaceName || ""--"", '</b></td>\n                    <td class=""data-table-align-center data-table-padding-fit"">').concat(t.Rank || ""--"", '</td>\n                    <td class=""data-table-align-center data-table-padding-fit"">').concat(t.StartPosition || ""--"", '</td>\n                    <td class=""dt-type-numeric data-table-padding-fit"">').concat(t.LapsCompleted || ""--"", '</td>\n                    <td class=""dt-type-numeric data-table-padding-fit"">').concat(t.LapsLed || ""--"", '</td>\n                    <td class=""dt-type-numeric data-table-padding-fit"">').concat(t.PitStops || ""--"", '</td>\n                    <td class=""dt-type-numeric data-table-padding-fit"">').concat(t"
