year,line_no,extraction_method,mph_values,full_name_match_count,surname_match_count,matched_driver_count,matched_drivers,numeric_tokens_1to2_digits,raw_line
2023,18,PDFTOTEXT,233.347,0,1,1,Scott McLaughlin,13;3;00;38;0;0;17;21," 13       3   McLaughlin, Scott               D/C/F     00:38.5691       233.347 0.2309           0.0077            17            21"
2023,19,PDFTOTEXT,233.268,0,1,1,Alex Palou,14;10;00;38;0;0;6;17," 14      10   Palou, Alex                     D/H/F     00:38.5822       233.268 0.2440           0.0131             6            17"
2023,20,PDFTOTEXT,233.197,0,1,1,Benjamin Pedersen,15;55;00;38;0;0;12;14," 15      55   Pedersen, Benjamin (R)          D/C/F     00:38.5939       233.197 0.2557           0.0117            12            14"
2023,21,PDFTOTEXT,233.134,0,1,1,Alexander Rossi,16;7;00;38;0;0;12;42," 16       7   Rossi, Alexander                D/C/F     00:38.6044       233.134 0.2662           0.0105            12            42"
2023,22,PDFTOTEXT,233.097,0,1,1,Tony Kanaan,17;66;00;38;0;0;16;29," 17      66   Kanaan, Tony                    D/C/F     00:38.6106       233.097 0.2724           0.0062            16            29"
2023,23,PDFTOTEXT,232.987,0,1,1,Conor Daly,18;20;00;38;0;0;11;28," 18      20   Daly, Conor                     D/C/F     00:38.6288       232.987 0.2906           0.0182            11            28"
2023,24,PDFTOTEXT,232.942,0,1,1,Romain Grosjean,19;28;00;38;0;0;10;14," 19      28   Grosjean, Romain                D/H/F     00:38.6363       232.942 0.2981           0.0075            10            14"
2023,25,PDFTOTEXT,232.920,0,1,1,Agustin Canapino,20;78;00;38;0;0;33;37," 20      78   Canapino, Agustin (R)           D/C/F     00:38.6399       232.920 0.3017           0.0036            33            37"
2023,26,PDFTOTEXT,232.916,0,1,1,Ed Carpenter,21;33;00;38;0;0;16;19," 21      33   Carpenter, Ed                   D/C/F     00:38.6406       232.916 0.3024           0.0007            16            19"
2023,27,PDFTOTEXT,232.861,0,1,1,Ryan Hunter-Reay,22;23;00;38;0;0;22;26," 22      23   Hunter-Reay, Ryan               D/C/F     00:38.6497       232.861 0.3115           0.0091            22            26"
2023,28,PDFTOTEXT,232.595,0,1,1,Simon Pagenaud,23;60;00;38;0;0;30;33," 23      60   Pagenaud, Simon                 D/H/F     00:38.6939       232.595 0.3557           0.0442            30            33"
2023,29,PDFTOTEXT,232.570,0,1,1,Stefan Wilson,24;24;00;38;0;0;25;28," 24      24   Wilson, Stefan                  D/C/F     00:38.6981       232.570 0.3599           0.0042            25            28"
2023,30,PDFTOTEXT,232.366,0,1,1,David Malukas,25;18;00;38;0;0;17;20," 25      18   Malukas, David                  D/H/F     00:38.7320       232.366 0.3938           0.0339            17            20"
2023,31,PDFTOTEXT,232.323,0,1,1,Devlin DeFrancesco,26;29;00;38;0;0;25;29," 26      29   DeFrancesco, Devlin             D/H/F     00:38.7391       232.323 0.4009           0.0071            25            29"
2023,32,PDFTOTEXT,232.138,0,1,1,Helio Castroneves,27;06;00;38;0;0;43;45," 27      06   Castroneves, Helio              D/H/F     00:38.7701       232.138 0.4319           0.0310            43            45"
2023,33,PDFTOTEXT,231.699,0,1,1,Sting Ray Robb,28;51;00;38;0;0;11;21," 28      51   Robb, Sting Ray (R)             D/H/F     00:38.8435       231.699 0.5053           0.0734            11            21"
2023,34,PDFTOTEXT,231.420,0,1,1,Katherine Legge,29;44;00;38;0;0;37;40," 29      44   Legge, Katherine                D/H/F     00:38.8904       231.420 0.5522           0.0469            37            40"
2023,35,PDFTOTEXT,231.242,0,1,1,RC Enerson,30;50;00;38;0;0;21;32," 30      50   Enerson, RC (R)                 D/C/F     00:38.9203       231.242 0.5821           0.0299            21            32"
2023,36,PDFTOTEXT,231.166,0,1,1,Jack Harvey,31;30;00;38;0;0;3;35," 31      30   Harvey, Jack                    D/H/F     00:38.9331       231.166 0.5949           0.0128             3            35"
2023,37,PDFTOTEXT,231.153,0,1,1,Christian Lundgaard,32;45;00;38;0;0;18;45," 32      45   Lundgaard, Christian            D/H/F     00:38.9353       231.153 0.5971           0.0022            18            45"
2023,38,PDFTOTEXT,230.669,0,1,1,Graham Rahal,33;15;00;39;0;0;41;50," 33      15   Rahal, Graham                   D/H/F     00:39.0170       230.669 0.6788           0.0817            41            50"
2023,39,PDFTOTEXT,228.942,0,1,1,Callum Ilott,34;77;00;39;0;0;2;7," 34      77   Ilott, Callum                   D/C/F     00:39.3113       228.942 0.9731           0.2943             2             7"
2024,6,PDFTOTEXT,234.974,0,1,1,Colton Herta,1;26;00;38;16;24,"  1      26   Herta, Colton                    D/H/F     00:38.3021       234.974        --.----      --.----        16            24"
2024,7,PDFTOTEXT,234.271,0,1,1,Kyle Larson,2;17;00;38;0;0;26;34,"  2      17   Larson, Kyle (R)                 D/C/F     00:38.4171       234.271       0.1150       0.1150          26            34"
2024,8,PDFTOTEXT,234.260,0,1,1,Josef Newgarden,3;2;00;38;0;0;10;15,"  3       2   Newgarden, Josef                 D/C/F     00:38.4189       234.260       0.1168       0.0018          10            15"
2024,9,PDFTOTEXT,234.102,0,1,1,Scott McLaughlin,4;3;00;38;0;0;29;33,"  4       3   McLaughlin, Scott                D/C/F     00:38.4447       234.102       0.1426       0.0258          29            33"
2024,10,PDFTOTEXT,234.006,0,1,1,Alexander Rossi,5;7;00;38;0;0;19;36,"  5       7   Rossi, Alexander                 D/C/F     00:38.4606       234.006       0.1585       0.0159          19            36"
2024,11,PDFTOTEXT,233.864,0,1,1,Will Power,6;12;00;38;0;0;10;30,"  6      12   Power, Will                      D/C/F     00:38.4839       233.864       0.1818       0.0233          10            30"
2024,12,PDFTOTEXT,233.748,0,1,1,Pato O'Ward,7;5;00;38;0;0;31;35,"  7       5   O'Ward, Pato                     D/C/F     00:38.5030       233.748       0.2009       0.0191          31            35"
2024,13,PDFTOTEXT,233.705,0,1,1,Kyle Kirkwood,8;27;00;38;0;0;9;27,"  8      27   Kirkwood, Kyle                   D/H/F     00:38.5101       233.705       0.2080       0.0071           9            27"
2024,14,PDFTOTEXT,233.679,0,1,1,Takuma Sato,9;75;00;38;0;0;34;38,"  9      75   Sato, Takuma                     D/H/F     00:38.5144       233.679       0.2123       0.0043          34            38"
2024,15,PDFTOTEXT,233.412,0,1,1,Santino Ferrucci,10;14;00;38;0;0;18;28," 10      14   Ferrucci, Santino                D/C/F     00:38.5585       233.412       0.2564       0.0441          18            28"
2024,16,PDFTOTEXT,233.341,0,1,1,Agustin Canapino,11;78;00;38;0;0;33;37," 11      78   Canapino, Agustin                D/C/F     00:38.5702       233.341       0.2681       0.0117          33            37"
2024,17,PDFTOTEXT,233.252,0,1,1,Felix Rosenqvist,12;60;00;38;0;0;10;19," 12      60   Rosenqvist, Felix                D/H/F     00:38.5848       233.252       0.2827       0.0146          10            19"
2024,18,PDFTOTEXT,233.193,0,1,1,Ryan Hunter-Reay,13;23;00;38;0;0;20;24," 13      23   Hunter-Reay, Ryan                D/C/F     00:38.5947       233.193       0.2926       0.0099          20            24"
2024,19,PDFTOTEXT,233.136,0,1,1,Callum Ilott,14;6;00;38;0;0;21;31," 14       6   Ilott, Callum                    D/C/F     00:38.6041       233.136       0.3020       0.0094          21            31"
2024,20,PDFTOTEXT,233.080,0,1,1,Rinus VeeKay,15;21;00;38;0;0;16;20," 15      21   VeeKay, Rinus                    D/C/F     00:38.6134       233.080       0.3113       0.0093          16            20"
2024,21,PDFTOTEXT,233.042,0,1,1,Sting Ray Robb,16;41;00;38;0;0;25;29," 16      41   Robb, Sting Ray                  D/C/F     00:38.6197       233.042       0.3176       0.0063          25            29"
2024,22,PDFTOTEXT,232.901,0,1,1,Marco Andretti,17;98;00;38;0;0;16;25," 17      98   Andretti, Marco                  D/H/F     00:38.6430       232.901       0.3409       0.0233          16            25"
2024,23,PDFTOTEXT,232.570,0,1,1,Christian Lundgaard,18;45;00;38;0;0;26;27," 18      45   Lundgaard, Christian             D/H/F     00:38.6981       232.570       0.3960       0.0551          26            27"
2024,24,PDFTOTEXT,232.547,0,1,1,Ed Carpenter,19;20;00;38;0;0;19;28," 19      20   Carpenter, Ed                    D/C/F     00:38.7018       232.547       0.3997       0.0037          19            28"
2024,25,PDFTOTEXT,232.495,0,1,1,Helio Castroneves,20;06;00;38;0;0;31;42," 20      06   Castroneves, Helio               D/H/F     00:38.7105       232.495       0.4084       0.0087          31            42"
2024,26,PDFTOTEXT,232.473,0,1,1,Scott Dixon,21;9;00;38;0;0;3;33," 21       9   Dixon, Scott                     D/H/F     00:38.7142       232.473       0.4121       0.0037           3            33"
2024,27,PDFTOTEXT,232.388,0,1,1,Marcus Ericsson,22;28;00;38;0;0;35;44," 22      28   Ericsson, Marcus                 D/H/F     00:38.7283       232.388       0.4262       0.0141          35            44"
2024,28,PDFTOTEXT,232.246,0,1,1,Tom Blomqvist,23;66;00;38;0;0;20;21," 23      66   Blomqvist, Tom (R)               D/H/F     00:38.7520       232.246       0.4499       0.0237          20            21"
2024,29,PDFTOTEXT,232.135,0,1,1,Alex Palou,24;10;00;38;0;0;15;18," 24      10   Palou, Alex                      D/H/F     00:38.7705       232.135       0.4684       0.0185          15            18"
2024,30,PDFTOTEXT,232.135,0,1,1,Romain Grosjean,25;77;00;38;0;0;17;32," 25      77   Grosjean, Romain                 D/C/F     00:38.7706       232.135       0.4685       0.0001          17            32"
2024,31,PDFTOTEXT,232.105,0,1,1,Marcus Armstrong,26;11;00;38;0;0;35;36," 26      11   Armstrong, Marcus (R)            D/H/F     00:38.7756       232.105       0.4735       0.0050          35            36"
2024,32,PDFTOTEXT,232.038,0,1,1,Christian Rasmussen,27;33;00;38;0;0;3;25," 27      33   Rasmussen, Christian (R)         D/C/F     00:38.7867       232.038       0.4846       0.0111           3            25"
2024,33,PDFTOTEXT,231.844,0,1,1,Linus Lundqvist,28;8;00;38;0;0;34;38," 28       8   Lundqvist, Linus (R)             D/H/F     00:38.8192       231.844       0.5171       0.0325          34            38"
2024,34,PDFTOTEXT,231.586,0,1,1,Pietro Fittipaldi,29;30;00;38;0;0;21;24," 29      30   Fittipaldi, Pietro               D/H/F     00:38.8624       231.586       0.5603       0.0432          21            24"
2024,35,PDFTOTEXT,231.236,1,1,2,"Rahal, Graham;Graham Rahal",30;15;00;38;0;0;3;22," 30      15   Rahal, Graham                    D/H/F     00:38.9212       231.236       0.6191       0.0588           3            22"
2024,36,PDFTOTEXT,230.952,0,1,1,Conor Daly,31;24;00;38;0;0;4;19," 31      24   Daly, Conor                      D/C/F     00:38.9692       230.952       0.6671       0.0480           4            19"
2024,37,PDFTOTEXT,230.620,0,1,1,Kyffin Simpson,32;4;00;39;0;0;40;46," 32       4   Simpson, Kyffin (R)              D/H/F     00:39.0253       230.620       0.7232       0.0561          40            46"
2024,38,PDFTOTEXT,230.205,1,1,2,"Legge, Katherine;Katherine Legge",33;51;00;39;0;0;3;35," 33      51   Legge, Katherine                 D/H/F     00:39.0956       230.205       0.7935       0.0703           3            35"
2024,39,PDFTOTEXT,229.813,1,1,2,"Siegel, Nolan (R);Nolan Siegel",34;18;00;39;0;0;9;15," 34      18   Siegel, Nolan (R)                D/H/F     00:39.1622       229.813       0.8601       0.0666           9            15"
