attempt_id,year,driver_key,driver_name,performance_time_utc,actual_speed_mph,reference_speed_mph,reference_residual_mph,session_elapsed_minutes,past_other_count,past_other_mean_residual_mph,past_other_median_residual_mph,past_other_ewma_10m_residual_mph,past_other_ewma_20m_residual_mph,past_other_ewma_30m_residual_mph,past_other_ewma_45m_residual_mph,past_other_recent_10m_count,past_other_recent_20m_count,past_other_recent_30m_count,past_other_recent_45m_count,own_prior_available,own_previous_residual_mph,own_previous_age_minutes,past_state_supported,past_state_n_ge_3,past_state_n_ge_5,ptsc_track_temp_c_past_safe,ptsc_track_temp_slope_c_per_min_past_safe,forecast_temp_c,forecast_relative_humidity_pct,forecast_wind_speed_10m_ms,forecast_pressure_hpa,forecast_gust_ms,forecast_cloud_cover_pct,forecast_shortwave_radiation_wm2,forecast_wind_direction_sin,forecast_wind_direction_cos
518373d9-25de-58cf-8315-f6c215b6f672,2020,marcus ericsson,Marcus Ericsson,2020-08-15T16:13:15Z,230.472,231.763,-1.2909999999999968,72.5,12,-0.7353333333333367,-0.7364999999999924,-0.834198387877103,-0.8098206447564145,-0.792112863217272,-0.7764703865551261,1,3,4,7,0.0,0.0,0.0,True,True,True,43.333333333333336,0.11111111111111142,27.460987599690775,62.18621359330862,0.9362099434264856,986.8441666666666,1.7969805232559644,0.0,831.7445833333334,0.5573261889382664,0.8302936342785893
72b65040-5363-5722-b1cd-297bffa2af77,2020,oliver askew,Oliver Askew,2020-08-15T16:18:15Z,229.76,230.507,-0.7470000000000141,77.5,13,-0.778076923076926,-0.7939999999999827,-1.0040011992507496,-0.9101342566897412,-0.8709617698875037,-0.8421101570110393,1,3,5,7,0.0,0.0,0.0,True,True,True,46.666666666666664,0.2222222222222219,27.5884340922038,61.48966863495512,0.9249119810328654,986.8608333333332,1.7542535383875173,0.0,838.4029166666667,0.608113496405479,0.7938500963591952
6041dd38-4b6d-5e38-81fd-8006cbe0bafd,2020,felix rosenqvist,Felix Rosenqvist,2020-08-15T16:22:25Z,230.254,230.432,-0.17799999999999727,81.66666666666667,14,-0.7758571428571466,-0.7704999999999984,-0.915448822008516,-0.877725002328304,-0.8522839126517283,-0.8305923221974684,2,3,5,7,0.0,0.0,0.0,True,True,True,46.666666666666664,0.2222222222222219,27.694639502631315,60.90921450299387,0.9154970123715154,986.8747222222222,1.7186477176638115,0.0,843.9515277777778,0.648629253589497,0.7611045206723791
9a2e168d-3dda-5e76-8daf-588c20d91341,2020,ed carpenter,Ed Carpenter,2020-08-15T16:27:25Z,229.811,229.563,0.24800000000001887,86.66666666666667,15,-0.7360000000000032,-0.7470000000000141,-0.683125234782864,-0.7470998219760654,-0.7563371936626591,-0.7559618381497287,2,3,5,7,0.0,0.0,0.0,True,True,True,46.666666666666664,0.2222222222222219,27.822085995144334,60.21266954464038,0.9041990499778952,986.8913888888889,1.6759207327953645,0.0,850.6098611111112,0.6949152900072635,0.7190916073172603
917d4c7e-5c5e-5976-aa32-50a7bc958440,2020,james hinchcliffe,James Hinchcliffe,2020-08-15T16:32:25Z,231.195,231.967,-0.7720000000000198,91.66666666666667,16,-0.6745000000000019,-0.7130000000000081,-0.3961413109374323,-0.5663192653358726,-0.6180170480988469,-0.6455895248944022,2,4,5,8,0.0,0.0,0.0,True,True,True,47.77777777777778,0.07407407407407428,28.140418794420057,58.311064599144075,0.7810125152607102,987.5,1.5703389569392634,0.0,865.1990277777778,0.6927622500904934,0.721166045269435
a3016f3b-449e-576c-bf0f-284c71eddb34,2020,ben hanley,Ben Hanley,2020-08-15T16:36:35Z,220.946,222.086,-1.1400000000000148,95.83333333333333,17,-0.6802352941176499,-0.7470000000000141,-0.5102376393045708,-0.6028608040803497,-0.6386339270191789,-0.6590062118260309,2,4,5,8,0.0,0.0,0.0,True,True,True,47.77777777777778,0.07407407407407428,28.243438932630777,57.76860102152903,0.7652868167069705,987.5,1.4851564881184862,0.0,870.4559722222223,0.7379497348224945,0.6748556800349317
e2cf6770-902a-5a11-8e7c-27e4441f0b5e,2020,james davison,James Davison,2020-08-15T16:41:35Z,228.747,229.766,-1.018999999999977,100.83333333333333,18,-0.7057777777777814,-0.7595000000000169,-0.6918363818120928,-0.6943380979056981,-0.703049676771097,-0.7079066704262399,2,4,6,8,0.0,0.0,0.0,True,True,True,47.77777777777778,0.07407407407407428,28.367063098483637,57.11764472839097,0.746415978442483,987.5,1.3829375255335536,0.0,876.7643055555556,0.7880808704767984,0.6155717192890944
b3ac1729-6563-5819-a04b-0f76aeae5b0f,2020,alex palou,Alex Palou,2020-08-15T16:45:45Z,231.034,231.989,-0.9550000000000125,105.0,19,-0.722263157894739,-0.7720000000000198,-0.7866070717928835,-0.7490170623692061,-0.7428714105061686,-0.7386864390050638,2,4,6,8,0.0,0.0,0.0,True,True,True,48.888888888888886,0.0740740740740738,28.470083236694357,56.575181150775926,0.7306902798887434,987.5,1.2977550567127765,0.0,882.02125,0.8262400677841819,0.5633181608895549
a7f0ef57-a971-5870-9606-1fe1cd378e2a,2020,conor daly,Conor Daly,2020-08-15T16:58:15Z,229.884,232.337,-2.453000000000003,117.5,20,-0.7339000000000027,-0.7830000000000013,-0.8335629068037016,-0.7825690825120626,-0.7687221148393687,-0.7593294594896306,0,2,4,8,0.0,0.0,0.0,True,True,True,48.888888888888886,0.0740740740740738,28.77914365132652,54.94779041793079,0.6835131842275244,987.5,1.042207650250445,0.0,897.7920833333334,0.9193970384181985,0.39333075871058637
2fb75f25-92ad-5b41-90a1-3a1457ae8012,2020,simon pagenaud,Simon Pagenaud,2020-08-15T17:09:06Z,228.836,230.189,-1.3529999999999802,128.35,21,-0.8157619047619075,-0.7939999999999827,-1.4793202482236667,-1.1179440479354372,-1.0043682590193048,-0.9349571428040515,0,1,3,6,0.0,0.0,0.0,True,True,True,50.0,0.07407407407407428,29.0031318664551,53.9115225394693,0.6610433415957542,987.4545,0.9982541692132753,0.0,902.1233333333332,0.9168179982843506,0.3993053443442455
