file,group,field
weather/output/chronology_rescue_2022_castroneves_canonical_identity_audit_v1.csv,attempt_id,attempt_id
weather/output/large_gain_event_evidence_audit_v1.csv,year,year
weather/output/large_gain_event_evidence_audit_v1.csv,car,car_number
weather/output/large_gain_event_evidence_audit_v1.csv,driver,driver_name
weather/output/large_gain_event_evidence_audit_v1.csv,current_result,current_speed_mph
weather/output/chronology_rescue_2022_unresolved_attempt_links_v1.csv,year,year
weather/output/chronology_rescue_2022_unresolved_attempt_links_v1.csv,car,car_number
weather/output/chronology_rescue_2022_unresolved_attempt_links_v1.csv,driver,driver_name
weather/output/decision_time_state_v3_transition_outcome_evidence.csv,year,year
weather/output/decision_time_state_v3_transition_outcome_evidence.csv,driver,driver_name
weather/output/decision_time_state_v3_transition_outcome_evidence.csv,benchmark,cutoff_speed_mph
weather/output/decision_time_state_v3_transition_outcome_evidence.csv,lane,queue_lane
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v3.csv,year,year
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v3.csv,attempt_id,attempt_id
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v3.csv,car,car_number
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v3.csv,driver,driver_name
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,year,year
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,attempt_id,attempt_id
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,car,car_number
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,driver,driver_name
weather/output/chronology_rescue_2022_editorial_entity_matches_v1.csv,car,car_number
weather/output/chronology_rescue_2022_editorial_entity_matches_v1.csv,driver,driver_name
weather/output/chronology_rescue_2022_ilott_autosport_retake_adjudication_v1.csv,time_quality,time_quality
weather/output/large_gain_event_section_audit_v1.csv,year,year
weather/output/large_gain_event_section_audit_v1.csv,attempt_id,attempt_id
weather/output/large_gain_event_section_audit_v1.csv,car,car_number
weather/output/large_gain_event_section_audit_v1.csv,driver,driver_name
weather/output/r3c_final_monte_carlo_action_envelope_v1.csv,driver,driver_name
weather/output/r3c_final_monte_carlo_action_envelope_v1.csv,action,action
weather/output/leaderboard_rescue_2022_repeat_pair_targeted_hits_v1.csv,driver,driver_name
weather/output/chronology_rescue_2022_ilott_autosport_retake_evidence_v2.csv,year,year
weather/output/chronology_rescue_2022_ilott_autosport_retake_evidence_v2.csv,driver,driver
weather/output/chronology_rescue_2022_ilott_autosport_retake_evidence_v2.csv,lane,lane
weather/output/chronology_rescue_2022_ilott_autosport_retake_evidence_v2.csv,action,action
weather/output/official_dynamic_endpoint_candidates_v1.csv,year,year
weather/output/unified_attempt_chronology_constraint_summary_v2.csv,year,year
weather/output/repeat_attempt_delta_baseline_predictions_v1.csv,car,car_number
weather/output/repeat_attempt_delta_baseline_predictions_v1.csv,driver,driver_name
weather/output/official_day1_api_record_inventory_v1.csv,year,year
weather/output/chronology_rescue_2022_marco_second_run_direct_evidence_adjudication_v1.csv,lane,lane
weather/output/chronology_rescue_2022_marco_second_run_direct_evidence_adjudication_v1.csv,action,action
weather/output/chronology_rescue_2022_marco_second_run_direct_evidence_adjudication_v1.csv,time_quality,time_quality
weather/output/unified_attempt_chronology_constraint_summary_v3.csv,year,year
weather/output/performance_grade_attempt_realized_environment_qa.csv,year,year
weather/output/decision_time_observable_state_v4_1_final.csv,year,year
weather/output/decision_time_observable_state_v4_1_final.csv,driver,driver_name
weather/output/attempt_performance_model_matrix_v1.csv,year,year
weather/output/attempt_performance_model_matrix_v1.csv,attempt_id,attempt_id
weather/output/attempt_performance_model_matrix_v1.csv,car,car_number
weather/output/attempt_performance_model_matrix_v1.csv,driver,driver_name
weather/output/r3c_final_monte_carlo_action_envelope_v2.csv,driver,driver_name
weather/output/r3c_final_monte_carlo_action_envelope_v2.csv,action,action
weather/output/repeat_performance_uncertainty_rows_v1.csv,year,year
weather/output/repeat_performance_uncertainty_rows_v1.csv,car,car_number
weather/output/repeat_performance_uncertainty_rows_v1.csv,driver,driver_name
weather/output/r3b4_queue_wait_influence_diagnostic_v1.csv,driver,driver_name
weather/output/r3b4_queue_wait_influence_diagnostic_v1.csv,action,action
weather/output/chronology_rescue_2022_ilott_autosport_retake_evidence_v1.csv,year,year
weather/output/chronology_rescue_2022_ilott_autosport_retake_evidence_v1.csv,driver,driver
weather/output/chronology_rescue_2022_ilott_autosport_retake_evidence_v1.csv,lane,lane
weather/output/chronology_rescue_2022_ilott_autosport_retake_evidence_v1.csv,action,action
weather/output/official_api_record_semantics_by_car_v1.csv,year,year
weather/output/official_api_record_semantics_by_car_v1.csv,car,car_number
weather/output/official_api_record_semantics_by_car_v1.csv,driver,driver_name
weather/output/chronology_rescue_2022_sato_marco_result_context_v1.csv,year,year
weather/output/chronology_rescue_2022_sato_marco_result_context_v1.csv,car,car_number
weather/output/unified_attempt_chronology_constraint_summary_v1.csv,year,year
weather/output/chronology_rescue_2022_car06_car6_result_match_forensics_v1.csv,attempt_id,attempt_id
weather/output/decision_time_state_v2_joinability_audit_v1.csv,driver,driver_name
weather/output/r3b4_target_gain_probability_v1.csv,driver,driver_name
weather/output/r3b4_target_gain_probability_v1.csv,action,action
weather/output/interruption_state_evidence_ledger_2022_v1.csv,year,year
weather/output/interruption_state_evidence_ledger_2022_v1.csv,time_quality,time_quality
weather/output/performance_grade_attempt_timing.csv,attempt_id,attempt_id
weather/output/performance_grade_attempt_timing.csv,car,car_number
weather/output/performance_grade_attempt_timing.csv,driver,driver_name
weather/output/official_day1_report_text_file_audit_v1.csv,year,year
weather/output/chronology_rescue_2022_official_evidence_v1.csv,year,year
weather/output/chronology_rescue_2022_official_evidence_v1.csv,car,car_number
weather/output/chronology_rescue_2022_official_evidence_v1.csv,driver,driver_name
weather/output/chronology_rescue_2022_official_evidence_v1.csv,session,session
weather/output/chronology_rescue_2022_chronology_only_link_resolution_v1.csv,year,year
weather/output/chronology_rescue_2022_chronology_only_link_resolution_v1.csv,attempt_id,attempt_id
weather/output/chronology_rescue_2022_chronology_only_link_resolution_v1.csv,car,car_number
weather/output/chronology_rescue_2022_chronology_only_link_resolution_v1.csv,driver,driver_name
weather/output/unified_attempt_chronology_constraint_ledger_v10.csv,year,year
weather/output/unified_attempt_chronology_constraint_ledger_v10.csv,attempt_id,attempt_id
weather/output/unified_attempt_chronology_constraint_ledger_v10.csv,car,car_number
weather/output/unified_attempt_chronology_constraint_ledger_v10.csv,driver,driver_name
weather/output/unified_attempt_chronology_constraint_ledger_v10.csv,lane,lane
weather/output/unified_attempt_chronology_constraint_ledger_v10.csv,action,action
weather/output/unified_attempt_chronology_constraint_ledger_v10.csv,time,time_point_utc
weather/output/unified_attempt_chronology_constraint_ledger_v10.csv,time_quality,time_quality
weather/output/official_indy500_session_inventory_v1.csv,year,year
weather/output/official_indy500_session_inventory_v1.csv,session,session_name
weather/output/lane_rescue_2022_repeat_pair_targeted_hits_v1.csv,driver,driver_name
weather/output/official_action_lane_leaderboard_local_evidence_hits_v1.csv,year,year
weather/output/large_gain_event_lap_audit_v1.csv,year,year
weather/output/large_gain_event_lap_audit_v1.csv,car,car_number
weather/output/large_gain_event_lap_audit_v1.csv,driver,driver_name
weather/output/unified_attempt_chronology_constraint_ledger_v8.csv,year,year
weather/output/unified_attempt_chronology_constraint_ledger_v8.csv,attempt_id,attempt_id
weather/output/unified_attempt_chronology_constraint_ledger_v8.csv,car,car_number
weather/output/unified_attempt_chronology_constraint_ledger_v8.csv,driver,driver_name
weather/output/unified_attempt_chronology_constraint_ledger_v8.csv,lane,lane
weather/output/unified_attempt_chronology_constraint_ledger_v8.csv,action,action
weather/output/unified_attempt_chronology_constraint_ledger_v8.csv,time,time_point_utc
weather/output/unified_attempt_chronology_constraint_ledger_v8.csv,time_quality,time_quality
weather/output/attempt_performance_repeat_delta_context_v1.csv,year,year
weather/output/attempt_performance_repeat_delta_context_v1.csv,car,car_number
weather/output/attempt_performance_repeat_delta_context_v1.csv,driver,driver_name
weather/output/attempt_performance_repeat_delta_context_v1.csv,current_result,current_speed_mph
weather/output/chronology_rescue_2022_secondary_adjudicated_evidence_v1.csv,year,year
weather/output/chronology_rescue_2022_secondary_adjudicated_evidence_v1.csv,car,car_number
weather/output/chronology_rescue_2022_secondary_adjudicated_evidence_v1.csv,driver,driver_name
weather/output/chronology_rescue_2022_secondary_adjudicated_evidence_v1.csv,lane,lane
weather/output/chronology_rescue_2022_secondary_adjudicated_evidence_v1.csv,action,action
weather/output/chronology_rescue_2022_repeat_group_denominator_reconciliation_v1.csv,attempt_id,attempt_id
weather/output/chronology_rescue_2022_repeat_group_denominator_reconciliation_v1.csv,driver,driver_name
weather/output/official_dynamic_inline_data_candidates_v1.csv,year,year
weather/output/official_day1_report_text_summary_v1.csv,year,year
weather/output/repeat_delta_regime_row_diagnostics_v1.csv,year,year
weather/output/repeat_delta_regime_row_diagnostics_v1.csv,car,car_number
weather/output/repeat_delta_regime_row_diagnostics_v1.csv,driver,driver_name
weather/output/repeat_delta_regime_row_diagnostics_v1.csv,current_result,current_speed_mph
weather/output/official_day1_report_text_term_hits_v1.csv,year,year
weather/output/chronology_rescue_2022_malukas_repeat_chronology_audit_v1.csv,attempt_id,attempt_id
weather/output/chronology_rescue_2022_malukas_repeat_chronology_audit_v1.csv,driver,driver_name
weather/output/unified_attempt_chronology_constraint_ledger_v9.csv,year,year
weather/output/unified_attempt_chronology_constraint_ledger_v9.csv,attempt_id,attempt_id
weather/output/unified_attempt_chronology_constraint_ledger_v9.csv,car,car_number
weather/output/unified_attempt_chronology_constraint_ledger_v9.csv,driver,driver_name
weather/output/unified_attempt_chronology_constraint_ledger_v9.csv,lane,lane
weather/output/unified_attempt_chronology_constraint_ledger_v9.csv,action,action
weather/output/unified_attempt_chronology_constraint_ledger_v9.csv,time,time_point_utc
weather/output/unified_attempt_chronology_constraint_ledger_v9.csv,time_quality,time_quality
weather/output/leaderboard_rescue_2022_candidate_adjudication_v1.csv,driver,driver_name
weather/output/leaderboard_rescue_2022_candidate_adjudication_v1.csv,time_quality,time_quality
weather/output/official_indy500_day1_report_inventory_v1.csv,year,year
weather/output/official_indy500_day1_report_inventory_v1.csv,session,session_name
weather/output/official_indycar_series_identity_v1.csv,year,year
weather/output/pit_service_rescue_2022_repeat_pair_driver_summary_v1.csv,driver,driver_name
weather/output/r3b3_repeat_pair_environment_dataset_v1.csv,year,year
weather/output/r3b3_repeat_pair_environment_dataset_v1.csv,car,car_number
weather/output/r3b3_repeat_pair_environment_dataset_v1.csv,driver,driver_name
weather/output/contemporaneous_decision_state_evidence_ledger_v1.csv,year,year
weather/output/contemporaneous_decision_state_evidence_ledger_v1.csv,driver,driver_name
weather/output/contemporaneous_decision_state_evidence_ledger_v1.csv,benchmark,cutoff_speed_mph
weather/output/contemporaneous_decision_state_evidence_ledger_v1.csv,lane,lane
weather/output/contemporaneous_decision_state_evidence_ledger_v1.csv,action,action
weather/output/contemporaneous_decision_state_evidence_ledger_v1.csv,time_quality,time_quality
weather/output/queue_wait_throughput_proxy_v1.csv,year,year
weather/output/global_car_number_attempt_id_grounded_row_audit_v1.csv,attempt_id,attempt_id
weather/output/pit_service_rescue_2022_repeat_pair_targeted_hits_v1.csv,driver,driver_name
weather/output/official_day1_api_record_categorical_values_v1.csv,year,year
weather/output/chronology_rescue_2022_karam_racer_two_event_evidence_v1.csv,car,car_number
weather/output/chronology_rescue_2022_karam_racer_two_event_evidence_v1.csv,driver,driver_name
weather/output/r3b_timed_subset_coverage_v1.csv,year,year
weather/output/leaderboard_rescue_2022_repeat_pair_driver_summary_v1.csv,driver,driver_name
weather/output/chronology_rescue_2022_karam_identity_promotion_candidate_v1.csv,attempt_id,attempt_id
weather/output/chronology_rescue_2022_karam_identity_promotion_candidate_v1.csv,car,car_number
weather/output/chronology_rescue_2022_karam_identity_promotion_candidate_v1.csv,driver,driver_name
weather/output/attempt_performance_residual_diagnostics_v1.csv,year,year
weather/output/attempt_performance_residual_diagnostics_v1.csv,attempt_id,attempt_id
weather/output/chronology_rescue_2022_repeat_pair_coverage_post_ilott_v1.csv,driver,driver_name
weather/output/contemporaneous_decision_state_evidence_ledger_v2.csv,year,year
weather/output/contemporaneous_decision_state_evidence_ledger_v2.csv,driver,driver_name
weather/output/contemporaneous_decision_state_evidence_ledger_v2.csv,benchmark,cutoff_speed_mph
weather/output/contemporaneous_decision_state_evidence_ledger_v2.csv,lane,lane
weather/output/contemporaneous_decision_state_evidence_ledger_v2.csv,action,action
weather/output/contemporaneous_decision_state_evidence_ledger_v2.csv,time_quality,time_quality
weather/output/official_lane_queue_live_year_coverage_v1.csv,year,year
weather/evidence/ptsc/indy500_day1_track_temp_qa.csv,year,year
weather/evidence/ptsc/indy500_day1_track_temp_excluded_blocks.csv,year,year
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,year,year
weather/evidence/ptsc/indy500_day1_track_temp_qa_summary.csv,year,year
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,year,year
