year,driver_name,car_number,first_attempt_id,repeat_attempt_id,first_status,repeat_status,first_speed_mph,repeat_speed_mph,repeat_delta_mph,reference_available,reference_type,both_primary_status,both_point_time,both_interval_time,both_any_temporal,first_point_utc,repeat_point_utc,first_lower_utc,first_upper_utc,repeat_lower_utc,repeat_upper_utc,first_interval_width_min,repeat_interval_width_min,first_time_quality,repeat_time_quality,first_time_evidence_class,repeat_time_evidence_class,first_chronology_usable,repeat_chronology_usable,loss_reasons
2022,David Malukas,18,619575d3-e7eb-5cce-886f-0a8485b98eba,85c917fa-1c7a-52cb-a47f-468b4bdae9a5,VALID_RETAINED,VALID_RETAINED,231.233,231.607,0.3739999999999952,False,,True,False,False,False,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,NO_FAST_FRIDAY_REFERENCE;NO_POINT_TIME_BOTH_SIDES;NO_INTERVAL_TIME_BOTH_SIDES
2022,Sage Karam,24,8e0c8731-4ddc-515a-949e-7902dd01eaeb,2c453335-3a19-5653-8d5c-79d94db93028,VALID_RETAINED,VALID_RETAINED,229.905,230.464,0.5589999999999975,False,,True,False,False,False,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,NO_FAST_FRIDAY_REFERENCE;NO_POINT_TIME_BOTH_SIDES;NO_INTERVAL_TIME_BOTH_SIDES
2022,Alexander Rossi,27,1e2facfd-2c67-5b5a-9556-04ef28eeb0d8,b3147013-0fda-5982-bea1-85788019ef89,VALID_RETAINED,VALID_RETAINED,231.341,230.812,-0.5289999999999964,False,,True,False,False,False,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,NO_FAST_FRIDAY_REFERENCE;NO_POINT_TIME_BOTH_SIDES;NO_INTERVAL_TIME_BOTH_SIDES
2022,Scott McLaughlin,3,d2ae8749-6312-5afd-b193-dd23dc071124,43d9c081-67f5-5d6f-8b48-9db0ac683a6c,VALID_RETAINED,VALID_RETAINED,231.543,230.154,-1.38900000000001,False,,True,False,False,False,,,,,2022-05-21T19:34:00+00:00,2022-05-21T20:00:00+00:00,,26.0,UNKNOWN,UNKNOWN,UNKNOWN,BOUNDED_INTERVAL,True,True,NO_FAST_FRIDAY_REFERENCE;NO_POINT_TIME_BOTH_SIDES;NO_INTERVAL_TIME_BOTH_SIDES
2022,Takuma Sato,51,3f221659-74ff-5901-97dc-08071a734690,21e8c99e-b04c-516d-85a8-ccfbaed7ff46,DISALLOWED,VALID_RETAINED,232.196,231.708,-0.48799999999999955,False,,False,False,False,False,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,NON_PRIMARY_STATUS;NO_FAST_FRIDAY_REFERENCE;NO_POINT_TIME_BOTH_SIDES;NO_INTERVAL_TIME_BOTH_SIDES
2022,Callum Ilott,77,3cd6d98a-da75-5822-8dae-05e83ad8457c,8fa25fec-e5a6-5844-b3d7-f67c9dc91378,VALID_RETAINED,VALID_RETAINED,230.212,230.961,0.7490000000000236,False,,True,False,False,False,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,NO_FAST_FRIDAY_REFERENCE;NO_POINT_TIME_BOTH_SIDES;NO_INTERVAL_TIME_BOTH_SIDES
2022,Marco Andretti,98,c044edbc-0f6c-5aab-bdef-9c4156b50617,63982b5e-7639-5140-a6a2-702a77c2fc85,VALID_RETAINED,VALID_RETAINED,226.108,230.345,4.236999999999995,False,,True,False,False,False,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,True,True,NO_FAST_FRIDAY_REFERENCE;NO_POINT_TIME_BOTH_SIDES;NO_INTERVAL_TIME_BOTH_SIDES
2023,Helio Castroneves,06,5d44896c-c256-5478-aa5d-74307895b1b0,f9447c70-a844-5937-8f80-cf8d2fce9771,RETIRED,VALID_RETAINED,230.41,231.954,1.5440000000000111,True,GENERAL_FAST_FRIDAY_BEST_SPEED,False,False,False,False,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False,False,NON_PRIMARY_STATUS;NO_POINT_TIME_BOTH_SIDES;NO_INTERVAL_TIME_BOTH_SIDES
2023,Takuma Sato,11,55b6b39a-d64a-5a38-9dbc-84a9faac294b,dd0ff96a-0d57-5ba5-8691-ebf2359edec4,RETIRED,VALID_RETAINED,232.857,233.322,0.4650000000000034,True,FOUR_LAP_QUALIFYING_SIM,False,True,False,True,2023-05-20T16:51:32+00:00,2023-05-20T19:48:58+00:00,,,,,,,UNKNOWN,UNKNOWN,APPROXIMATE_POINT,APPROXIMATE_POINT,False,False,NON_PRIMARY_STATUS;NO_INTERVAL_TIME_BOTH_SIDES
2023,Will Power,12,0051ca1a-7c05-591e-9776-995fe0689445,6913fe23-0965-51fa-8577-ee1007d0f88d,RETIRED,VALID_RETAINED,232.33,232.719,0.3889999999999816,True,FOUR_LAP_QUALIFYING_SIM,False,False,False,False,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False,False,NON_PRIMARY_STATUS;NO_POINT_TIME_BOTH_SIDES;NO_INTERVAL_TIME_BOTH_SIDES
2023,Will Power,12,0051ca1a-7c05-591e-9776-995fe0689445,8e15632d-6932-5877-a861-34ed691706e1,RETIRED,FAILED,232.33,232.71,0.37999999999999545,True,FOUR_LAP_QUALIFYING_SIM,False,False,False,False,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False,False,NON_PRIMARY_STATUS;NO_POINT_TIME_BOTH_SIDES;NO_INTERVAL_TIME_BOTH_SIDES
2023,Graham Rahal,15,6d879c45-8d0a-5f3e-8231-8af530bf9285,e1ec0551-73d2-567c-b806-24a928d89c9e,VALID_SUPERSEDED,FAILED,228.526,228.915,0.3889999999999816,True,GENERAL_FAST_FRIDAY_BEST_SPEED,False,False,False,False,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False,False,NON_PRIMARY_STATUS;NO_POINT_TIME_BOTH_SIDES;NO_INTERVAL_TIME_BOTH_SIDES
2023,David Malukas,18,e676cc29-ed11-5299-abcd-0696a7eb4668,4e8f59ee-2017-5f6b-870a-8398a96b4eb9,VALID_SUPERSEDED,VALID_SUPERSEDED,230.779,231.03,0.2510000000000048,True,GENERAL_FAST_FRIDAY_BEST_SPEED,True,False,False,False,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False,False,NO_POINT_TIME_BOTH_SIDES;NO_INTERVAL_TIME_BOTH_SIDES
2023,David Malukas,18,e676cc29-ed11-5299-abcd-0696a7eb4668,cf5e2385-35ca-51eb-a4d9-6ab7da79af04,VALID_SUPERSEDED,VALID_RETAINED,230.779,231.769,0.9900000000000091,True,GENERAL_FAST_FRIDAY_BEST_SPEED,True,False,False,False,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,False,False,NO_POINT_TIME_BOTH_SIDES;NO_INTERVAL_TIME_BOTH_SIDES
