model_version,fused_decision_id,source_decision_id,regime,year,car_number,driver_name,driver_key,source_attempt_id,decision_time_utc,fast_friday_reference_mph,fast_friday_reference_type,reference_source_file,same_session_other_support_count,same_session_support_basis,observed_field_mean_residual_mph,frozen_prior_mean_residual_mph,shrinkage_k,posterior_calibration_mph,predictive_mean_speed_mph,predictive_sd_mph,q05_speed_mph,q25_speed_mph,q50_speed_mph,q75_speed_mph,q95_speed_mph,uncertainty_class,performance_sample_ready,readiness_status,degraded_or_unresolved_reasons,point_prediction_formula,uncertainty_formula,calibration_evidence_file,uncertainty_parameter_file,future_outcome_or_leaderboard_used
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2021_30_POST_FIRST_ATTEMPT,DAY1_2021_30_POST_FIRST_ATTEMPT,DAY1,2021,30,Takuma Sato,takuma sato,0e1c6c84-a0db-504e-9da0-b66aa65a338c,2021-05-22T16:52:26+00:00,231.598000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,11,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.632636363636,-0.685759615385,3.000000,-0.644019917582,230.953980082418,1.022036154054,229.272880207546,230.264627172178,230.953980082418,231.643332992657,232.635079957289,MODERATE_N_10_19,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2021_4_POST_FIRST_ATTEMPT,DAY1_2021_4_POST_FIRST_ATTEMPT,DAY1,2021,4,Dalton Kellett,dalton kellett,099ab32a-d351-5011-931c-148b9f3d7921,2021-05-22T17:44:56+00:00,230.197000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,21,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.523000000000,-0.685759615385,3.000000,-0.543344951923,229.653655048077,0.985991546434,228.031843276781,228.988613856227,229.653655048077,230.318696239927,231.275466819372,LATER_N_20_PLUS,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2021_45_POST_FIRST_ATTEMPT,DAY1_2021_45_POST_FIRST_ATTEMPT,DAY1,2021,45,Santino Ferrucci,santino ferrucci,8ea0aaac-52bc-55eb-a43e-39b83d6e866a,2021-05-22T16:57:26+00:00,230.924000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,12,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.654083333333,-0.685759615385,3.000000,-0.660418589744,230.263581410256,1.016354922704,228.591826329377,229.578060432331,230.263581410256,230.949102388182,231.935336491136,MODERATE_N_10_19,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2021_47_POST_FIRST_ATTEMPT,DAY1_2021_47_POST_FIRST_ATTEMPT,DAY1,2021,47,Conor Daly,conor daly,11be8bd4-5c39-5bd2-b24f-b6c87f0d885a,2021-05-22T17:49:06+00:00,230.627000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,22,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.542272727273,-0.685759615385,3.000000,-0.559491153846,230.067508846154,0.983934006775,228.449081426429,229.403855443715,230.067508846154,230.731162248593,231.685936265879,LATER_N_20_PLUS,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2021_5_POST_FIRST_ATTEMPT,DAY1_2021_5_POST_FIRST_ATTEMPT,DAY1,2021,5,Pato O'Ward,pato o ward,258b87c8-7f46-5d1a-b0b9-73c0b2a871dc,2021-05-22T17:30:46+00:00,231.510000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,18,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.510666666667,-0.685759615385,3.000000,-0.535679945055,230.974320054945,0.993305111107,229.340478540271,230.304345938686,230.974320054945,231.644294171204,232.608161569619,MODERATE_N_10_19,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2021_51_POST_FIRST_ATTEMPT,DAY1_2021_51_POST_FIRST_ATTEMPT,DAY1,2021,51,Pietro Fittipaldi,pietro fittipaldi,98202c3a-5d68-52fe-91b3-2d520c933594,2021-05-22T17:06:36+00:00,230.666000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,13,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.678769230769,-0.685759615385,3.000000,-0.680079927885,229.985920072115,1.011357666223,228.322384746683,229.303769692466,229.985920072115,230.668070451765,231.649455397547,MODERATE_N_10_19,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2021_59_POST_FIRST_ATTEMPT,DAY1_2021_59_POST_FIRST_ATTEMPT,DAY1,2021,59,Max Chilton,max chilton,a73699bb-b202-59f3-a140-bd7e85f00aff,2021-05-22T17:39:56+00:00,230.473000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,20,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.496350000000,-0.685759615385,3.000000,-0.521055602007,229.951944397993,0.988223143708,228.326461975828,229.285398016656,229.951944397993,230.618490779331,231.577426820159,LATER_N_20_PLUS,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2021_60_POST_FIRST_ATTEMPT,DAY1_2021_60_POST_FIRST_ATTEMPT,DAY1,2021,60,Jack Harvey,jack harvey,7d5d82b7-9765-51c9-b149-cb7de00d3905,2021-05-22T17:58:16+00:00,230.840000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,24,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.546958333333,-0.685759615385,3.000000,-0.562380698006,230.277619301994,0.980265495102,228.665226047000,229.616440273077,230.277619301994,230.938798330911,231.890012556988,LATER_N_20_PLUS,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2021_7_POST_FIRST_ATTEMPT,DAY1_2021_7_POST_FIRST_ATTEMPT,DAY1,2021,7,Felix Rosenqvist,felix rosenqvist,4bfd7a23-3f35-5bcf-9655-c286d7ee30ed,2021-05-22T17:35:46+00:00,230.587000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,19,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.517789473684,-0.685759615385,3.000000,-0.540694493007,230.046305506993,0.990651880183,228.416828168828,229.378120967797,230.046305506993,230.714490046189,231.675782845158,MODERATE_N_10_19,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2021_75_POST_FIRST_ATTEMPT,DAY1_2021_75_POST_FIRST_ATTEMPT,DAY1,2021,75,RC Enerson,rc enerson,d676bd2f-154f-5e4b-aaf0-c7335ff329dd,2021-05-22T18:40:48+00:00,226.055000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,32,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.709531250000,-0.685759615385,3.000000,-0.707493681319,225.347506318681,0.969707563442,223.752479315871,224.693448506452,225.347506318681,226.001564130911,226.942533321491,LATER_N_20_PLUS,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2021_8_POST_FIRST_ATTEMPT,DAY1_2021_8_POST_FIRST_ATTEMPT,DAY1,2021,8,Marcus Ericsson,marcus ericsson,8706f570-3435-5de5-89d4-8c45a08fd99c,2021-05-22T18:21:37+00:00,232.531000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,28,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.720464285714,-0.685759615385,3.000000,-0.717105769231,231.813894230769,0.974319435388,230.211281373662,231.156725758183,231.813894230769,232.471062703355,233.416507087876,LATER_N_20_PLUS,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2021_86_POST_FIRST_ATTEMPT,DAY1_2021_86_POST_FIRST_ATTEMPT,DAY1,2021,86,Juan Pablo Montoya,juan pablo montoya,11bd473d-0cf3-56e2-9aa9-fb4487870c59,2021-05-22T17:11:36+00:00,230.366000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,14,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.617428571429,-0.685759615385,3.000000,-0.629486990950,229.736513009050,1.006927726693,228.080264285721,229.057350578207,229.736513009050,230.415675439892,231.392761732379,MODERATE_N_10_19,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2023_10_POST_FIRST_ATTEMPT,DAY1_2023_10_POST_FIRST_ATTEMPT,DAY1,2023,10,Alex Palou,alex palou,096ff05c-1785-53cf-be2f-65bbb6ce7cd1,2023-05-20T17:05:46+00:00,233.268000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,7,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.475714285714,-0.685759615385,3.000000,-0.538727884615,232.729272115385,1.055481562096,230.993159439791,232.017360620230,232.729272115385,233.441183610539,234.465384790979,LIMITED_N_3_9,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
R4F8G_PERFORMANCE_UNCERTAINTY_V1,DAY1::DAY1_2023_11_POST_FIRST_ATTEMPT,DAY1_2023_11_POST_FIRST_ATTEMPT,DAY1,2023,11,Takuma Sato,takuma sato,55b6b39a-d64a-5a38-9dbc-84a9faac294b,2023-05-20T16:51:32+00:00,233.412000,FROZEN_R4F7_DEVELOPMENT_REFERENCE,r4/output/r4f7c5_prospective_past_only_state_panel_v1.csv,6,FROZEN_R4F7_STRICTLY_EARLIER_OTHER_DRIVER_DEVELOPMENT_ROWS,-0.453166666667,-0.685759615385,3.000000,-0.530697649573,232.881302350427,1.068205345863,231.124260912956,232.160808793538,232.881302350427,233.601795907317,234.638343787899,LIMITED_N_3_9,True,SAMPLE_READY,,FastFridayReference+((k*frozen_prior_mean)+(n*strictly_prior_other_driver_mean))/(k+n),"Normal(center,sqrt(high_support_LOYO_residual_sd^2+prior_sd^2*k/(k+n)))",r4/output/r4f8g_development_residual_calibration_evidence_v1.csv,r4/output/r4f8g_uncertainty_parameters_v1.csv,False
