support,year,model,n,mae_mph,rmse_mph,bias_mph,correlation
N_GE_1,2023,REFERENCE_PLUS_PAST_OTHER_EWMA20,16,0.6711473817221183,1.0720881911453706,0.13465500995806678,0.785946111803102
N_GE_1,2023,REFERENCE_PLUS_PAST_OTHER_EWMA45,16,0.6024485591339026,0.904897960580859,0.11191086596363853,0.8418386862144895
N_GE_3,2020,FAST_FRIDAY_REFERENCE_ONLY,36,1.0555833333333358,1.217691611661637,0.9596388888888896,0.9544404000480156
N_GE_3,2020,REFERENCE_PLUS_PAST_OTHER_MEAN,36,0.6477655234964467,0.8380225071177725,0.1720080286159763,0.9472052010531791
N_GE_3,2020,REFERENCE_PLUS_PAST_OTHER_MEDIAN,36,0.6499583333333336,0.826822452558927,0.14693055555555645,0.948646416943312
N_GE_3,2020,REFERENCE_PLUS_PAST_OTHER_EWMA20,36,0.6248867549077812,0.8518158187675895,0.08408133616554636,0.9421027172556183
N_GE_3,2020,REFERENCE_PLUS_PAST_OTHER_EWMA45,36,0.6193074305042524,0.8323014604332051,0.10611195241529872,0.946035088230537
N_GE_3,2021,FAST_FRIDAY_REFERENCE_ONLY,45,0.8350888888888903,1.1964891140332188,0.6770000000000019,0.630094837645271
N_GE_3,2021,REFERENCE_PLUS_PAST_OTHER_MEAN,45,0.6725701530017223,1.019752329363648,0.025321832729886435,0.609983931339757
N_GE_3,2021,REFERENCE_PLUS_PAST_OTHER_MEDIAN,45,0.691688888888889,1.0376293868450561,0.04880000000000627,0.5924001849548844
N_GE_3,2021,REFERENCE_PLUS_PAST_OTHER_EWMA20,45,0.7274098638428351,1.0657566705090837,0.012120074195735873,0.5919536796174415
N_GE_3,2021,REFERENCE_PLUS_PAST_OTHER_EWMA45,45,0.6967950598642201,1.037071545859269,0.013808154421104746,0.6038428067690413
N_GE_3,2023,FAST_FRIDAY_REFERENCE_ONLY,14,0.6120714285714257,0.8410684955969443,0.23778571428571485,0.8710206575965476
N_GE_3,2023,REFERENCE_PLUS_PAST_OTHER_MEAN,14,0.5496643425027352,0.8370485359027462,-0.017414937740828203,0.8649129908440226
N_GE_3,2023,REFERENCE_PLUS_PAST_OTHER_MEDIAN,14,0.5756071428571374,0.8462361098248029,-0.13746428571428332,0.8674538777438123
N_GE_3,2023,REFERENCE_PLUS_PAST_OTHER_EWMA20,14,0.7051629463785096,1.123256340020749,0.09403978697027274,0.7783321293319794
N_GE_3,2023,REFERENCE_PLUS_PAST_OTHER_EWMA45,14,0.6249293894457152,0.9401399781829429,0.06431488296541334,0.8385554985671673
N_GE_5,2020,FAST_FRIDAY_REFERENCE_ONLY,34,1.0313529411764732,1.1995745078985314,0.9297647058823536,0.9545891818685814
N_GE_5,2020,REFERENCE_PLUS_PAST_OTHER_MEAN,34,0.6098105542903549,0.7942512939072652,0.1060673244169157,0.9515106817714741
N_GE_5,2020,REFERENCE_PLUS_PAST_OTHER_MEDIAN,34,0.6176617647058829,0.7957532363963703,0.08504411764705988,0.951618319966337
N_GE_5,2020,REFERENCE_PLUS_PAST_OTHER_EWMA20,34,0.5845569458518532,0.8047969632016775,0.011939443654192835,0.9477843552808173
N_GE_5,2020,REFERENCE_PLUS_PAST_OTHER_EWMA45,34,0.5791317598748842,0.7856027038314908,0.03574831248658019,0.9512164386085267
N_GE_5,2021,FAST_FRIDAY_REFERENCE_ONLY,43,0.8280000000000023,1.2031542459447508,0.6928837209302348,0.6413379029508138
N_GE_5,2021,REFERENCE_PLUS_PAST_OTHER_MEAN,43,0.6484183771723456,1.006515177219011,0.04709649161654746,0.6290696094792274
N_GE_5,2021,REFERENCE_PLUS_PAST_OTHER_MEDIAN,43,0.6700930232558144,1.0244441657978305,0.07758139534884412,0.6134762048762132
N_GE_5,2021,REFERENCE_PLUS_PAST_OTHER_EWMA20,43,0.7039351854930658,1.0547637185518008,0.028722593216775352,0.609016121741534
N_GE_5,2021,REFERENCE_PLUS_PAST_OTHER_EWMA45,43,0.6729381110605367,1.024722861913097,0.03302571072863747,0.6219411102690631
N_GE_5,2023,FAST_FRIDAY_REFERENCE_ONLY,12,0.604083333333333,0.8662868558778104,0.16741666666667024,0.8626845544393749
N_GE_5,2023,REFERENCE_PLUS_PAST_OTHER_MEAN,12,0.5560458995865266,0.8756679097455202,-0.10554659403096404,0.857915908763336
