fused_decision_id,source_decision_id,regime,year,car_number,driver_name,evaluation_granularity,historical_action,historical_action_resolved,historical_action_quality,current_result_speed_mph,decision_time_benchmark_speed_mph,decision_time_benchmark_type,source_attempt_id,source_attempt_id_semantics,next_attempt_exists,next_attempt_id,next_attempt_complete_four_lap,next_attempt_speed_mph,next_attempt_improved_current,next_attempt_met_decision_time_benchmark,realized_session_outcome,realized_final_qualified,explicit_crash_incomplete,attempt_level_speed_evaluable,categorical_session_outcome_evaluable,evaluation_status,future_information_used_for_prediction,historical_action_used_as_optimal_label
DAY1::DAY1_2020_98_POST_FIRST_ATTEMPT,DAY1_2020_98_POST_FIRST_ATTEMPT,DAY1,2020,98,Marco Andretti,ATTEMPT_LEVEL,STOP,True,HIGH,231.351,230.539,FAST_NINE_ADVANCEMENT,f50bf607-2eaa-51a1-a6d0-2049fcaf3dcd,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_11_POST_FIRST_ATTEMPT,DAY1_2021_11_POST_FIRST_ATTEMPT,DAY1,2021,11,Charlie Kimball,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,228.401,230.864,FAST_NINE_ADVANCEMENT,c150c8f9-470c-58e6-8766-44b6b751369f,CANONICAL_DAY1_ATTEMPT_UUID,True,39b9e374-3daa-551c-8478-eb7d1f44f74e,False,,,,,,False,False,False,NEXT_ATTEMPT_EXISTS_BUT_NOT_COMPLETE_FOUR_LAP,False,False
DAY1::DAY1_2021_12_POST_FIRST_ATTEMPT,DAY1_2021_12_POST_FIRST_ATTEMPT,DAY1,2021,12,Will Power,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,229.052,230.557,FAST_NINE_ADVANCEMENT,6992580a-0371-5eda-b01d-2adaca099ff4,CANONICAL_DAY1_ATTEMPT_UUID,True,5aa71106-e201-5143-bb9a-21ccf4063a9e,True,229.228,True,False,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_14_POST_FIRST_ATTEMPT,DAY1_2021_14_POST_FIRST_ATTEMPT,DAY1,2021,14,Sebastien Bourdais,ATTEMPT_LEVEL,STOP,True,HIGH,229.744,230.864,FAST_NINE_ADVANCEMENT,da571070-dc03-5eb8-ac88-efd026c446d8,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_15_POST_FIRST_ATTEMPT,DAY1_2021_15_POST_FIRST_ATTEMPT,DAY1,2021,15,Graham Rahal,ATTEMPT_LEVEL,STOP,True,HIGH,230.521,230.708,FAST_NINE_ADVANCEMENT,696a641a-81d7-5a8c-842f-4f3170a4b8e4,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_16_POST_FIRST_ATTEMPT,DAY1_2021_16_POST_FIRST_ATTEMPT,DAY1,2021,16,Simona De Silvestro,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,228.173,230.864,FAST_NINE_ADVANCEMENT,8f660bff-74bd-551e-9007-95b730f87e7d,CANONICAL_DAY1_ATTEMPT_UUID,True,adc26df0-920d-5dc7-a952-03b3fb57700a,True,228.395,True,False,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_1_POST_FIRST_ATTEMPT,DAY1_2021_1_POST_FIRST_ATTEMPT,DAY1,2021,1,JR Hildebrand,ATTEMPT_LEVEL,STOP,True,HIGH,229.98,230.557,FAST_NINE_ADVANCEMENT,f31f214f-a151-5b1d-afaf-bb7103c2d514,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_20_POST_FIRST_ATTEMPT,DAY1_2021_20_POST_FIRST_ATTEMPT,DAY1,2021,20,Ed Carpenter,ATTEMPT_LEVEL,STOP,True,HIGH,231.616,230.563,FAST_NINE_ADVANCEMENT,bcd24d81-7b19-5290-b6d7-b3ce5ce41195,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_21_POST_FIRST_ATTEMPT,DAY1_2021_21_POST_FIRST_ATTEMPT,DAY1,2021,21,Rinus VeeKay,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,230.841,229.714,FAST_NINE_ADVANCEMENT,407a503c-1695-5af6-9b88-28e9d802c8d1,CANONICAL_DAY1_ATTEMPT_UUID,True,c10dbae2-ca30-5e09-88ab-298fcf7fa163,True,231.483,True,True,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_22_POST_FIRST_ATTEMPT,DAY1_2021_22_POST_FIRST_ATTEMPT,DAY1,2021,22,Simon Pagenaud,ATTEMPT_LEVEL,STOP,True,HIGH,229.778,230.708,FAST_NINE_ADVANCEMENT,5f22f207-f450-5086-ab38-14fe980d9fed,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_26_POST_FIRST_ATTEMPT,DAY1_2021_26_POST_FIRST_ATTEMPT,DAY1,2021,26,Colton Herta,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,231.648,230.841,FAST_NINE_ADVANCEMENT,e9da8645-6367-51bf-8601-3670e9e76c5e,CANONICAL_DAY1_ATTEMPT_UUID,True,90108456-7f40-5313-a9ff-43273b65d2f0,True,230.229,False,False,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_27_POST_FIRST_ATTEMPT,DAY1_2021_27_POST_FIRST_ATTEMPT,DAY1,2021,27,Alexander Rossi,ATTEMPT_LEVEL,STOP,True,HIGH,231.046,230.846,FAST_NINE_ADVANCEMENT,69b27d9b-5386-5a2c-a855-449bb527fca1,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_2_POST_FIRST_ATTEMPT,DAY1_2021_2_POST_FIRST_ATTEMPT,DAY1,2021,2,Josef Newgarden,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,230.049,229.261,FAST_NINE_ADVANCEMENT,c4c9ba22-d28c-5937-b36c-72fffbbb67b5,CANONICAL_DAY1_ATTEMPT_UUID,True,2493785c-dc47-5ba6-8d28-5398e7a11983,True,230.071,True,True,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_30_POST_FIRST_ATTEMPT,DAY1_2021_30_POST_FIRST_ATTEMPT,DAY1,2021,30,Takuma Sato,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,230.708,230.246,FAST_NINE_ADVANCEMENT,0e1c6c84-a0db-504e-9da0-b66aa65a338c,CANONICAL_DAY1_ATTEMPT_UUID,True,c4594c6a-a280-5ab3-865f-7da469cc26fa,False,,,,,,False,False,False,NEXT_ATTEMPT_EXISTS_BUT_NOT_COMPLETE_FOUR_LAP,False,False
DAY1::DAY1_2021_3_POST_FIRST_ATTEMPT,DAY1_2021_3_POST_FIRST_ATTEMPT,DAY1,2021,3,Scott McLaughlin,ATTEMPT_LEVEL,STOP,True,HIGH,230.557,230.049,FAST_NINE_ADVANCEMENT,20b68ba3-153d-53cd-9ef8-e81c295271bf,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_45_POST_FIRST_ATTEMPT,DAY1_2021_45_POST_FIRST_ATTEMPT,DAY1,2021,45,Santino Ferrucci,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,229.949,230.246,FAST_NINE_ADVANCEMENT,8ea0aaac-52bc-55eb-a43e-39b83d6e866a,CANONICAL_DAY1_ATTEMPT_UUID,True,9f01c29b-9065-53ec-8e2f-27c95ba69f0a,False,,,,,,False,False,False,NEXT_ATTEMPT_EXISTS_BUT_NOT_COMPLETE_FOUR_LAP,False,False
DAY1::DAY1_2021_47_POST_FIRST_ATTEMPT,DAY1_2021_47_POST_FIRST_ATTEMPT,DAY1,2021,47,Conor Daly,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,230.427,230.708,FAST_NINE_ADVANCEMENT,11be8bd4-5c39-5bd2-b24f-b6c87f0d885a,CANONICAL_DAY1_ATTEMPT_UUID,True,fb947c1e-3d51-506f-bbbc-12ecbcdce5da,True,230.273,False,False,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_4_POST_FIRST_ATTEMPT,DAY1_2021_4_POST_FIRST_ATTEMPT,DAY1,2021,4,Dalton Kellett,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,229.25,230.708,FAST_NINE_ADVANCEMENT,099ab32a-d351-5011-931c-148b9f3d7921,CANONICAL_DAY1_ATTEMPT_UUID,True,a5d8e516-48e0-58b8-ac13-213c753fc12d,True,228.323,False,False,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_51_POST_FIRST_ATTEMPT,DAY1_2021_51_POST_FIRST_ATTEMPT,DAY1,2021,51,Pietro Fittipaldi,ATTEMPT_LEVEL,STOP,True,HIGH,230.846,230.557,FAST_NINE_ADVANCEMENT,98202c3a-5d68-52fe-91b3-2d520c933594,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_59_POST_FIRST_ATTEMPT,DAY1_2021_59_POST_FIRST_ATTEMPT,DAY1,2021,59,Max Chilton,ATTEMPT_LEVEL,STOP,True,HIGH,229.417,230.708,FAST_NINE_ADVANCEMENT,a73699bb-b202-59f3-a140-bd7e85f00aff,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_5_POST_FIRST_ATTEMPT,DAY1_2021_5_POST_FIRST_ATTEMPT,DAY1,2021,5,Pato O'Ward,ATTEMPT_LEVEL,STOP,True,HIGH,230.864,230.708,FAST_NINE_ADVANCEMENT,258b87c8-7f46-5d1a-b0b9-73c0b2a871dc,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_60_POST_FIRST_ATTEMPT,DAY1_2021_60_POST_FIRST_ATTEMPT,DAY1,2021,60,Jack Harvey,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,225.496,230.708,FAST_NINE_ADVANCEMENT,7d5d82b7-9765-51c9-b149-cb7de00d3905,CANONICAL_DAY1_ATTEMPT_UUID,True,8ff02437-bce9-5d86-b3c7-906d93963538,True,230.191,True,False,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_75_POST_FIRST_ATTEMPT,DAY1_2021_75_POST_FIRST_ATTEMPT,DAY1,2021,75,RC Enerson,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,227.283,230.864,FAST_NINE_ADVANCEMENT,d676bd2f-154f-5e4b-aaf0-c7335ff329dd,CANONICAL_DAY1_ATTEMPT_UUID,True,9ef8122c-6313-510b-9d16-813050842537,False,,,,,,False,False,False,NEXT_ATTEMPT_EXISTS_BUT_NOT_COMPLETE_FOUR_LAP,False,False
DAY1::DAY1_2021_7_POST_FIRST_ATTEMPT,DAY1_2021_7_POST_FIRST_ATTEMPT,DAY1,2021,7,Felix Rosenqvist,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,230.498,230.708,FAST_NINE_ADVANCEMENT,4bfd7a23-3f35-5bcf-9655-c286d7ee30ed,CANONICAL_DAY1_ATTEMPT_UUID,True,595096e7-98a7-552c-a5f8-f2f3eeb54d68,True,230.744,True,True,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_86_POST_FIRST_ATTEMPT,DAY1_2021_86_POST_FIRST_ATTEMPT,DAY1,2021,86,Juan Pablo Montoya,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,229.891,230.557,FAST_NINE_ADVANCEMENT,11bd473d-0cf3-56e2-9aa9-fb4487870c59,CANONICAL_DAY1_ATTEMPT_UUID,True,f39f497a-d8a0-55e6-8bd1-ef646a4f6e71,True,229.737,False,False,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_8_POST_FIRST_ATTEMPT,DAY1_2021_8_POST_FIRST_ATTEMPT,DAY1,2021,8,Marcus Ericsson,ATTEMPT_LEVEL,STOP,True,HIGH,231.104,230.864,FAST_NINE_ADVANCEMENT,8706f570-3435-5de5-89d4-8c45a08fd99c,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2023_10_POST_FIRST_ATTEMPT,DAY1_2023_10_POST_FIRST_ATTEMPT,DAY1,2023,10,Alex Palou,ATTEMPT_LEVEL,STOP,True,HIGH,233.398,231.273,TOP_12_ADVANCEMENT,096ff05c-1785-53cf-be2f-65bbb6ce7cd1,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2023_11_POST_FIRST_ATTEMPT,DAY1_2023_11_POST_FIRST_ATTEMPT,DAY1,2023,11,Takuma Sato,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,232.857,227.72,TOP_12_ADVANCEMENT,55b6b39a-d64a-5a38-9dbc-84a9faac294b,CANONICAL_DAY1_ATTEMPT_UUID,True,dd0ff96a-0d57-5ba5-8691-ebf2359edec4,True,233.322,True,True,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2023_14_POST_FIRST_ATTEMPT,DAY1_2023_14_POST_FIRST_ATTEMPT,DAY1,2023,14,Santino Ferrucci,ATTEMPT_LEVEL,STOP,True,HIGH,233.147,231.129,TOP_12_ADVANCEMENT,cda49858-f649-523a-85fb-8d53847f80bf,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2023_27_POST_FIRST_ATTEMPT,DAY1_2023_27_POST_FIRST_ATTEMPT,DAY1,2023,27,Kyle Kirkwood,ATTEMPT_LEVEL,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,232.39,232.39,TOP_12_ADVANCEMENT,dda33fdd-49c8-5082-a03d-252bf1a6fa49,CANONICAL_DAY1_ATTEMPT_UUID,True,f9f206a7-b2ab-5eb9-8805-0d279c65164d,True,232.617,True,True,,,False,True,False,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2023_44_POST_FIRST_ATTEMPT,DAY1_2023_44_POST_FIRST_ATTEMPT,DAY1,2023,44,Katherine Legge,ATTEMPT_LEVEL,STOP,True,HIGH,231.07,232.39,TOP_12_ADVANCEMENT,939cb422-2442-550d-9cc5-80f8c372c5d7,CANONICAL_DAY1_ATTEMPT_UUID,False,,False,,,,,,False,False,False,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
LAST_CHANCE::2021_11_POST_GUARANTEED_BREAK,2021_11_POST_GUARANTEED_BREAK,LAST_CHANCE,2021,11,Charlie Kimball,SESSION_LEVEL_CATEGORICAL,REATTEMPT,True,HIGH,,228.353000,LAST_CHANCE_SURVIVAL_BUBBLE,,UNRESOLVED_NO_SAFE_ATTEMPT_LEVEL_JOIN,,,,,,,FAILED_TO_QUALIFY,False,False,False,True,LAST_CHANCE_SESSION_OUTCOME_OBSERVED,False,False
LAST_CHANCE::2021_12_POST_GUARANTEED_BREAK,2021_12_POST_GUARANTEED_BREAK,LAST_CHANCE,2021,12,Will Power,SESSION_LEVEL_CATEGORICAL,STOP,True,HIGH,228.876000,228.353000,LAST_CHANCE_SURVIVAL_BUBBLE,101339,RESOLVED_OFFICIAL_SESSION_DETAIL_ID_BY_EXACT_STATE_SPEED,,,,,,,QUALIFIED_P32,True,False,False,True,LAST_CHANCE_SESSION_OUTCOME_OBSERVED,False,False
