fused_decision_id,year,driver,assumed_time_remaining_minutes,priority_wait_reduction_percent,retain_p_completed,withdraw_p_completed,retain_p_final_meets_benchmark,withdraw_p_final_meets_benchmark,withdraw_p_no_final_result,withdraw_p_final_worse_than_current,delta_benchmark_success_probability
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,60,0,1.0,1.0,1.0,0.2784,0.0,0.7216,-0.7216
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,60,25,1.0,1.0,1.0,0.2784,0.0,0.7216,-0.7216
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,60,50,1.0,1.0,1.0,0.2784,0.0,0.7216,-0.7216
DAY1::DAY1_2020_10_POST_FIRST_ATTEMPT,2020,Felix Rosenqvist,60,75,1.0,1.0,1.0,0.2784,0.0,0.7216,-0.7216
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,5,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,5,25,0.0,0.0,0.0,0.0,1.0,1.0,0.0
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,5,50,0.0,0.0,0.0,0.0,1.0,1.0,0.0
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,5,75,0.0,0.24765,0.0,0.01745,0.75235,0.8834,0.01745
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,10,0,0.2517,0.2517,0.018,0.018,0.7483,0.87965,0.0
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,10,25,0.2517,0.2517,0.018,0.018,0.7483,0.87965,0.0
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,10,50,0.2517,0.2517,0.018,0.018,0.7483,0.87965,0.0
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,10,75,0.2517,0.504,0.018,0.0345,0.496,0.76165,0.016500000000000004
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,15,0,0.25205,0.25205,0.0159,0.0159,0.74795,0.8813,0.0
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,15,25,0.25205,0.50135,0.0159,0.0324,0.49865,0.76635,0.016499999999999997
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,15,50,0.25205,0.50135,0.0159,0.0324,0.49865,0.76635,0.016499999999999997
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,15,75,0.25205,1.0,0.0159,0.0682,0.0,0.53345,0.0523
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,20,0,0.5045,0.5045,0.03335,0.03335,0.4955,0.76365,0.0
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,20,25,0.5045,0.5045,0.03335,0.03335,0.4955,0.76365,0.0
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,20,50,0.5045,0.755,0.03335,0.05035,0.245,0.6422,0.017
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,20,75,0.5045,1.0,0.03335,0.0669,0.0,0.52855,0.03355
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,30,0,0.4942,0.4942,0.0309,0.0309,0.5058,0.7721,0.0
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,30,25,0.4942,0.75065,0.0309,0.0487,0.24935,0.64955,0.0178
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,30,50,0.4942,1.0,0.0309,0.06505,0.0,0.5351,0.03415
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,30,75,0.4942,1.0,0.0309,0.06505,0.0,0.5351,0.03415
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,45,0,0.7449,0.7449,0.0513,0.0513,0.2551,0.652,0.0
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,45,25,0.7449,1.0,0.0513,0.06945,0.0,0.5341,0.01815
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,45,50,0.7449,1.0,0.0513,0.06945,0.0,0.5341,0.01815
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,45,75,0.7449,1.0,0.0513,0.06945,0.0,0.5341,0.01815
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,60,0,1.0,1.0,0.06755,0.06755,0.0,0.53685,0.0
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,60,25,1.0,1.0,0.06755,0.06755,0.0,0.53685,0.0
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,60,50,1.0,1.0,0.06755,0.06755,0.0,0.53685,0.0
DAY1::DAY1_2020_14_POST_FIRST_ATTEMPT,2020,Tony Kanaan,60,75,1.0,1.0,0.06755,0.06755,0.0,0.53685,0.0
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,5,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,5,25,0.0,0.0,0.0,0.0,1.0,1.0,0.0
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,5,50,0.0,0.0,0.0,0.0,1.0,1.0,0.0
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,5,75,0.0,0.25005,0.0,0.01915,0.74995,0.9587,0.01915
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,10,0,0.2481,0.2481,0.0171,0.0171,0.7519,0.96005,0.0
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,10,25,0.2481,0.2481,0.0171,0.0171,0.7519,0.96005,0.0
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,10,50,0.2481,0.2481,0.0171,0.0171,0.7519,0.96005,0.0
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,10,75,0.2481,0.50165,0.0171,0.03755,0.49835,0.9156,0.02045
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,15,0,0.2509,0.2509,0.01965,0.01965,0.7491,0.9592,0.0
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,15,25,0.2509,0.50085,0.01965,0.03875,0.49915,0.91905,0.0191
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,15,50,0.2509,0.50085,0.01965,0.03875,0.49915,0.91905,0.0191
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,15,75,0.2509,1.0,0.01965,0.0774,0.0,0.8379,0.057749999999999996
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,20,0,0.4993,0.4993,0.0385,0.0385,0.5007,0.9158,0.0
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,20,25,0.4993,0.4993,0.0385,0.0385,0.5007,0.9158,0.0
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,20,50,0.4993,0.75125,0.0385,0.05925,0.24875,0.87215,0.020749999999999998
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,20,75,0.4993,1.0,0.0385,0.0788,0.0,0.8315,0.040299999999999996
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,30,0,0.49425,0.49425,0.03845,0.03845,0.50575,0.9197,0.0
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,30,25,0.49425,0.74845,0.03845,0.0594,0.25155,0.87735,0.020950000000000003
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,30,50,0.49425,1.0,0.03845,0.0787,0.0,0.834,0.04025000000000001
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,30,75,0.49425,1.0,0.03845,0.0787,0.0,0.834,0.04025000000000001
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,45,0,0.74905,0.74905,0.0598,0.0598,0.25095,0.8769,0.0
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,45,25,0.74905,1.0,0.0598,0.07825,0.0,0.83535,0.01845
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,45,50,0.74905,1.0,0.0598,0.07825,0.0,0.83535,0.01845
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,45,75,0.74905,1.0,0.0598,0.07825,0.0,0.83535,0.01845
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,60,0,1.0,1.0,0.08,0.08,0.0,0.8317,0.0
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,60,25,1.0,1.0,0.08,0.08,0.0,0.8317,0.0
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,60,50,1.0,1.0,0.08,0.08,0.0,0.8317,0.0
DAY1::DAY1_2020_20_POST_FIRST_ATTEMPT,2020,Ed Carpenter,60,75,1.0,1.0,0.08,0.08,0.0,0.8317,0.0
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,5,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,5,25,0.0,0.0,0.0,0.0,1.0,1.0,0.0
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,5,50,0.0,0.0,0.0,0.0,1.0,1.0,0.0
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,5,75,0.0,0.25465,0.0,0.03635,0.74535,0.81755,0.03635
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,10,0,0.252,0.252,0.03375,0.03375,0.748,0.82245,0.0
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,10,25,0.252,0.252,0.03375,0.03375,0.748,0.82245,0.0
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,10,50,0.252,0.252,0.03375,0.03375,0.748,0.82245,0.0
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,10,75,0.252,0.50355,0.03375,0.0676,0.49645,0.6419,0.03384999999999999
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,15,0,0.2519,0.2519,0.03255,0.03255,0.7481,0.8201,0.0
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,15,25,0.2519,0.49705,0.03255,0.0652,0.50295,0.64645,0.03264999999999999
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,15,50,0.2519,0.49705,0.03255,0.0652,0.50295,0.64645,0.03264999999999999
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,15,75,0.2519,1.0,0.03255,0.13645,0.0,0.2889,0.10389999999999999
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,20,0,0.49985,0.49985,0.0676,0.0676,0.50015,0.6456,0.0
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,20,25,0.49985,0.49985,0.0676,0.0676,0.50015,0.6456,0.0
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,20,50,0.49985,0.7479,0.0676,0.1024,0.2521,0.4698,0.03480000000000001
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,20,75,0.49985,1.0,0.0676,0.1356,0.0,0.2907,0.068
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,30,0,0.5016,0.5016,0.06795,0.06795,0.4984,0.6418,0.0
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,30,25,0.5016,0.7495,0.06795,0.1005,0.2505,0.46665,0.03255000000000001
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,30,50,0.5016,1.0,0.06795,0.1353,0.0,0.2893,0.06735000000000001
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,30,75,0.5016,1.0,0.06795,0.1353,0.0,0.2893,0.06735000000000001
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,45,0,0.75185,0.75185,0.1,0.1,0.24815,0.46675,0.0
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,45,25,0.75185,1.0,0.1,0.13315,0.0,0.2887,0.033149999999999985
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,45,50,0.75185,1.0,0.1,0.13315,0.0,0.2887,0.033149999999999985
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,45,75,0.75185,1.0,0.1,0.13315,0.0,0.2887,0.033149999999999985
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,60,0,1.0,1.0,0.1352,0.1352,0.0,0.2844,0.0
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,60,25,1.0,1.0,0.1352,0.1352,0.0,0.2844,0.0
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,60,50,1.0,1.0,0.1352,0.1352,0.0,0.2844,0.0
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,2020,Simon Pagenaud,60,75,1.0,1.0,0.1352,0.1352,0.0,0.2844,0.0
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,5,0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,5,25,0.0,0.0,1.0,0.0,1.0,1.0,-1.0
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,5,50,0.0,0.0,1.0,0.0,1.0,1.0,-1.0
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,5,75,0.0,0.2509,1.0,0.1643,0.7491,0.8357,-0.8357
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,10,0,0.24865,0.24865,1.0,0.16355,0.75135,0.83645,-0.83645
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,10,25,0.24865,0.24865,1.0,0.16355,0.75135,0.83645,-0.83645
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,10,50,0.24865,0.24865,1.0,0.16355,0.75135,0.83645,-0.83645
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,10,75,0.24865,0.50155,1.0,0.3315,0.49845,0.6685,-0.6685
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,15,0,0.2488,0.2488,1.0,0.16595,0.7512,0.83405,-0.83405
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,15,25,0.2488,0.49785,1.0,0.33125,0.50215,0.66875,-0.66875
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,15,50,0.2488,0.49785,1.0,0.33125,0.50215,0.66875,-0.66875
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,15,75,0.2488,1.0,1.0,0.66155,0.0,0.33845,-0.33845000000000003
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,20,0,0.50135,0.50135,1.0,0.3275,0.49865,0.6725,-0.6725
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,20,25,0.50135,0.50135,1.0,0.3275,0.49865,0.6725,-0.6725
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,20,50,0.50135,0.7489,1.0,0.48885,0.2511,0.51115,-0.51115
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,20,75,0.50135,1.0,1.0,0.65345,0.0,0.34655,-0.34655
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,30,0,0.5004,0.5004,1.0,0.32875,0.4996,0.67125,-0.67125
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,30,25,0.5004,0.7513,1.0,0.4906,0.2487,0.5094,-0.5094000000000001
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,30,50,0.5004,1.0,1.0,0.65235,0.0,0.34765,-0.34765
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,30,75,0.5004,1.0,1.0,0.65235,0.0,0.34765,-0.34765
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,45,0,0.75125,0.75125,1.0,0.49565,0.24875,0.50435,-0.5043500000000001
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,45,25,0.75125,1.0,1.0,0.659,0.0,0.341,-0.34099999999999997
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,45,50,0.75125,1.0,1.0,0.659,0.0,0.341,-0.34099999999999997
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,45,75,0.75125,1.0,1.0,0.659,0.0,0.341,-0.34099999999999997
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,60,0,1.0,1.0,1.0,0.6574,0.0,0.3426,-0.3426
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,60,25,1.0,1.0,1.0,0.6574,0.0,0.3426,-0.3426
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,60,50,1.0,1.0,1.0,0.6574,0.0,0.3426,-0.3426
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,2020,Sage Karam,60,75,1.0,1.0,1.0,0.6574,0.0,0.3426,-0.3426
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,5,0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,5,25,0.0,0.0,1.0,0.0,1.0,1.0,-1.0
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,5,50,0.0,0.0,1.0,0.0,1.0,1.0,-1.0
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,5,75,0.0,0.25075,1.0,0.24625,0.74925,0.88665,-0.75375
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,10,0,0.2506,0.2506,1.0,0.24775,0.7494,0.8851,-0.75225
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,10,25,0.2506,0.2506,1.0,0.24775,0.7494,0.8851,-0.75225
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,10,50,0.2506,0.2506,1.0,0.24775,0.7494,0.8851,-0.75225
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,10,75,0.2506,0.5008,1.0,0.4946,0.4992,0.7695,-0.5054000000000001
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,15,0,0.2501,0.2501,1.0,0.2471,0.7499,0.8871,-0.7529
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,15,25,0.2501,0.50315,1.0,0.49575,0.49685,0.77195,-0.50425
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,15,50,0.2501,0.50315,1.0,0.49575,0.49685,0.77195,-0.50425
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,15,75,0.2501,1.0,1.0,0.985,0.0,0.54485,-0.015000000000000013
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,20,0,0.49605,0.49605,1.0,0.4892,0.50395,0.7717,-0.5107999999999999
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,20,25,0.49605,0.49605,1.0,0.4892,0.50395,0.7717,-0.5107999999999999
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,20,50,0.49605,0.74815,1.0,0.73725,0.25185,0.6542,-0.26275000000000004
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,20,75,0.49605,1.0,1.0,0.9849,0.0,0.5394,-0.015100000000000002
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,30,0,0.4949,0.4949,1.0,0.4876,0.5051,0.78035,-0.5124
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,30,25,0.4949,0.7448,1.0,0.73445,0.2552,0.6678,-0.26554999999999995
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,30,50,0.4949,1.0,1.0,0.98615,0.0,0.55,-0.013850000000000029
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,30,75,0.4949,1.0,1.0,0.98615,0.0,0.55,-0.013850000000000029
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,45,0,0.7497,0.7497,1.0,0.7386,0.2503,0.6571,-0.26139999999999997
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,45,25,0.7497,1.0,1.0,0.98555,0.0,0.54375,-0.014449999999999963
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,45,50,0.7497,1.0,1.0,0.98555,0.0,0.54375,-0.014449999999999963
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,45,75,0.7497,1.0,1.0,0.98555,0.0,0.54375,-0.014449999999999963
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,60,0,1.0,1.0,1.0,0.98655,0.0,0.54675,-0.013449999999999962
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,60,25,1.0,1.0,1.0,0.98655,0.0,0.54675,-0.013449999999999962
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,60,50,1.0,1.0,1.0,0.98655,0.0,0.54675,-0.013449999999999962
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,2020,Alexander Rossi,60,75,1.0,1.0,1.0,0.98655,0.0,0.54675,-0.013449999999999962
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,2020,Ryan Hunter-Reay,5,0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0
