year,session_id,car_number,driver_name,after_attempt_id,after_time_utc,current_delta_speed_mph,current_delta_late_run_fade_mph,signal_semantic,future_information_used,prior_3_peer_count,prior_3_median_delta_speed_mph,prior_3_mean_delta_speed_mph,prior_3_positive_speed_fraction,prior_3_median_delta_fade_mph,prior_3_fade_improvement_fraction,prior_3_signal_span_minutes,prior_5_peer_count,prior_5_median_delta_speed_mph,prior_5_mean_delta_speed_mph,prior_5_positive_speed_fraction,prior_5_median_delta_fade_mph,prior_5_fade_improvement_fraction,prior_5_signal_span_minutes
2020,INDY500_DAY1_2020,5,Pato O'Ward,757828a3-822d-5bd8-b9f0-681a6918b48b,2020-08-15T20:22:30Z,0.311000,0.441500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,1.484000,1.237667,1.000000,0.815500,0.666667,51.666667,5,0.258000,0.806000,1.000000,-0.299500,0.400000,76.666667
2021,INDY500_DAY1_2021,2,Josef Newgarden,2493785c-dc47-5ba6-8d28-5398e7a11983,2021-05-22T18:44:56Z,0.022000,-0.404000,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,0,,,,,,,0,,,,,,
2021,INDY500_DAY1_2021,21,Rinus VeeKay,c10dbae2-ca30-5e09-88ab-298fcf7fa163,2021-05-22T18:49:55Z,0.642000,0.224000,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,1,0.022000,0.022000,1.000000,-0.404000,0.000000,4.983333,1,0.022000,0.022000,1.000000,-0.404000,0.000000,4.983333
2021,INDY500_DAY1_2021,98,Marco Andretti,b671a083-ccd6-5511-a882-53e7bf202c19,2021-05-22T18:54:55Z,0.611000,-0.162500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,2,0.332000,0.332000,1.000000,-0.090000,0.500000,9.983333,2,0.332000,0.332000,1.000000,-0.090000,0.500000,9.983333
2021,INDY500_DAY1_2021,60,Jack Harvey,8ff02437-bce9-5d86-b3c7-906d93963538,2021-05-22T19:02:24Z,4.695000,2.943500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.611000,0.425000,1.000000,-0.162500,0.333333,17.466667,3,0.611000,0.425000,1.000000,-0.162500,0.333333,17.466667
2021,INDY500_DAY1_2021,25,Stefan Wilson,09935cc4-f542-569f-b50c-7460e0663860,2021-05-22T19:06:36Z,-0.020000,-0.564500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.642000,1.982667,1.000000,0.224000,0.666667,16.683333,4,0.626500,1.492500,1.000000,0.030750,0.500000,21.666667
2021,INDY500_DAY1_2021,47,Conor Daly,fb947c1e-3d51-506f-bbbc-12ecbcdce5da,2021-05-22T19:55:55Z,-0.154000,-0.362000,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.611000,1.762000,0.666667,-0.162500,0.333333,61.000000,5,0.611000,1.190000,0.800000,-0.162500,0.400000,70.983333
2021,INDY500_DAY1_2021,26,Colton Herta,90108456-7f40-5313-a9ff-43273b65d2f0,2021-05-22T20:25:16Z,-1.419000,0.149500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,-0.020000,1.507000,0.333333,-0.362000,0.333333,82.866667,5,0.611000,1.154800,0.600000,-0.162500,0.400000,95.350000
2021,INDY500_DAY1_2021,86,Juan Pablo Montoya,f39f497a-d8a0-55e6-8bd1-ef646a4f6e71,2021-05-22T21:02:45Z,-0.154000,0.300000,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,-0.154000,-0.531000,0.000000,-0.362000,0.333333,116.150000,5,-0.020000,0.742600,0.400000,-0.162500,0.400000,127.833333
2021,INDY500_DAY1_2021,18,Ed Jones,4085390f-e83a-5315-8def-464aeb920059,2021-05-22T21:07:57Z,0.798000,-0.077500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,-0.154000,-0.575667,0.000000,0.149500,0.666667,72.033333,5,-0.154000,0.589600,0.200000,0.149500,0.600000,125.550000
2021,INDY500_DAY1_2021,25,Stefan Wilson,8ac7badc-828c-5c70-bbf4-d92f136c2564,2021-05-22T21:12:26Z,-0.062000,0.245500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,-0.154000,-0.258333,0.333333,0.149500,0.666667,47.166667,5,-0.154000,0.753200,0.400000,0.149500,0.600000,130.033333
2021,INDY500_DAY1_2021,7,Felix Rosenqvist,595096e7-98a7-552c-a5f8-f2f3eeb54d68,2021-05-22T21:21:31Z,0.246000,-0.207000,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,-0.062000,0.194000,0.333333,0.245500,0.666667,18.766667,5,-0.154000,-0.198200,0.200000,0.149500,0.600000,85.600000
2021,INDY500_DAY1_2021,98,Marco Andretti,cb6ab391-510a-562a-a1bc-a173959477a0,2021-05-22T21:25:30Z,-0.002000,0.529000,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.246000,0.327333,0.666667,-0.077500,0.333333,17.550000,5,-0.062000,-0.118200,0.400000,0.149500,0.600000,60.233333
2021,INDY500_DAY1_2021,16,Simona De Silvestro,adc26df0-920d-5dc7-a952-03b3fb57700a,2021-05-22T21:30:13Z,0.222000,-0.600500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,-0.002000,0.060667,0.333333,0.245500,0.666667,17.783333,5,-0.002000,0.165200,0.400000,0.245500,0.600000,27.466667
2021,INDY500_DAY1_2021,12,Will Power,5aa71106-e201-5143-bb9a-21ccf4063a9e,2021-05-22T21:33:54Z,0.176000,0.329500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.222000,0.155333,0.666667,-0.207000,0.333333,12.383333,5,0.222000,0.240400,0.600000,-0.077500,0.400000,25.950000
2021,INDY500_DAY1_2021,4,Dalton Kellett,a5d8e516-48e0-58b8-ac13-213c753fc12d,2021-05-22T21:46:39Z,-0.927000,-1.454500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.176000,0.132000,0.666667,0.329500,0.666667,21.150000,5,0.176000,0.116000,0.600000,0.245500,0.600000,34.216667
2021,INDY500_DAY1_2021,16,Simona De Silvestro,73af9176-8333-59df-915e-2cc1016f64b2,2021-05-22T21:50:59Z,-0.382000,1.652500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,-0.002000,-0.251000,0.333333,0.329500,0.666667,25.483333,5,-0.002000,-0.113800,0.400000,0.245500,0.600000,38.550000
2023,INDY500_DAY1_2023,8,Marcus Ericsson,fce06089-154b-512e-a547-fd144ec0961c,2023-05-20T18:14:06Z,-0.314000,-1.201000,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,0,,,,,,,0,,,,,,
2023,INDY500_DAY1_2023,77,Callum Ilott,333cf68d-54d9-5559-ac70-c73c27086892,2023-05-20T18:45:04Z,3.462000,0.566500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,1,-0.314000,-0.314000,0.000000,-1.201000,0.000000,30.966667,1,-0.314000,-0.314000,0.000000,-1.201000,0.000000,30.966667
2023,INDY500_DAY1_2023,66,Tony Kanaan,fdb7fb74-bf21-54a6-8668-36c035e40628,2023-05-20T18:58:45Z,0.174000,0.495500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,2,1.574000,1.574000,0.500000,-0.317250,0.500000,44.650000,2,1.574000,1.574000,0.500000,-0.317250,0.500000,44.650000
2023,INDY500_DAY1_2023,29,Devlin DeFrancesco,ab6f7ab5-b6ba-5e02-9560-f89bd35b575c,2023-05-20T19:04:53Z,0.080000,-0.644000,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.174000,1.107333,0.666667,0.495500,0.666667,50.783333,3,0.174000,1.107333,0.666667,0.495500,0.666667,50.783333
2023,INDY500_DAY1_2023,9,Scott Dixon,3a0bcd66-fa08-5944-bf0b-5ec6c5a10f91,2023-05-20T19:07:40Z,0.461000,-0.277500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.174000,1.238667,1.000000,0.495500,0.666667,22.600000,4,0.127000,0.850500,0.750000,-0.074250,0.500000,53.566667
2023,INDY500_DAY1_2023,27,Kyle Kirkwood,f9f206a7-b2ab-5eb9-8805-0d279c65164d,2023-05-20T19:17:10Z,0.227000,0.043000,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.174000,0.238333,1.000000,-0.277500,0.333333,18.416667,5,0.174000,0.772600,0.800000,-0.277500,0.400000,63.066667
2023,INDY500_DAY1_2023,33,Ed Carpenter,2b14c17d-769c-504e-819b-55270bb93b13,2023-05-20T19:25:49Z,-0.109000,-0.338500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.227000,0.256000,1.000000,-0.277500,0.333333,20.933333,5,0.227000,0.880800,1.000000,0.043000,0.600000,40.750000
2023,INDY500_DAY1_2023,11,Takuma Sato,dd0ff96a-0d57-5ba5-8691-ebf2359edec4,2023-05-20T19:48:58Z,0.465000,0.003500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.227000,0.193000,0.666667,-0.277500,0.333333,41.300000,5,0.174000,0.166600,0.800000,-0.277500,0.400000,50.216667
2023,INDY500_DAY1_2023,8,Marcus Ericsson,79d389ee-b055-582a-8985-c09472aa4d69,2023-05-20T19:57:53Z,0.609000,0.998000,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.227000,0.194333,0.666667,0.003500,0.666667,40.716667,5,0.227000,0.224800,0.800000,-0.277500,0.400000,53.000000
2023,INDY500_DAY1_2023,27,Kyle Kirkwood,970e09d9-9783-53a2-ac70-f2117bee1d09,2023-05-20T20:10:26Z,0.045000,-0.400500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.465000,0.321667,0.666667,0.003500,0.666667,44.616667,5,0.461000,0.301200,0.800000,-0.277500,0.400000,65.550000
2023,INDY500_DAY1_2023,66,Tony Kanaan,d1af19f4-254b-5058-b545-543906d4584e,2023-05-20T20:33:51Z,0.727000,0.230500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.465000,0.373000,1.000000,0.003500,0.666667,44.883333,5,0.461000,0.294200,0.800000,-0.277500,0.400000,86.183333
2023,INDY500_DAY1_2023,33,Ed Carpenter,55035890-97e8-57a3-a2e1-4845f4b05eb9,2023-05-20T20:47:30Z,0.178000,0.595000,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,3,0.609000,0.460333,1.000000,0.230500,0.666667,49.616667,5,0.465000,0.461400,1.000000,0.003500,0.600000,99.833333
2024,INDY500_DAY1_2024,7,Alexander Rossi,8ec48ba2-cd65-5a70-94b7-6bd93fe67f38,2024-05-18T20:37:01Z,0.107000,-0.209500,PAST_ONLY_OTHER_CAR_REPEAT_PERFORMANCE_SIGNAL,False,0,,,,,,,0,,,,,,
