decision_id,year,session_regime,driver_name,car_number,source_attempt_id,decision_time_utc,action,current_result_mph,current_rank,benchmark_type,benchmark_rank,benchmark_speed_mph,requires_wait_draw,requires_new_attempt,protected_result_retained,withdrawal_risk,wait_model_available
DAY1_2020_59_POST_FIRST_ATTEMPT,2020,DAY1,Max Chilton,59,75519828-93ba-5485-a4bf-a06b93f7cec3,2020-08-15T17:29:05+00:00,RETAIN_AND_REATTEMPT,225.819,25,FAST_NINE_ADVANCEMENT,9,230.56,True,True,True,False,True
DAY1_2020_59_POST_FIRST_ATTEMPT,2020,DAY1,Max Chilton,59,75519828-93ba-5485-a4bf-a06b93f7cec3,2020-08-15T17:29:05+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,225.819,25,FAST_NINE_ADVANCEMENT,9,230.56,True,True,False,True,True
DAY1_2020_66_POST_FIRST_ATTEMPT,2020,DAY1,Fernando Alonso,66,c9ee13fe-3b9e-555c-9a7d-a078015b8b91,2020-08-15T15:59:05+00:00,STOP,228.768,10,FAST_NINE_ADVANCEMENT,9,228.88,False,False,True,False,True
DAY1_2020_66_POST_FIRST_ATTEMPT,2020,DAY1,Fernando Alonso,66,c9ee13fe-3b9e-555c-9a7d-a078015b8b91,2020-08-15T15:59:05+00:00,RETAIN_AND_REATTEMPT,228.768,10,FAST_NINE_ADVANCEMENT,9,228.88,True,True,True,False,True
DAY1_2020_66_POST_FIRST_ATTEMPT,2020,DAY1,Fernando Alonso,66,c9ee13fe-3b9e-555c-9a7d-a078015b8b91,2020-08-15T15:59:05+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,228.768,10,FAST_NINE_ADVANCEMENT,9,228.88,True,True,False,True,True
DAY1_2020_67_POST_FIRST_ATTEMPT,2020,DAY1,JR Hildebrand,67,1a120ea2-c723-5585-8ec6-30169bb44ca7,2020-08-15T17:38:15+00:00,STOP,226.341,26,FAST_NINE_ADVANCEMENT,9,230.56,False,False,True,False,True
DAY1_2020_67_POST_FIRST_ATTEMPT,2020,DAY1,JR Hildebrand,67,1a120ea2-c723-5585-8ec6-30169bb44ca7,2020-08-15T17:38:15+00:00,RETAIN_AND_REATTEMPT,226.341,26,FAST_NINE_ADVANCEMENT,9,230.56,True,True,True,False,True
DAY1_2020_67_POST_FIRST_ATTEMPT,2020,DAY1,JR Hildebrand,67,1a120ea2-c723-5585-8ec6-30169bb44ca7,2020-08-15T17:38:15+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,226.341,26,FAST_NINE_ADVANCEMENT,9,230.56,True,True,False,True,True
DAY1_2020_7_POST_FIRST_ATTEMPT,2020,DAY1,Oliver Askew,7,72b65040-5363-5722-b1cd-297bffa2af77,2020-08-15T16:18:15+00:00,STOP,229.76,11,FAST_NINE_ADVANCEMENT,9,229.902,False,False,True,False,True
DAY1_2020_7_POST_FIRST_ATTEMPT,2020,DAY1,Oliver Askew,7,72b65040-5363-5722-b1cd-297bffa2af77,2020-08-15T16:18:15+00:00,RETAIN_AND_REATTEMPT,229.76,11,FAST_NINE_ADVANCEMENT,9,229.902,True,True,True,False,True
DAY1_2020_7_POST_FIRST_ATTEMPT,2020,DAY1,Oliver Askew,7,72b65040-5363-5722-b1cd-297bffa2af77,2020-08-15T16:18:15+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,229.76,11,FAST_NINE_ADVANCEMENT,9,229.902,True,True,False,True,True
DAY1_2020_8_POST_FIRST_ATTEMPT,2020,DAY1,Marcus Ericsson,8,518373d9-25de-58cf-8315-f6c215b6f672,2020-08-15T16:13:15+00:00,STOP,230.472,7,FAST_NINE_ADVANCEMENT,9,229.902,False,False,True,False,True
DAY1_2020_8_POST_FIRST_ATTEMPT,2020,DAY1,Marcus Ericsson,8,518373d9-25de-58cf-8315-f6c215b6f672,2020-08-15T16:13:15+00:00,RETAIN_AND_REATTEMPT,230.472,7,FAST_NINE_ADVANCEMENT,9,229.902,True,True,True,False,True
DAY1_2020_8_POST_FIRST_ATTEMPT,2020,DAY1,Marcus Ericsson,8,518373d9-25de-58cf-8315-f6c215b6f672,2020-08-15T16:13:15+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,230.472,7,FAST_NINE_ADVANCEMENT,9,229.902,True,True,False,True,True
DAY1_2020_81_POST_FIRST_ATTEMPT,2020,DAY1,Ben Hanley,81,a3016f3b-449e-576c-bf0f-284c71eddb34,2020-08-15T16:36:35+00:00,STOP,220.946,18,FAST_NINE_ADVANCEMENT,9,230.296,False,False,True,False,True
DAY1_2020_81_POST_FIRST_ATTEMPT,2020,DAY1,Ben Hanley,81,a3016f3b-449e-576c-bf0f-284c71eddb34,2020-08-15T16:36:35+00:00,RETAIN_AND_REATTEMPT,220.946,18,FAST_NINE_ADVANCEMENT,9,230.296,True,True,True,False,True
DAY1_2020_81_POST_FIRST_ATTEMPT,2020,DAY1,Ben Hanley,81,a3016f3b-449e-576c-bf0f-284c71eddb34,2020-08-15T16:36:35+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,220.946,18,FAST_NINE_ADVANCEMENT,9,230.296,True,True,False,True,True
DAY1_2020_88_POST_FIRST_ATTEMPT,2020,DAY1,Colton Herta,88,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,2020-08-15T17:24:05+00:00,STOP,230.56,9,FAST_NINE_ADVANCEMENT,9,230.56,False,False,True,False,True
DAY1_2020_88_POST_FIRST_ATTEMPT,2020,DAY1,Colton Herta,88,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,2020-08-15T17:24:05+00:00,RETAIN_AND_REATTEMPT,230.56,9,FAST_NINE_ADVANCEMENT,9,230.56,True,True,True,False,True
DAY1_2020_88_POST_FIRST_ATTEMPT,2020,DAY1,Colton Herta,88,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,2020-08-15T17:24:05+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,230.56,9,FAST_NINE_ADVANCEMENT,9,230.56,True,True,False,True,True
DAY1_2020_98_POST_FIRST_ATTEMPT,2020,DAY1,Marco Andretti,98,f50bf607-2eaa-51a1-a6d0-2049fcaf3dcd,2020-08-15T17:14:05+00:00,STOP,231.351,1,FAST_NINE_ADVANCEMENT,9,230.539,False,False,True,False,True
DAY1_2020_98_POST_FIRST_ATTEMPT,2020,DAY1,Marco Andretti,98,f50bf607-2eaa-51a1-a6d0-2049fcaf3dcd,2020-08-15T17:14:05+00:00,RETAIN_AND_REATTEMPT,231.351,1,FAST_NINE_ADVANCEMENT,9,230.539,True,True,True,False,True
DAY1_2020_98_POST_FIRST_ATTEMPT,2020,DAY1,Marco Andretti,98,f50bf607-2eaa-51a1-a6d0-2049fcaf3dcd,2020-08-15T17:14:05+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,231.351,1,FAST_NINE_ADVANCEMENT,9,230.539,True,True,False,True,True
DAY1_2021_1_POST_FIRST_ATTEMPT,2021,DAY1,JR Hildebrand,1,f31f214f-a151-5b1d-afaf-bb7103c2d514,2021-05-22T17:16:36+00:00,STOP,229.98,12,FAST_NINE_ADVANCEMENT,9,230.557,False,False,True,False,True
DAY1_2021_1_POST_FIRST_ATTEMPT,2021,DAY1,JR Hildebrand,1,f31f214f-a151-5b1d-afaf-bb7103c2d514,2021-05-22T17:16:36+00:00,RETAIN_AND_REATTEMPT,229.98,12,FAST_NINE_ADVANCEMENT,9,230.557,True,True,True,False,True
DAY1_2021_1_POST_FIRST_ATTEMPT,2021,DAY1,JR Hildebrand,1,f31f214f-a151-5b1d-afaf-bb7103c2d514,2021-05-22T17:16:36+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,229.98,12,FAST_NINE_ADVANCEMENT,9,230.557,True,True,False,True,True
DAY1_2021_11_POST_FIRST_ATTEMPT,2021,DAY1,Charlie Kimball,11,c150c8f9-470c-58e6-8766-44b6b751369f,2021-05-22T18:30:47+00:00,STOP,228.401,29,FAST_NINE_ADVANCEMENT,9,230.864,False,False,True,False,True
DAY1_2021_11_POST_FIRST_ATTEMPT,2021,DAY1,Charlie Kimball,11,c150c8f9-470c-58e6-8766-44b6b751369f,2021-05-22T18:30:47+00:00,RETAIN_AND_REATTEMPT,228.401,29,FAST_NINE_ADVANCEMENT,9,230.864,True,True,True,False,True
DAY1_2021_11_POST_FIRST_ATTEMPT,2021,DAY1,Charlie Kimball,11,c150c8f9-470c-58e6-8766-44b6b751369f,2021-05-22T18:30:47+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,228.401,29,FAST_NINE_ADVANCEMENT,9,230.864,True,True,False,True,True
DAY1_2021_12_POST_FIRST_ATTEMPT,2021,DAY1,Will Power,12,6992580a-0371-5eda-b01d-2adaca099ff4,2021-05-22T17:21:36+00:00,STOP,229.052,17,FAST_NINE_ADVANCEMENT,9,230.557,False,False,True,False,True
DAY1_2021_12_POST_FIRST_ATTEMPT,2021,DAY1,Will Power,12,6992580a-0371-5eda-b01d-2adaca099ff4,2021-05-22T17:21:36+00:00,RETAIN_AND_REATTEMPT,229.052,17,FAST_NINE_ADVANCEMENT,9,230.557,True,True,True,False,True
DAY1_2021_12_POST_FIRST_ATTEMPT,2021,DAY1,Will Power,12,6992580a-0371-5eda-b01d-2adaca099ff4,2021-05-22T17:21:36+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,229.052,17,FAST_NINE_ADVANCEMENT,9,230.557,True,True,False,True,True
DAY1_2021_14_POST_FIRST_ATTEMPT,2021,DAY1,Sebastien Bourdais,14,da571070-dc03-5eb8-ac88-efd026c446d8,2021-05-22T18:35:48+00:00,STOP,229.744,24,FAST_NINE_ADVANCEMENT,9,230.864,False,False,True,False,True
