decision_id,year,session_regime,car_number,driver_name,source_attempt_id,decision_time_utc,performance_attempt_exact_link,performance_speed_mph,prior_other_car_attempts_10m,prior_other_car_attempts_20m,prior_other_car_attempts_30m,prior_other_car_median_speed_10m,prior_other_car_median_speed_20m,prior_other_car_median_speed_30m,whole_field_window_context_20m_ready,ptsc_prior_observation_available,ptsc_prior_observation_age_min,ptsc_track_temp,hrrr_decision_safe_cycle_available,hrrr_selected_cycle_utc,hrrr_supports_decision_time,hrrr_supports_plus_30m,thermal_context_ready,wait_model_structural_available,historical_wait_observed,historical_action_required_for_engine,engine_v1_state_ready,model_role,ptsc_selected_time_utc,ptsc_time_field_used,ptsc_temperature_field_used,ptsc_track_temp_c,ptsc_track_temperature_value_available
DAY1_2021_14_POST_FIRST_ATTEMPT,2021,DAY1,14,Sebastien Bourdais,da571070-dc03-5eb8-ac88-efd026c446d8,2021-05-22T18:35:48+00:00,True,229.744000,2,4,6,228.287000,229.723500,230.412000,True,True,5.800,,True,2021-05-22T17:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T18:30:00+00:00,utc_datetime,track_c,38.333333,True
DAY1_2021_15_POST_FIRST_ATTEMPT,2021,DAY1,15,Graham Rahal,696a641a-81d7-5a8c-842f-4f3170a4b8e4,2021-05-22T17:53:16+00:00,True,230.521000,2,4,6,229.838500,229.922000,230.462500,True,True,8.267,,True,2021-05-22T16:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T17:45:00+00:00,utc_datetime,track_c,38.333333,True
DAY1_2021_16_POST_FIRST_ATTEMPT,2021,DAY1,16,Simona De Silvestro,8f660bff-74bd-551e-9007-95b730f87e7d,2021-05-22T18:26:36+00:00,True,228.173000,2,4,5,231.075000,231.075000,231.046000,True,True,11.600,,True,2021-05-22T17:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T18:15:00+00:00,utc_datetime,track_c,37.777778,True
DAY1_2021_2_POST_FIRST_ATTEMPT,2021,DAY1,2,Josef Newgarden,c4c9ba22-d28c-5937-b36c-72fffbbb67b5,2021-05-22T16:39:06+00:00,True,230.049000,2,4,6,230.676500,230.404500,230.851000,True,True,9.100,,True,2021-05-22T15:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T16:30:00+00:00,utc_datetime,track_c,35.000000,True
DAY1_2021_20_POST_FIRST_ATTEMPT,2021,DAY1,20,Ed Carpenter,bcd24d81-7b19-5290-b6d7-b3ce5ce41195,2021-05-22T17:25:46+00:00,True,231.616000,2,4,5,229.516000,229.935500,229.949000,True,True,10.767,,True,2021-05-22T16:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T17:15:00+00:00,utc_datetime,track_c,38.333333,True
DAY1_2021_21_POST_FIRST_ATTEMPT,2021,DAY1,21,Rinus VeeKay,407a503c-1695-5af6-9b88-28e9d802c8d1,2021-05-22T16:43:16+00:00,True,230.841000,2,4,6,230.844000,230.306000,230.404500,True,True,13.267,,True,2021-05-22T15:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T16:30:00+00:00,utc_datetime,track_c,35.000000,True
DAY1_2021_22_POST_FIRST_ATTEMPT,2021,DAY1,22,Simon Pagenaud,5f22f207-f450-5086-ab38-14fe980d9fed,2021-05-22T18:07:26+00:00,True,229.778000,1,3,5,225.496000,230.427000,229.417000,True,True,7.433,,True,2021-05-22T17:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T18:00:00+00:00,utc_datetime,track_c,37.777778,True
DAY1_2021_26_POST_FIRST_ATTEMPT,2021,DAY1,26,Colton Herta,e9da8645-6367-51bf-8601-3670e9e76c5e,2021-05-22T18:12:27+00:00,True,231.648000,1,3,5,229.778000,229.778000,229.778000,True,True,12.450,,True,2021-05-22T17:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T18:00:00+00:00,utc_datetime,track_c,37.777778,True
DAY1_2021_27_POST_FIRST_ATTEMPT,2021,DAY1,27,Alexander Rossi,69b27d9b-5386-5a2c-a855-449bb527fca1,2021-05-22T18:17:26+00:00,True,231.046000,2,3,5,230.713000,229.778000,230.427000,True,True,2.433,,True,2021-05-22T17:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T18:15:00+00:00,utc_datetime,track_c,37.777778,True
DAY1_2021_3_POST_FIRST_ATTEMPT,2021,DAY1,3,Scott McLaughlin,20b68ba3-153d-53cd-9ef8-e81c295271bf,2021-05-22T16:48:16+00:00,True,230.557000,2,4,6,230.445000,230.445000,230.404500,True,True,3.267,,True,2021-05-22T15:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T16:45:00+00:00,utc_datetime,track_c,36.111111,True
DAY1_2021_30_POST_FIRST_ATTEMPT,2021,DAY1,30,Takuma Sato,0e1c6c84-a0db-504e-9da0-b66aa65a338c,2021-05-22T16:52:26+00:00,True,230.708000,2,4,6,230.699000,230.699000,230.560000,True,True,7.433,,True,2021-05-22T15:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T16:45:00+00:00,utc_datetime,track_c,36.111111,True
DAY1_2021_4_POST_FIRST_ATTEMPT,2021,DAY1,4,Dalton Kellett,099ab32a-d351-5011-931c-148b9f3d7921,2021-05-22T17:44:56+00:00,True,229.250000,2,4,6,229.957500,230.681000,230.239000,True,True,14.933,,True,2021-05-22T16:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T17:30:00+00:00,utc_datetime,track_c,38.333333,True
DAY1_2021_45_POST_FIRST_ATTEMPT,2021,DAY1,45,Santino Ferrucci,8ea0aaac-52bc-55eb-a43e-39b83d6e866a,2021-05-22T16:57:26+00:00,True,229.949000,2,4,6,230.632500,230.632500,230.632500,True,True,12.433,,True,2021-05-22T15:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T16:45:00+00:00,utc_datetime,track_c,36.111111,True
DAY1_2021_47_POST_FIRST_ATTEMPT,2021,DAY1,47,Conor Daly,11be8bd4-5c39-5bd2-b24f-b6c87f0d885a,2021-05-22T17:49:06+00:00,True,230.427000,2,4,6,229.333500,229.957500,229.957500,True,True,4.100,,True,2021-05-22T16:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T17:45:00+00:00,utc_datetime,track_c,38.333333,True
DAY1_2021_5_POST_FIRST_ATTEMPT,2021,DAY1,5,Pato O'Ward,258b87c8-7f46-5d1a-b0b9-73c0b2a871dc,2021-05-22T17:30:46+00:00,True,230.864000,2,4,5,230.334000,229.935500,229.980000,True,True,0.767,,True,2021-05-22T16:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T17:30:00+00:00,utc_datetime,track_c,38.333333,True
DAY1_2021_51_POST_FIRST_ATTEMPT,2021,DAY1,51,Pietro Fittipaldi,98202c3a-5d68-52fe-91b3-2d520c933594,2021-05-22T17:06:36+00:00,True,230.846000,1,3,5,229.949000,230.557000,230.557000,True,True,6.600,,True,2021-05-22T16:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T17:00:00+00:00,utc_datetime,track_c,36.666667,True
DAY1_2021_59_POST_FIRST_ATTEMPT,2021,DAY1,59,Max Chilton,a73699bb-b202-59f3-a140-bd7e85f00aff,2021-05-22T17:39:56+00:00,True,229.417000,2,4,6,230.681000,230.681000,230.239000,True,True,9.933,,True,2021-05-22T16:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T17:30:00+00:00,utc_datetime,track_c,38.333333,True
DAY1_2021_60_POST_FIRST_ATTEMPT,2021,DAY1,60,Jack Harvey,7d5d82b7-9765-51c9-b149-cb7de00d3905,2021-05-22T17:58:16+00:00,True,225.496000,2,4,6,230.474000,229.922000,230.462500,True,True,13.267,,True,2021-05-22T16:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T17:45:00+00:00,utc_datetime,track_c,38.333333,True
DAY1_2021_7_POST_FIRST_ATTEMPT,2021,DAY1,7,Felix Rosenqvist,4bfd7a23-3f35-5bcf-9655-c286d7ee30ed,2021-05-22T17:35:46+00:00,True,230.498000,2,4,6,231.240000,230.422000,230.413000,True,True,5.767,,True,2021-05-22T16:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T17:30:00+00:00,utc_datetime,track_c,38.333333,True
DAY1_2021_75_POST_FIRST_ATTEMPT,2021,DAY1,75,RC Enerson,d676bd2f-154f-5e4b-aaf0-c7335ff329dd,2021-05-22T18:40:48+00:00,True,227.283000,1,4,6,229.744000,229.072500,230.395000,True,True,10.800,,True,2021-05-22T17:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T18:30:00+00:00,utc_datetime,track_c,38.333333,True
DAY1_2021_8_POST_FIRST_ATTEMPT,2021,DAY1,8,Marcus Ericsson,8706f570-3435-5de5-89d4-8c45a08fd99c,2021-05-22T18:21:37+00:00,True,231.104000,2,3,5,231.347000,231.046000,230.521000,True,True,6.617,,True,2021-05-22T17:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T18:15:00+00:00,utc_datetime,track_c,37.777778,True
DAY1_2021_86_POST_FIRST_ATTEMPT,2021,DAY1,86,Juan Pablo Montoya,11bd473d-0cf3-56e2-9aa9-fb4487870c59,2021-05-22T17:11:36+00:00,True,229.891000,1,3,5,230.846000,230.708000,230.708000,True,True,11.600,,True,2021-05-22T16:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2021-05-22T17:00:00+00:00,utc_datetime,track_c,36.666667,True
DAY1_2023_10_POST_FIRST_ATTEMPT,2023,DAY1,10,Alex Palou,096ff05c-1785-53cf-be2f-65bbb6ce7cd1,2023-05-20T17:05:46+00:00,True,233.398000,1,2,4,233.147000,233.002000,233.002000,False,True,5.767,,True,2023-05-20T16:00:00+00:00,True,True,True,True,False,False,False,PARTIAL_STATE_EVIDENCE,2023-05-20T17:00:00+00:00,utc_datetime,track_c,41.111111,True
DAY1_2023_11_POST_FIRST_ATTEMPT,2023,DAY1,11,Takuma Sato,55b6b39a-d64a-5a38-9dbc-84a9faac294b,2023-05-20T16:51:32+00:00,True,232.857000,1,3,4,227.720000,233.252000,232.262500,True,True,6.533,,True,2023-05-20T15:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2023-05-20T16:45:00+00:00,utc_datetime,track_c,40.000000,True
DAY1_2023_14_POST_FIRST_ATTEMPT,2023,DAY1,14,Santino Ferrucci,cda49858-f649-523a-85fb-8d53847f80bf,2023-05-20T17:01:01+00:00,True,233.147000,1,2,4,232.857000,230.288500,233.054500,False,True,1.017,,True,2023-05-20T16:00:00+00:00,True,True,True,True,False,False,False,PARTIAL_STATE_EVIDENCE,2023-05-20T17:00:00+00:00,utc_datetime,track_c,41.111111,True
DAY1_2023_27_POST_FIRST_ATTEMPT,2023,DAY1,27,Kyle Kirkwood,dda33fdd-49c8-5082-a03d-252bf1a6fa49,2023-05-20T17:14:58+00:00,True,232.390000,1,2,3,233.398000,233.272500,233.147000,False,True,14.967,,True,2023-05-20T16:00:00+00:00,True,True,True,True,False,False,False,PARTIAL_STATE_EVIDENCE,2023-05-20T17:00:00+00:00,utc_datetime,track_c,41.111111,True
DAY1_2023_44_POST_FIRST_ATTEMPT,2023,DAY1,44,Katherine Legge,939cb422-2442-550d-9cc5-80f8c372c5d7,2023-05-20T17:19:59+00:00,True,231.070000,1,3,4,232.390000,233.147000,233.002000,True,True,4.983,,True,2023-05-20T16:00:00+00:00,True,True,True,True,False,False,True,COUNTERFACTUAL_ENGINE_STATE,2023-05-20T17:15:00+00:00,utc_datetime,track_c,42.222222,True
