regime,field,decision_rows,resolved_rows,unresolved_rows,resolved_fraction,resolution_rule
ALL,decision_time_utc,60,50,10,0.833333,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
LAST_CHANCE,driver_name,10,10,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
LAST_CHANCE,source_attempt_id,10,7,3,0.700000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
LAST_CHANCE,current_protected_result_speed_mph,10,6,4,0.600000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
LAST_CHANCE,current_best_speed_mph,10,7,3,0.700000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
LAST_CHANCE,current_rank,10,10,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
LAST_CHANCE,current_best_rank,10,10,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
LAST_CHANCE,benchmark_speed_mph,10,10,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
LAST_CHANCE,benchmark_rank,10,10,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
LAST_CHANCE,session_remaining_seconds,10,0,10,0.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
LAST_CHANCE,decision_state_leaderboard_context,10,10,0,1.000000,DIRECT_OR_EXACT_DETERMINISTIC_SOURCE_JOIN; EMPTY_MEANS_UNRESOLVED
